Year	State	County	FIPS	Resource	Revenue
2004	MO		29	minerals	177752.68
2004	MO		29	other	811386.28
2005	MO		29	minerals	21530.00
2005	MO		29	other	5104767.20
2006	MO		29	minerals	20389.65
2006	MO		29	other	10358659.95
2007	MO		29	minerals	20191.50
2007	MO		29	other	17761752.72
2008	MO		29	minerals	-17296.60
2008	MO		29	other	14161006.55
2009	MO		29	minerals	13003.00
2009	MO		29	other	9306934.70
2010	MO	St Charles	29183	oilgas	7037.20
2010	MO		29	minerals	13003.00
2010	MO		29	other	13256995.70
2011	MO		29	minerals	13043.00
2011	MO		29	other	14835289.10
2012	MO		29	minerals	16897.00
2012	MO		29	other	11519614.55
2013	MO		29	minerals	16897.00
2013	MO		29	other	9346248.92
