Year	State	County	FIPS	Commodity	Product	Type	Revenue
2004	MO	Crawford	29055	Hardrock		Other Revenues	16221.28
2004	MO	Crawford	29055	Hardrock		Rents	3496.18
2004	MO	Crawford	29055	Copper Concentrate	Copper Concentrate	Royalties	2220.68
2004	MO	Crawford	29055	Lead Concentrate	Lead Concentrate	Royalties	979.58
2004	MO	Crawford	29055	Zinc Concentrate	Zinc Concentrate	Royalties	151.08
2004	MO	Dent	29065	Copper Concentrate	Copper Concentrate	Royalties	-2028.3
2004	MO	Dent	29065	Lead Concentrate	Lead Concentrate	Royalties	166165.55
2004	MO	Dent	29065	Zinc Concentrate	Zinc Concentrate	Royalties	25506.72
2004	MO	Iron	29093	Hardrock		Other Revenues	53887.69
2004	MO	Iron	29093	Hardrock		Rents	12900.7
2004	MO	Iron	29093	Copper Concentrate	Copper Concentrate	Royalties	18794.93
2004	MO	Iron	29093	Lead Concentrate	Lead Concentrate	Royalties	217004.99
2004	MO	Iron	29093	Zinc Concentrate	Zinc Concentrate	Royalties	34803.41
2004	MO	Madison	29123	Hardrock		Other Revenues	3420
2004	MO	Madison	29123	Hardrock		Rents	-2170
2004	MO	Reynolds	29179	Hardrock		Other Revenues	84130
2004	MO	Reynolds	29179	Hardrock		Rents	-7303
2004	MO	Reynolds	29179	Copper Concentrate	Copper Concentrate	Royalties	10835.69
2004	MO	Reynolds	29179	Lead Concentrate	Lead Concentrate	Royalties	329717.18
2004	MO	Reynolds	29179	Zinc Concentrate	Zinc Concentrate	Royalties	2049.2
2004	MO	Shannon	29203	Hardrock		Other Revenues	2880
2004	MO	Shannon	29203	Hardrock		Rents	1120
2004	MO	Washington	29221	Hardrock		Other Revenues	6536
2004	MO	Washington	29221	Hardrock		Rents	2633.82
2004	MO	Washington	29221	Copper Concentrate	Copper Concentrate	Royalties	3436.1
2004	MO	Washington	29221	Lead Concentrate	Lead Concentrate	Royalties	1515.72
2004	MO	Washington	29221	Zinc Concentrate	Zinc Concentrate	Royalties	233.76
2005	MO	Crawford	29055	Hardrock		Other Revenues	4694.53
2005	MO	Crawford	29055	Hardrock		Rents	195.89
2005	MO	Crawford	29055	Copper Concentrate	Copper Concentrate	Royalties	8398.43
2005	MO	Crawford	29055	Lead Concentrate	Lead Concentrate	Royalties	823.51
2005	MO	Crawford	29055	Zinc Concentrate	Zinc Concentrate	Royalties	279.16
2005	MO	Dent	29065	Copper Concentrate	Copper Concentrate	Royalties	21975.48
2005	MO	Dent	29065	Lead Concentrate	Lead Concentrate	Royalties	444021.72
2005	MO	Dent	29065	Zinc Concentrate	Zinc Concentrate	Royalties	118811.19
2005	MO	Iron	29093	Hardrock		Other Revenues	5898.6
2005	MO	Iron	29093	Copper Concentrate	Copper Concentrate	Royalties	339379.02
2005	MO	Iron	29093	Lead Concentrate	Lead Concentrate	Royalties	774620.02
2005	MO	Iron	29093	Zinc Concentrate	Zinc Concentrate	Royalties	179906.2
2005	MO	Reynolds	29179	Hardrock		Other Revenues	9114
2005	MO	Reynolds	29179	Hardrock		Rents	-504
2005	MO	Reynolds	29179	Copper Concentrate	Copper Concentrate	Royalties	112593.83
2005	MO	Reynolds	29179	Lead Concentrate	Lead Concentrate	Royalties	2383442.43
2005	MO	Reynolds	29179	Zinc Concentrate	Zinc Concentrate	Royalties	705815.01
2005	MO	Shannon	29203	Hardrock		Rents	160
2005	MO	Washington	29221	Hardrock		Other Revenues	1667.87
2005	MO	Washington	29221	Hardrock		Rents	303.11
2005	MO	Washington	29221	Copper Concentrate	Copper Concentrate	Royalties	12995.02
2005	MO	Washington	29221	Lead Concentrate	Lead Concentrate	Royalties	1274.24
2005	MO	Washington	29221	Zinc Concentrate	Zinc Concentrate	Royalties	431.94
2006	MO	Crawford	29055	Hardrock		Other Revenues	3956.11
2006	MO	Crawford	29055	Hardrock		Rents	461.58
2006	MO	Crawford	29055	Copper	Copper	Royalties	-83.19
2006	MO	Crawford	29055	Copper Concentrate	Copper Concentrate	Royalties	23152.38
2006	MO	Crawford	29055	Lead Concentrate	Lead Concentrate	Royalties	2719.33
2006	MO	Dent	29065	Hardrock		Rents	990.49
2006	MO	Dent	29065	Copper	Copper	Royalties	2720.96
2006	MO	Dent	29065	Copper Concentrate	Copper Concentrate	Royalties	37016.81
2006	MO	Dent	29065	Lead Concentrate	Lead Concentrate	Royalties	717200.32
2006	MO	Dent	29065	Zinc Concentrate	Zinc Concentrate	Royalties	281031.25
2006	MO	Iron	29093	Hardrock		Other Revenues	5991.6
2006	MO	Iron	29093	Hardrock		Rents	5970.92
2006	MO	Iron	29093	Copper	Copper	Royalties	-15878.37
2006	MO	Iron	29093	Copper Concentrate	Copper Concentrate	Royalties	867728.21
2006	MO	Iron	29093	Lead Concentrate	Lead Concentrate	Royalties	1506741.67
2006	MO	Iron	29093	Zinc Concentrate	Zinc Concentrate	Royalties	491836.65
2006	MO	Madison	29123	Hardrock		Other Revenues	1710
2006	MO	Madison	29123	Hardrock		Rents	570
2006	MO	Reynolds	29179	Hardrock		Other Revenues	9114
2006	MO	Reynolds	29179	Hardrock		Rents	1588
2006	MO	Reynolds	29179	Copper	Copper	Royalties	2720.97
2006	MO	Reynolds	29179	Copper Concentrate	Copper Concentrate	Royalties	406750.07
2006	MO	Reynolds	29179	Lead Concentrate	Lead Concentrate	Royalties	3633344.42
2006	MO	Reynolds	29179	Zinc Concentrate	Zinc Concentrate	Royalties	2325431.1
2006	MO	Shannon	29203	Hardrock		Rents	160
2006	MO	Shannon	29203	Lead Concentrate	Lead Concentrate	Royalties	23287.75
2006	MO	Shannon	29203	Zinc Concentrate	Zinc Concentrate	Royalties	2388.25
2006	MO	Washington	29221	Hardrock		Other Revenues	525.29
2006	MO	Washington	29221	Copper	Copper	Royalties	-128.71
2006	MO	Washington	29221	Copper Concentrate	Copper Concentrate	Royalties	35824.07
2006	MO	Washington	29221	Lead Concentrate	Lead Concentrate	Royalties	4207.67
2007	MO	Crawford	29055	Hardrock		Other Revenues	3956.11
2007	MO	Crawford	29055	Hardrock		Rents	230.79
2007	MO	Crawford	29055	Copper Concentrate	Copper Concentrate	Royalties	48595
2007	MO	Crawford	29055	Lead Concentrate	Lead Concentrate	Royalties	5393.54
2007	MO	Crawford	29055	Zinc Concentrate	Zinc Concentrate	Royalties	786.16
2007	MO	Dent	29065	Hardrock		Rents	495.25
