Year	State	County	FIPS	Volume
2006	MS	Clarke County	28023	1
2007	MS	Clarke County	28023	1
2013	MS	Lawrence County	28077	2
2012	MS	Lawrence County	28077	2
2005	MS	Clarke County	28023	1
2011	MS	Lawrence County	28077	2
2007	MS	Lawrence County	28077	2
2013	MS	Jasper County	28061	2
2010	MS	Lawrence County	28077	2
2008	MS	Lawrence County	28077	2
2009	MS	Lawrence County	28077	2
2012	MS	Jasper County	28061	2
2013	MS	Wilkinson County	28157	2
2014	MS	Jasper County	28061	2
2006	MS	Jasper County	28061	2
2011	MS	Jasper County	28061	2
2005	MS	Jasper County	28061	2
2010	MS	Jasper County	28061	2
2005	MS	Hancock County	28045	2
2007	MS	Jasper County	28061	2
2010	MS	Wilkinson County	28157	2
2011	MS	Wilkinson County	28157	2
2012	MS	Wilkinson County	28157	2
2009	MS	Jasper County	28061	2
2014	MS	Monroe County	28095	2
2008	MS	Jasper County	28061	2
2013	MS	Monroe County	28095	2
2010	MS	Scott County	28123	1
2012	MS	Monroe County	28095	2
2011	MS	Monroe County	28095	2
2009	MS	Monroe County	28095	2
2006	MS	Monroe County	28095	2
2005	MS	Monroe County	28095	2
2010	MS	Monroe County	28095	2
2008	MS	Monroe County	28095	2
2014	MS	Lowndes County	28087	2
2007	MS	Monroe County	28095	2
2013	MS	Lowndes County	28087	2
2005	MS	Jefferson Davis County	28065	2
2014	MS	Jefferson Davis County	28065	2
2010	MS	Lamar County	28073	1
2013	MS	Jefferson Davis County	28065	2
2009	MS	Lamar County	28073	1
2011	MS	Lowndes County	28087	2
2012	MS	Lowndes County	28087	2
2008	MS	Lowndes County	28087	2
2006	MS	Jefferson Davis County	28065	2
2012	MS	Jefferson Davis County	28065	2
2009	MS	Lowndes County	28087	2
2010	MS	Lowndes County	28087	2
2008	MS	Lamar County	28073	2
2007	MS	Lowndes County	28087	2
2011	MS	Jefferson Davis County	28065	2
2006	MS	Covington County	28031	2
2006	MS	Lowndes County	28087	2
2005	MS	Lowndes County	28087	2
2005	MS	Covington County	28031	2
2007	MS	Jefferson Davis County	28065	2
2014	MS	Jones County	28067	2
2007	MS	Smith County	28129	2
2008	MS	Jones County	28067	2
2008	MS	Covington County	28031	2
2010	MS	Jefferson Davis County	28065	2
2010	MS	Covington County	28031	2
2009	MS	Wilkinson County	28157	2
2009	MS	Covington County	28031	2
2008	MS	Forrest County	28035	2
2014	MS	Covington County	28031	2
2007	MS	Covington County	28031	2
2011	MS	Covington County	28031	2
2013	MS	Covington County	28031	2
2008	MS	Jefferson Davis County	28065	2
2012	MS	Covington County	28031	2
2005	MS	Lamar County	28073	2
2007	MS	Pearl River County	28109	2
2009	MS	Jefferson Davis County	28065	2
2007	MS	Lamar County	28073	2
2006	MS	Lamar County	28073	2
2013	MS	Jones County	28067	2
2006	MS	Jones County	28067	2
2007	MS	Forrest County	28035	2
2007	MS	Jones County	28067	2
2012	MS	Jones County	28067	2
2010	MS	Jones County	28067	2
2013	MS	Smith County	28129	2
2011	MS	Jones County	28067	2
2008	MS	Pearl River County	28109	2
2009	MS	Jones County	28067	2
2014	MS	Adams County	28001	1
2011	MS	Franklin County	28037	2
2011	MS	Adams County	28001	1
2014	MS	Franklin County	28037	2
2012	MS	Franklin County	28037	2
2009	MS	Franklin County	28037	2
2010	MS	Franklin County	28037	2
2006	MS	Pearl River County	28109	2
2013	MS	Adams County	28001	1
2005	MS	Jones County	28067	2
2012	MS	Adams County	28001	1
2013	MS	Franklin County	28037	2
2008	MS	Franklin County	28037	2
2009	MS	Perry County	28111	2
2014	MS	Wilkinson County	28157	1
2008	MS	Perry County	28111	2
2010	MS	Adams County	28001	1
2006	MS	Forrest County	28035	2
2008	MS	Wilkinson County	28157	2
2007	MS	Franklin County	28037	2
2014	MS	Forrest County	28035	2
2014	MS	Pearl River County	28109	2
2006	MS	Wilkinson County	28157	2
2013	MS	Forrest County	28035	2
2005	MS	Franklin County	28037	2
2005	MS	Pearl River County	28109	2
2009	MS	Scott County	28123	1
2006	MS	Franklin County	28037	2
2007	MS	Perry County	28111	2
2013	MS	Pearl River County	28109	2
2005	MS	Wilkinson County	28157	2
2010	MS	Perry County	28111	2
2007	MS	Wilkinson County	28157	2
2012	MS	Forrest County	28035	2
2009	MS	Adams County	28001	1
2008	MS	Scott County	28123	1
2008	MS	Adams County	28001	1
2011	MS	Perry County	28111	2
2005	MS	Forrest County	28035	2
2010	MS	Forrest County	28035	2
2009	MS	Pearl River County	28109	2
2011	MS	Forrest County	28035	2
2009	MS	Forrest County	28035	2
2006	MS	Perry County	28111	2
2010	MS	Pearl River County	28109	2
2007	MS	Scott County	28123	1
2012	MS	Pearl River County	28109	2
2007	MS	Adams County	28001	1
2006	MS	Scott County	28123	1
2005	MS	Scott County	28123	1
2012	MS	Perry County	28111	2
2011	MS	Pearl River County	28109	2
2013	MS	Perry County	28111	2
2006	MS	Adams County	28001	1
2011	MS	Wayne County	28153	2
2010	MS	Wayne County	28153	2
2009	MS	Wayne County	28153	2
2008	MS	Wayne County	28153	2
2013	MS	Wayne County	28153	2
2007	MS	Wayne County	28153	2
2012	MS	Wayne County	28153	2
2014	MS	Wayne County	28153	2
2005	MS	Adams County	28001	1
2005	MS	Perry County	28111	2
2006	MS	Wayne County	28153	2
2014	MS	Chickasaw County	28017	1
2005	MS	Wayne County	28153	2
2013	MS	Chickasaw County	28017	1
2013	MS	Stone County	28131	1
2014	MS	Smith County	28129	2
2012	MS	Chickasaw County	28017	1
2014	MS	Perry County	28111	2
2011	MS	Chickasaw County	28017	1
2011	MS	Lamar County	28073	1
2014	MS	Lamar County	28073	1
2010	MS	Chickasaw County	28017	1
2005	MS	Chickasaw County	28017	1
2012	MS	Stone County	28131	1
2009	MS	Chickasaw County	28017	1
2007	MS	Stone County	28131	1
2011	MS	Stone County	28131	1
2012	MS	Lamar County	28073	1
2010	MS	Stone County	28131	1
2009	MS	Stone County	28131	1
2008	MS	Chickasaw County	28017	1
2008	MS	Stone County	28131	1
2006	MS	Chickasaw County	28017	1
2007	MS	Chickasaw County	28017	1
2006	MS	Stone County	28131	1
2013	MS	Lamar County	28073	1
2005	MS	Stone County	28131	1
