Year	State	County	FIPS	Resource	Revenue
2004	MS	Adams	28001	oilgas	80213.61
2004	MS	Amite	28005	oilgas	18312.00
2004	MS	Chickasaw	28017	oilgas	34243.53
2004	MS	Choctaw	28019	oilgas	4695.00
2004	MS	Clarke	28023	oilgas	380.90
2004	MS	Covington	28031	oilgas	1321.68
2004	MS	Forrest	28035	oilgas	110668.00
2004	MS	Franklin	28037	oilgas	507462.86
2004	MS	George	28039	oilgas	2400.00
2004	MS	Greene	28041	oilgas	242.00
2004	MS	Hancock	28045	oilgas	231.94
2004	MS	Harrison	28047	oilgas	45478.00
2004	MS	Jackson	28059	oilgas	2406.00
2004	MS	Jasper	28061	oilgas	2538.52
2004	MS	Jeffer Davis	28065	oilgas	3245.15
2004	MS	Jefferson	28063	oilgas	2179.28
2004	MS	Jones	28067	oilgas	56376.28
2004	MS	Lamar	28073	oilgas	-7801.72
2004	MS	Lawrence	28077	oilgas	544.62
2004	MS	Lincoln	28085	oilgas	2020.50
2004	MS	Lowndes	28087	oilgas	88485.42
2004	MS	Madison	28089	oilgas	483.00
2004	MS	Marion	28091	oilgas	2407.50
2004	MS	Monroe	28095	oilgas	3057.00
2004	MS	Pearl River	28109	oilgas	49961.22
2004	MS	Perry	28111	oilgas	690941.87
2004	MS	Scott	28123	oilgas	81444.67
2004	MS	Simpson	28127	oilgas	1440.00
2004	MS	Smith	28129	oilgas	225379.00
2004	MS	Stone	28131	oilgas	106818.27
2004	MS	Tishomingo	28141	oilgas	5094.00
2004	MS	Wayne	28153	oilgas	436620.35
2004	MS	Wilkinson	28157	oilgas	176041.90
2004	MS	Winston	28159	oilgas	10426.50
2005	MS	Adams	28001	oilgas	86642.43
2005	MS	Amite	28005	oilgas	16624.50
2005	MS	Chickasaw	28017	oilgas	40557.36
2005	MS	Choctaw	28019	oilgas	4695.00
2005	MS	Clarke	28023	oilgas	291.96
2005	MS	Covington	28031	oilgas	2118.92
2005	MS	Forrest	28035	oilgas	284245.96
2005	MS	Franklin	28037	oilgas	750133.81
2005	MS	George	28039	oilgas	2400.00
2005	MS	Greene	28041	oilgas	78.00
2005	MS	Hancock	28045	oilgas	-2465.22
2005	MS	Harrison	28047	oilgas	45498.00
2005	MS	Jackson	28059	oilgas	2318.00
2005	MS	Jasper	28061	oilgas	8094.26
2005	MS	Jeffer Davis	28065	oilgas	2817.57
2005	MS	Jefferson	28063	oilgas	2179.28
2005	MS	Jones	28067	oilgas	50313.84
2005	MS	Lamar	28073	oilgas	42775.62
2005	MS	Lawrence	28077	oilgas	217.38
2005	MS	Lincoln	28085	oilgas	2020.50
2005	MS	Lowndes	28087	oilgas	144644.00
2005	MS	Madison	28089	oilgas	483.00
2005	MS	Monroe	28095	oilgas	3082.25
2005	MS	Oktibbeha	28105	oilgas	1784.50
2005	MS	Pearl River	28109	oilgas	61349.25
2005	MS	Perry	28111	oilgas	708318.40
2005	MS	Scott	28123	oilgas	129172.93
2005	MS	Simpson	28127	oilgas	1440.00
2005	MS	Smith	28129	oilgas	103910.00
2005	MS	Stone	28131	oilgas	132950.08
2005	MS	Tate	28137	oilgas	120.00
2005	MS	Tishomingo	28141	oilgas	6792.00
2005	MS	Wayne	28153	oilgas	492712.60
2005	MS	Wilkinson	28157	oilgas	103665.81
2005	MS	Winston	28159	oilgas	37854.00
2006	MS	Adams	28001	oilgas	107116.97
2006	MS	Amite	28005	oilgas	18796.50
2006	MS	Chickasaw	28017	oilgas	504797.70
2006	MS	Choctaw	28019	oilgas	4695.00
2006	MS	Clarke	28023	oilgas	51.37
2006	MS	Copiah	28029	oilgas	157122.50
2006	MS	Covington	28031	oilgas	2485.95
2006	MS	Forrest	28035	oilgas	233500.85
2006	MS	Franklin	28037	oilgas	677074.30
2006	MS	George	28039	oilgas	2400.00
2006	MS	Greene	28041	oilgas	78.00
2006	MS	Hancock	28045	oilgas	184.24
2006	MS	Harrison	28047	oilgas	65269.50
2006	MS	Jackson	28059	oilgas	18718.50
2006	MS	Jasper	28061	oilgas	12406.96
2006	MS	Jeffer Davis	28065	oilgas	12544.27
2006	MS	Jefferson	28063	oilgas	9288.78
2006	MS	Jones	28067	oilgas	20796.96
2006	MS	Lamar	28073	oilgas	29467.89
2006	MS	Lawrence	28077	oilgas	907.35
2006	MS	Lincoln	28085	oilgas	2694.00
2006	MS	Lowndes	28087	oilgas	96076.67
2006	MS	Madison	28089	oilgas	461.00
2006	MS	Monroe	28095	oilgas	4664.94
2006	MS	Oktibbeha	28105	oilgas	509.50
2006	MS	Pearl River	28109	oilgas	4767.06
2006	MS	Perry	28111	oilgas	875645.50
2006	MS	Scott	28123	oilgas	114635.56
2006	MS	Simpson	28127	oilgas	11580.00
2006	MS	Smith	28129	oilgas	128733.50
2006	MS	Stone	28131	oilgas	152185.00
2006	MS	Tate	28137	oilgas	120.00
2006	MS	Tishomingo	28141	oilgas	6792.00
2006	MS	Wayne	28153	oilgas	480428.58
2006	MS	Wilkinson	28157	oilgas	83233.03
2006	MS	Winston	28159	oilgas	38043.00
2006	MS	Yalobusha	28161	oilgas	28807.50
2007	MS	Adams	28001	oilgas	93804.32
2007	MS	Amite	28005	oilgas	16866.50
2007	MS	Chickasaw	28017	oilgas	79109.60
2007	MS	Choctaw	28019	oilgas	4695.00
2007	MS	Clarke	28023	oilgas	69.14
2007	MS	Copiah	28029	oilgas	11002.50
2007	MS	Covington	28031	oilgas	3762.70
2007	MS	Forrest	28035	oilgas	103944.93
2007	MS	Franklin	28037	oilgas	1421085.68
2007	MS	George	28039	oilgas	22585.50
2007	MS	Greene	28041	oilgas	2356.50
2007	MS	Hancock	28045	oilgas	64.50
2007	MS	Harrison	28047	oilgas	214144.50
2007	MS	Jackson	28059	oilgas	164369.50
2007	MS	Jasper	28061	oilgas	15335.07
2007	MS	Jeffer Davis	28065	oilgas	6250.19
2007	MS	Jefferson	28063	oilgas	3372.78
2007	MS	Jones	28067	oilgas	26435.32
2007	MS	Lamar	28073	oilgas	28084.50
2007	MS	Lawrence	28077	oilgas	85.19
2007	MS	Lincoln	28085	oilgas	2694.00
2007	MS	Lowndes	28087	oilgas	81805.31
2007	MS	Madison	28089	oilgas	944.00
2007	MS	Monroe	28095	oilgas	1981.66
2007	MS	Oktibbeha	28105	oilgas	278.50
2007	MS	Pearl River	28109	oilgas	51852.66
2007	MS	Perry	28111	oilgas	828395.22
2007	MS	Scott	28123	oilgas	108036.77
2007	MS	Simpson	28127	oilgas	2220.00
2007	MS	Smith	28129	oilgas	491787.00
2007	MS	Stone	28131	oilgas	1640304.01
2007	MS	Tate	28137	oilgas	120.00
2007	MS	Tishomingo	28141	oilgas	6792.00
2007	MS	Wayne	28153	oilgas	566982.80
2007	MS	Wilkinson	28157	oilgas	118084.96
2007	MS	Winston	28159	oilgas	38043.00
2007	MS	Yalobusha	28161	oilgas	9307.50
2008	MS	Adams	28001	oilgas	106721.77
2008	MS	Amite	28005	oilgas	4038.00
2008	MS	Chickasaw	28017	oilgas	87750.16
2008	MS	Choctaw	28019	oilgas	6260.00
2008	MS	Clarke	28023	oilgas	1492.40
2008	MS	Copiah	28029	oilgas	11002.50
2008	MS	Covington	28031	oilgas	14238.68
2008	MS	Forrest	28035	oilgas	162487.87
2008	MS	Franklin	28037	oilgas	1161108.26
2008	MS	George	28039	oilgas	8269.50
2008	MS	Greene	28041	oilgas	976.50
2008	MS	Hancock	28045	oilgas	86.00
2008	MS	Harrison	28047	oilgas	64819.50
2008	MS	Jackson	28059	oilgas	12680.50
2008	MS	Jasper	28061	oilgas	37906.90
2008	MS	Jeffer Davis	28065	oilgas	7123.67
2008	MS	Jefferson	28063	oilgas	1480.00
2008	MS	Jones	28067	oilgas	14904.09
2008	MS	Lamar	28073	oilgas	4828.76
2008	MS	Lawrence	28077	oilgas	152251.22
2008	MS	Lowndes	28087	oilgas	96300.12
2008	MS	Madison	28089	oilgas	483.00
2008	MS	Marion	28091	oilgas	4437.50
2008	MS	Monroe	28095	oilgas	2272.81
2008	MS	Oktibbeha	28105	oilgas	278.50
2008	MS	Pearl River	28109	oilgas	43839.95
2008	MS	Perry	28111	oilgas	731902.40
2008	MS	Scott	28123	oilgas	162952.58
2008	MS	Simpson	28127	oilgas	780.00
2008	MS	Smith	28129	oilgas	134936.81
2008	MS	Stone	28131	oilgas	119286.91
2008	MS	Tate	28137	oilgas	120.00
2008	MS	Wayne	28153	oilgas	613416.94
2008	MS	Wilkinson	28157	oilgas	132768.40
2008	MS	Winston	28159	oilgas	39289.50
2008	MS	Yalobusha	28161	oilgas	9307.50
2009	MS	Adams	28001	oilgas	56623.89
