State	County	Year	Volume	Commodity	Product
MT	Bighorn	2004	12068328		Coal (short tons)
MT	Musselshell	2004	157578		Coal (short tons)
MT	Richland	2004	381968		Coal (short tons)
MT	Rosebud	2004	12664823		Coal (short tons)
MT	Bighorn	2005	13119202		Coal (short tons)
MT	Musselshell	2005	162238		Coal (short tons)
MT	Richland	2005	330477		Coal (short tons)
MT	Rosebud	2005	13376542		Coal (short tons)
MT	Bighorn	2006	14541054		Coal (short tons)
MT	Musselshell	2006	320847		Coal (short tons)
MT	Richland	2006	378123		Coal (short tons)
MT	Rosebud	2006	12731701		Coal (short tons)
MT	Bighorn	2007	15712091		Coal (short tons)
MT	Musselshell	2007	47165		Coal (short tons)
MT	Richland	2007	358391		Coal (short tons)
MT	Rosebud	2007	12583084		Coal (short tons)
MT	Bighorn	2008	17947506		Coal (short tons)
MT	Musselshell	2008	168252		Coal (short tons)
MT	Richland	2008	354859		Coal (short tons)
MT	Rosebud	2008	13052713		Coal (short tons)
MT	Bighorn	2009	17608969		Coal (short tons)
MT	Musselshell	2009	775532		Coal (short tons)
MT	Richland	2009	342586		Coal (short tons)
MT	Rosebud	2009	10331684		Coal (short tons)
MT	Bighorn	2010	19325848		Coal (short tons)
MT	Musselshell	2010	4388852		Coal (short tons)
MT	Richland	2010	351502		Coal (short tons)
MT	Rosebud	2010	12231389		Coal (short tons)
MT	Bighorn	2011	19080552		Coal (short tons)
MT	Musselshell	2011	5135570		Coal (short tons)
MT	Richland	2011	354669		Coal (short tons)
MT	Rosebud	2011	8784828		Coal (short tons)
MT	Bighorn	2012	17199485		Coal (short tons)
MT	Musselshell	2012	5707633		Coal (short tons)
MT	Richland	2012	296454		Coal (short tons)
MT	Rosebud	2012	8018098		Coal (short tons)
MT	Big Horn	2013	17669717		Coal (short tons)
MT	Musselshell	2013	8682884		Coal (short tons)
MT	Richland	2013	354184		Coal (short tons)
MT	Rosebud	2013	8234130		Coal (short tons)
