state	name	FIPS
MT	Valley	30105
MT	Flathead	30029
MT	Phillips	30071
MT	Lincoln	30053
MT	Glacier	30035
MT	Hill	30041
MT	Blaine	30005
MT	Daniels	30019
MT	Liberty	30051
MT	Toole	30101
MT	Sheridan	30091
MT	Roosevelt	30085
MT	Pondera	30073
MT	Chouteau	30015
MT	Sanders	30089
MT	Richland	30083
MT	Teton	30099
MT	McCone	30055
MT	Lake	30047
MT	Garfield	30033
MT	Lewis and Clark	30049
MT	Fergus	30027
MT	Dawson	30021
MT	Cascade	30013
MT	Missoula	30063
MT	Powell	30077
MT	Petroleum	30069
MT	Mineral	30061
MT	Judith Basin	30045
MT	Wibaux	30109
MT	Prairie	30079
MT	Meagher	30059
MT	Custer	30017
MT	Rosebud	30087
MT	Granite	30039
MT	Broadwater	30007
MT	Musselshell	30065
MT	Golden Valley	30037
MT	Wheatland	30107
MT	Fallon	30025
MT	Ravalli	30081
MT	Jefferson	30043
MT	Yellowstone	30111
MT	Treasure	30103
MT	Deer Lodge	30023
MT	Sweet Grass	30097
MT	Gallatin	30031
MT	Park	30067
MT	Silver Bow	30093
MT	Carter	30011
MT	Stillwater	30095
MT	Big Horn	30003
MT	Beaverhead	30001
MT	Madison	30057
MT	Powder River	30075
MT	Carbon	30009
