Year	State	County	FIPS	Commodity	Product	Type	Volume
2004	MT	Big Horn	30003	Coal	Coal (ton)	Royalties	16395909
2004	MT	Big Horn	30003	Gas	Coal Bed Methane (mcf)	Royalties	2522194
2004	MT	Blaine	30005	Gas	Fuel Gas (mcf)	Royalties	617.91
2004	MT	Blaine	30005	Gas	Processed (Residue) Gas (mcf)	Royalties	106243
2004	MT	Blaine	30005	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	3065538.97
2004	MT	Blaine	30005	NGL	Gas Plant Products (gal)	Royalties	1588.42
2004	MT	Blaine	30005	Oil	Oil (bbl)	Royalties	43514.89
2004	MT	Carbon	30009	Gas	Processed (Residue) Gas (mcf)	Royalties	17763
2004	MT	Carbon	30009	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	134879.7
2004	MT	Carbon	30009	NGL	Gas Plant Products (gal)	Royalties	1825441.68
2004	MT	Carbon	30009	Oil	Condensate (bbl)	Royalties	307.04
2004	MT	Carbon	30009	Oil	Oil (bbl)	Royalties	283592.57
2004	MT	Carbon	30009	Sulfur	Sulfur (lton)	Royalties	1866.43
2004	MT	Carter	30011	Oil	Oil (bbl)	Royalties	562
2004	MT	Chouteau	30015	Gas	Fuel Gas (mcf)	Royalties	341.55
2004	MT	Chouteau	30015	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	373911.21
2004	MT	Chouteau	30015	NGL	Gas Plant Products (gal)	Royalties	20302.34
2004	MT	Custer	30017	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	45134.27
2004	MT	Dawson	30021	Gas	Processed (Residue) Gas (mcf)	Royalties	37.72
2004	MT	Dawson	30021	NGL	Gas Plant Products (gal)	Royalties	4227.59
2004	MT	Dawson	30021	Oil	Oil (bbl)	Royalties	326555.53
2004	MT	Fallon	30025	Gas	Processed (Residue) Gas (mcf)	Royalties	132586.88
2004	MT	Fallon	30025	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	5829800.42
2004	MT	Fallon	30025	NGL	Gas Plant Products (gal)	Royalties	1458467.76
2004	MT	Fallon	30025	Oil	Drip or Scrubber Condensate (bbl)	Royalties	599.29
2004	MT	Fallon	30025	Oil	Oil (bbl)	Royalties	2073196.24
2004	MT	Fergus	30027	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	10294
2004	MT	Garfield	30033	Oil	Oil (bbl)	Royalties	3678.05
2004	MT	Glacier	30035	Gas	Processed (Residue) Gas (mcf)	Royalties	11020.5
2004	MT	Glacier	30035	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	19464.42
