Year	State	County	FIPS	Resource	Revenue
2004	MT	Beaverhead	30001	oilgas	1280.00
2004	MT	Big Horn	30003	oilgas	1524712.50
2004	MT	Blaine	30005	oilgas	2217844.57
2004	MT	Carbon	30009	oilgas	1383957.47
2004	MT	Carter	30011	oilgas	487013.26
2004	MT	Cascade	30013	oilgas	10053.49
2004	MT	Chouteau	30015	oilgas	302587.63
2004	MT	Custer	30017	oilgas	100094.79
2004	MT	Daniels	30019	oilgas	751.78
2004	MT	Dawson	30021	oilgas	1392836.95
2004	MT	Fallon	30025	oilgas	10645506.20
2004	MT	Fergus	30027	oilgas	31635.07
2004	MT	Garfield	30033	oilgas	2111.23
2004	MT	Glacier	30035	oilgas	27365.72
2004	MT	Hill	30041	oilgas	369981.45
2004	MT	Lew And Clar	30049	oilgas	141131.01
2004	MT	Liberty	30051	oilgas	162188.00
2004	MT	Mccone	30055	oilgas	13915.50
2004	MT	Meagher	30059	oilgas	16053.00
2004	MT	Musselshell	30065	oilgas	61024.50
2004	MT	Petroleum	30069	oilgas	7884.82
2004	MT	Phillips	30071	oilgas	6438707.54
2004	MT	Pondera	30073	oilgas	8319.12
2004	MT	Powder River	30075	oilgas	810599.22
2004	MT	Prairie	30079	oilgas	574525.23
2004	MT	Richland	30083	oilgas	1751813.17
2004	MT	Roosevelt	30085	oilgas	75518.75
2004	MT	Rosebud	30087	oilgas	325791.68
2004	MT	Sheridan	30091	oilgas	185962.46
2004	MT	Stillwater	30095	oilgas	53199.00
2004	MT	Sweet Grass	30097	oilgas	46368.00
2004	MT	Teton	30099	oilgas	4391.50
2004	MT	Toole	30101	oilgas	210924.66
2004	MT	Treasure	30103	oilgas	9387.00
2004	MT	Valley	30105	oilgas	883150.46
2004	MT	Wheatland	30107	oilgas	240.00
2004	MT	Wibaux	30109	oilgas	1707418.01
2004	MT	Yellowstone	30111	oilgas	16968.71
2004	MT		30	coal	33719147.31
2004	MT		30	minerals	5571.86
2005	MT	Big Horn	30003	oilgas	3072313.48
2005	MT	Blaine	30005	oilgas	2554691.52
2005	MT	Carbon	30009	oilgas	1680585.21
2005	MT	Carter	30011	oilgas	449582.03
2005	MT	Cascade	30013	oilgas	10673.49
2005	MT	Chouteau	30015	oilgas	321577.30
2005	MT	Custer	30017	oilgas	44512.48
2005	MT	Daniels	30019	oilgas	20557.86
2005	MT	Dawson	30021	oilgas	2553960.37
2005	MT	Fallon	30025	oilgas	16065508.44
2005	MT	Fergus	30027	oilgas	69263.44
2005	MT	Garfield	30033	oilgas	52013.71
2005	MT	Glacier	30035	oilgas	38158.52
2005	MT	Hill	30041	oilgas	659329.98
2005	MT	Lew And Clar	30049	oilgas	142161.51
2005	MT	Liberty	30051	oilgas	182466.62
2005	MT	Mccone	30055	oilgas	4421.50
2005	MT	Meagher	30059	oilgas	16134.00
2005	MT	Musselshell	30065	oilgas	67985.59
2005	MT	Petroleum	30069	oilgas	124706.08
2005	MT	Phillips	30071	oilgas	9178288.02
2005	MT	Pondera	30073	oilgas	45012.29
2005	MT	Powder River	30075	oilgas	569527.55
2005	MT	Prairie	30079	oilgas	698524.86
2005	MT	Richland	30083	oilgas	2063415.35
2005	MT	Roosevelt	30085	oilgas	125831.12
2005	MT	Rosebud	30087	oilgas	376094.09
2005	MT	Sheridan	30091	oilgas	293512.08
2005	MT	Stillwater	30095	oilgas	87888.00
2005	MT	Sweet Grass	30097	oilgas	2711.50
2005	MT	Teton	30099	oilgas	5291.50
2005	MT	Toole	30101	oilgas	272580.75
2005	MT	Treasure	30103	oilgas	3597.00
2005	MT	Valley	30105	oilgas	978049.56
2005	MT	Wheatland	30107	oilgas	240.00
2005	MT	Wibaux	30109	oilgas	2199256.21
2005	MT	Yellowstone	30111	oilgas	9292.00
2005	MT		30	coal	33335011.04
2005	MT		30	minerals	3026.45
2006	MT	Beaverhead	30001	oilgas	73461.50
2006	MT	Big Horn	30003	oilgas	2793787.33
2006	MT	Blaine	30005	oilgas	2710623.58
2006	MT	Carbon	30009	oilgas	1998276.23
2006	MT	Carter	30011	oilgas	522034.17
2006	MT	Cascade	30013	oilgas	13404.65
2006	MT	Chouteau	30015	oilgas	238146.75
2006	MT	Custer	30017	oilgas	35711.83
2006	MT	Daniels	30019	oilgas	12583.60
2006	MT	Dawson	30021	oilgas	2384716.77
2006	MT	Fallon	30025	oilgas	17349897.32
2006	MT	Fergus	30027	oilgas	105978.45
2006	MT	Flathead	30029	oilgas	1996.00
2006	MT	Gallatin	30031	oilgas	23478.00
2006	MT	Garfield	30033	oilgas	25481.98
2006	MT	Glacier	30035	oilgas	43366.46
2006	MT	Golden Vally	30037	oilgas	1400.00
2006	MT	Hill	30041	oilgas	494818.78
2006	MT	Lew And Clar	30049	oilgas	32782.35
2006	MT	Liberty	30051	oilgas	157642.89
2006	MT	Mccone	30055	oilgas	3661.50
2006	MT	Meagher	30059	oilgas	21044.50
2006	MT	Musselshell	30065	oilgas	66515.75
2006	MT	Petroleum	30069	oilgas	109732.50
2006	MT	Phillips	30071	oilgas	8072198.71
2006	MT	Pondera	30073	oilgas	164498.68
2006	MT	Powder River	30075	oilgas	598515.13
2006	MT	Prairie	30079	oilgas	658328.80
2006	MT	Richland	30083	oilgas	2618500.32
2006	MT	Roosevelt	30085	oilgas	178466.19
2006	MT	Rosebud	30087	oilgas	358731.88
2006	MT	Sheridan	30091	oilgas	270890.95
2006	MT	Stillwater	30095	oilgas	41273.39
2006	MT	Sweet Grass	30097	oilgas	5719.00
2006	MT	Teton	30099	oilgas	30748.14
2006	MT	Toole	30101	oilgas	400259.27
2006	MT	Treasure	30103	oilgas	3597.00
2006	MT	Valley	30105	oilgas	1007741.47
2006	MT	Wheatland	30107	oilgas	2980.50
2006	MT	Wibaux	30109	oilgas	2580354.20
2006	MT	Yellowstone	30111	oilgas	17717.41
2006	MT		30	coal	30401779.76
2006	MT		30	minerals	17212.99
2007	MT	Beaverhead	30001	oilgas	117521.23
2007	MT	Big Horn	30003	oilgas	2072792.96
2007	MT	Blaine	30005	oilgas	3181962.21
2007	MT	Carbon	30009	oilgas	2367505.54
2007	MT	Carter	30011	oilgas	492204.62
2007	MT	Cascade	30013	oilgas	13404.65
2007	MT	Chouteau	30015	oilgas	274908.99
2007	MT	Custer	30017	oilgas	161408.79
2007	MT	Daniels	30019	oilgas	12617.81
2007	MT	Dawson	30021	oilgas	2406333.17
2007	MT	Fallon	30025	oilgas	17940782.30
2007	MT	Fergus	30027	oilgas	57734.27
2007	MT	Gallatin	30031	oilgas	10062.00
2007	MT	Garfield	30033	oilgas	24555.44
2007	MT	Glacier	30035	oilgas	55548.86
2007	MT	Golden Vally	30037	oilgas	2937.00
2007	MT	Hill	30041	oilgas	497793.45
2007	MT	Lew And Clar	30049	oilgas	102414.35
2007	MT	Liberty	30051	oilgas	134072.98
2007	MT	Mccone	30055	oilgas	3661.50
2007	MT	Meagher	30059	oilgas	18238.50
2007	MT	Musselshell	30065	oilgas	69951.80
2007	MT	Petroleum	30069	oilgas	121729.60
2007	MT	Phillips	30071	oilgas	9863049.28
2007	MT	Pondera	30073	oilgas	175470.81
2007	MT	Powder River	30075	oilgas	1011879.15
2007	MT	Prairie	30079	oilgas	724614.34
2007	MT	Richland	30083	oilgas	3066543.46
2007	MT	Roosevelt	30085	oilgas	280184.51
2007	MT	Rosebud	30087	oilgas	178428.56
2007	MT	Sheridan	30091	oilgas	255623.54
2007	MT	Stillwater	30095	oilgas	103284.08
2007	MT	Sweet Grass	30097	oilgas	5680.00
2007	MT	Teton	30099	oilgas	5413.27
2007	MT	Toole	30101	oilgas	498238.46
2007	MT	Treasure	30103	oilgas	4796.00
2007	MT	Valley	30105	oilgas	1041219.87
