Year	Region	Commodity	Volume	Product
2004	NC		5435	Conventional Hydroelectric (Kwh)
2005	NC		5397	Conventional Hydroelectric (Kwh)
2006	NC		3839	Conventional Hydroelectric (Kwh)
2007	NC		2984	Conventional Hydroelectric (Kwh)
2008	NC		3034	Conventional Hydroelectric (Kwh)
2009	NC		5171	Conventional Hydroelectric (Kwh)
2010	NC		4757	Conventional Hydroelectric (Kwh)
2011	NC		3893	Conventional Hydroelectric (Kwh)
2012	NC		3728	Conventional Hydroelectric (Kwh)
2013	NC		6901	Conventional Hydroelectric (Kwh)
2004	NC		1733	All Other Renewables (Kwh)
2005	NC		1807	All Other Renewables (Kwh)
2006	NC		1828	All Other Renewables (Kwh)
2007	NC		1672	All Other Renewables (Kwh)
2008	NC		1922	All Other Renewables (Kwh)
2009	NC		1893	All Other Renewables (Kwh)
2010	NC		2083	All Other Renewables (Kwh)
2011	NC		2345	All Other Renewables (Kwh)
2012	NC		2704	All Other Renewables (Kwh)
2013	NC		2955	All Other Renewables (Kwh)
2008	NC		2	Solar (Kwh)
2009	NC		5	Solar (Kwh)
2010	NC		11	Solar (Kwh)
2011	NC		17	Solar (Kwh)
2012	NC		139	Solar (Kwh)
2013	NC		345	Solar (Kwh)
2004	NC		1733	Biomass (total) (Kwh)
2005	NC		1807	Biomass (total) (Kwh)
2006	NC		1828	Biomass (total) (Kwh)
2007	NC		1672	Biomass (total) (Kwh)
2008	NC		1920	Biomass (total) (Kwh)
2009	NC		1889	Biomass (total) (Kwh)
2010	NC		2072	Biomass (total) (Kwh)
2011	NC		2328	Biomass (total) (Kwh)
2012	NC		2564	Biomass (total) (Kwh)
2013	NC		2610	Biomass (total) (Kwh)
2004	NC		1621	Wood and wood-derived fuels (Kwh)
2005	NC		1709	Wood and wood-derived fuels (Kwh)
2006	NC		1737	Wood and wood-derived fuels (Kwh)
2007	NC		1585	Wood and wood-derived fuels (Kwh)
2008	NC		1800	Wood and wood-derived fuels (Kwh)
2009	NC		1757	Wood and wood-derived fuels (Kwh)
2010	NC		1876	Wood and wood-derived fuels (Kwh)
2011	NC		1953	Wood and wood-derived fuels (Kwh)
2012	NC		2262	Wood and wood-derived fuels (Kwh)
2013	NC		2200	Wood and wood-derived fuels (Kwh)
2004	NC		112	Other biomass (Kwh)
2005	NC		98	Other biomass (Kwh)
2006	NC		92	Other biomass (Kwh)
2007	NC		87	Other biomass (Kwh)
2008	NC		120	Other biomass (Kwh)
2009	NC		131	Other biomass (Kwh)
2010	NC		195	Other biomass (Kwh)
2011	NC		375	Other biomass (Kwh)
2012	NC		302	Other biomass (Kwh)
2013	NC		410	Other biomass (Kwh)
2004	NC		10634	All Renewables (Kwh)
2005	NC		10818	All Renewables (Kwh)
2006	NC		9324	All Renewables (Kwh)
2007	NC		8000	All Renewables (Kwh)
2008	NC		8798	All Renewables (Kwh)
2009	NC		10846	All Renewables (Kwh)
2010	NC		10994	All Renewables (Kwh)
2011	NC		10911	All Renewables (Kwh)
2012	NC		11699	All Renewables (Kwh)
2013	NC		15421	All Renewables (Kwh)
