Year	Commodity	Volume	County	State	Product
2004		57333		ND	Natural Gas (MMcf)
2005		55904		ND	Natural Gas (MMcf)
2006		62786		ND	Natural Gas (MMcf)
2007		70797		ND	Natural Gas (MMcf)
2008		87188		ND	Natural Gas (MMcf)
2009		92489		ND	Natural Gas (MMcf)
2010		113867		ND	Natural Gas (MMcf)
2011		157025		ND	Natural Gas (MMcf)
2012		258568		ND	Natural Gas (MMcf)
2013		345787		ND	Natural Gas (MMcf)
2004		31152000		ND	Crude Oil (bbl)
2005		35675000		ND	Crude Oil (bbl)
2006		39943000		ND	Crude Oil (bbl)
2007		45122000		ND	Crude Oil (bbl)
2008		62780000		ND	Crude Oil (bbl)
2009		79728000		ND	Crude Oil (bbl)
2010		113064000		ND	Crude Oil (bbl)
2011		153015000		ND	Crude Oil (bbl)
2012		243236000		ND	Crude Oil (bbl)
2013		313823000		ND	Crude Oil (bbl)
2004		1546		ND	Conventional Hydroelectric (Kwh)
2005		1342		ND	Conventional Hydroelectric (Kwh)
2006		1521		ND	Conventional Hydroelectric (Kwh)
2007		1305		ND	Conventional Hydroelectric (Kwh)
2008		1253		ND	Conventional Hydroelectric (Kwh)
2009		1475		ND	Conventional Hydroelectric (Kwh)
2010		2042		ND	Conventional Hydroelectric (Kwh)
2011		2580		ND	Conventional Hydroelectric (Kwh)
2012		2477		ND	Conventional Hydroelectric (Kwh)
2013		1852		ND	Conventional Hydroelectric (Kwh)
2004		220		ND	All Other Renewables (Kwh)
2005		230		ND	All Other Renewables (Kwh)
2006		373		ND	All Other Renewables (Kwh)
2007		634		ND	All Other Renewables (Kwh)
2008		1706		ND	All Other Renewables (Kwh)
2009		3009		ND	All Other Renewables (Kwh)
2010		4108		ND	All Other Renewables (Kwh)
2011		5245		ND	All Other Renewables (Kwh)
2012		5280		ND	All Other Renewables (Kwh)
2013		5524		ND	All Other Renewables (Kwh)
2004		215		ND	Wind (Kwh)
2005		220		ND	Wind (Kwh)
2006		369		ND	Wind (Kwh)
2007		621		ND	Wind (Kwh)
2008		1693		ND	Wind (Kwh)
2009		2998		ND	Wind (Kwh)
2010		4096		ND	Wind (Kwh)
2011		5236		ND	Wind (Kwh)
2012		5275		ND	Wind (Kwh)
2013		5519		ND	Wind (Kwh)
2004		6		ND	Biomass (total) (Kwh)
2005		10		ND	Biomass (total) (Kwh)
2006		4		ND	Biomass (total) (Kwh)
2007		14		ND	Biomass (total) (Kwh)
2008		13		ND	Biomass (total) (Kwh)
2009		12		ND	Biomass (total) (Kwh)
2010		12		ND	Biomass (total) (Kwh)
2011		10		ND	Biomass (total) (Kwh)
2012		6		ND	Biomass (total) (Kwh)
2013		5		ND	Biomass (total) (Kwh)
2004		6		ND	Other biomass (Kwh)
2005		10		ND	Other biomass (Kwh)
2006		4		ND	Other biomass (Kwh)
2007		14		ND	Other biomass (Kwh)
2008		13		ND	Other biomass (Kwh)
2009		12		ND	Other biomass (Kwh)
2010		12		ND	Other biomass (Kwh)
2011		10		ND	Other biomass (Kwh)
2012		6		ND	Other biomass (Kwh)
2013		5		ND	Other biomass (Kwh)
2004		1993		ND	All Renewables (Kwh)
2005		1812		ND	All Renewables (Kwh)
2006		2271		ND	All Renewables (Kwh)
2007		2588		ND	All Renewables (Kwh)
2008		4678		ND	All Renewables (Kwh)
2009		7506		ND	All Renewables (Kwh)
2010		10270		ND	All Renewables (Kwh)
2011		13081		ND	All Renewables (Kwh)
2012		13044		ND	All Renewables (Kwh)
2013		12905		ND	All Renewables (Kwh)
2004		7578153	Mclean County	ND	Coal (short tons)
2004		15208281	Mercer County	ND	Coal (short tons)
2004		4103859	Oliver County	ND	Coal (short tons)
2005		7743341	Mclean County	ND	Coal (short tons)
2005		15007352	Mercer County	ND	Coal (short tons)
2005		4367952	Oliver County	ND	Coal (short tons)
2006		8155004	Mclean County	ND	Coal (short tons)
2006		15243391	Mercer County	ND	Coal (short tons)
2007		7788852	Mclean County	ND	Coal (short tons)
2007		14955989	Mercer County	ND	Coal (short tons)
2008		7532993	Mclean County	ND	Coal (short tons)
2008		14565631	Mercer County	ND	Coal (short tons)
2008		4505263	Oliver County	ND	Coal (short tons)
2009		8071246	Mclean County	ND	Coal (short tons)
2009		15046737	Mercer County	ND	Coal (short tons)
2010		7570950	Mclean County	ND	Coal (short tons)
2010		14594871	Mercer County	ND	Coal (short tons)
2011		7477211	Mclean County	ND	Coal (short tons)
2011		13639122	Mercer County	ND	Coal (short tons)
2012		7914827	Mclean County	ND	Coal (short tons)
2012		12974746	Mercer County	ND	Coal (short tons)
2012		4324815	Oliver County	ND	Coal (short tons)
2013		7650076	Mclean County	ND	Coal (short tons)
2013		13782716	Mercer County	ND	Coal (short tons)
