Year	State	County	FIPS	Commodity	Product	Volume
2011	ND	Bowman County	38011		Oil (bbl)	126.5
2010	ND	Bowman County	38011		Oil (bbl)	173.5
2009	ND	Bowman County	38011		Oil (bbl)	209.5
2008	ND	Bowman County	38011		Oil (bbl)	300.5
2005	ND	Mountrail County	38061		Oil (bbl)	324.6
2006	ND	Bowman County	38011		Gas (mcf)	408
2007	ND	Bowman County	38011		Oil (bbl)	568
2007	ND	Bowman County	38011		Gas (mcf)	572
2013	ND	Bottineau County	38009		Gas (mcf)	578.42
2012	ND	Bottineau County	38009		Gas (mcf)	697.35
2010	ND	Divide County	38023		Oil (bbl)	822
2008	ND	Divide County	38023		Gas (mcf)	833.75
2011	ND	Bottineau County	38009		Gas (mcf)	941.87
2005	ND	Bowman County	38011		Gas (mcf)	942
2009	ND	Divide County	38023		Oil (bbl)	1027.42
2006	ND	Bowman County	38011		Oil (bbl)	1105
2006	ND	Mountrail County	38061		Oil (bbl)	1189.39
2008	ND	Divide County	38023		Oil (bbl)	1290.48
2012	ND	Bowman County	38011		Gas (mcf)	1566
2007	ND	Divide County	38023		Oil (bbl)	1778
2005	ND	Bottineau County	38009		Gas (mcf)	1970.78
2007	ND	Bottineau County	38009		Gas (mcf)	2104.4
2009	ND	Divide County	38023		Gas (mcf)	2114.75
2006	ND	Bottineau County	38009		Gas (mcf)	2181.84
2010	ND	Bottineau County	38009		Gas (mcf)	2232.51
2009	ND	Bottineau County	38009		Gas (mcf)	2319.53
2008	ND	Bottineau County	38009		Gas (mcf)	2425.24
2010	ND	Divide County	38023		Gas (mcf)	2464.73
2013	ND	Bowman County	38011		Gas (mcf)	2519
2014	ND	Bottineau County	38009		Gas (mcf)	2533.15
2014	ND	Renville County	38075		Gas (mcf)	3910
2014	ND	Bowman County	38011		Gas (mcf)	4123
2005	ND	Mountrail County	38061		Gas (mcf)	4891.49
2005	ND	Renville County	38075		Gas (mcf)	5167.85
2006	ND	Mountrail County	38061		Gas (mcf)	5354.92
2006	ND	Renville County	38075		Gas (mcf)	5412.85
2013	ND	Renville County	38075		Gas (mcf)	5615.23
2011	ND	Bowman County	38011		Gas (mcf)	5890
2006	ND	Burke County	38013		Oil (bbl)	6172.89
2012	ND	Renville County	38075		Gas (mcf)	6294.76
2007	ND	Mountrail County	38061		Oil (bbl)	6728.87
2007	ND	Renville County	38075		Gas (mcf)	6792.85
2005	ND	Burke County	38013		Oil (bbl)	6990.6
2011	ND	Renville County	38075		Gas (mcf)	7078.1
2008	ND	Bowman County	38011		Gas (mcf)	7334.5
2008	ND	Burke County	38013		Oil (bbl)	7527.54
2007	ND	Mountrail County	38061		Gas (mcf)	7960.96
2009	ND	Burke County	38013		Oil (bbl)	8159.07
2010	ND	Renville County	38075		Gas (mcf)	8363.14
2007	ND	Burke County	38013		Oil (bbl)	8554.28
2010	ND	Bowman County	38011		Gas (mcf)	8612
2011	ND	Burke County	38013		Oil (bbl)	9077.11
2009	ND	Renville County	38075		Gas (mcf)	9393.63
2011	ND	Stark County	38089		Gas (mcf)	10980.27
2008	ND	Renville County	38075		Gas (mcf)	11303.85
2005	ND	Bowman County	38011		Oil (bbl)	11361.5
2010	ND	Stark County	38089		Gas (mcf)	11414.93
2011	ND	Divide County	38023		Gas (mcf)	12418.55
2009	ND	Stark County	38089		Gas (mcf)	13051.99
2009	ND	Bowman County	38011		Gas (mcf)	13281.5
2010	ND	Burke County	38013		Oil (bbl)	13710.34
2008	ND	Stark County	38089		Gas (mcf)	14817.89
2007	ND	Stark County	38089		Gas (mcf)	15983.99
2011	ND	Stark County	38089		Oil (bbl)	19295.35
2014	ND	Renville County	38075		Oil (bbl)	19829.63
2010	ND	Stark County	38089		Oil (bbl)	20492.92
2006	ND	Stark County	38089		Gas (mcf)	20556.21
2011	ND	Divide County	38023		Oil (bbl)	20692.06
2005	ND	Renville County	38075		Oil (bbl)	23515.01
2006	ND	Renville County	38075		Oil (bbl)	24418.71
2013	ND	Renville County	38075		Oil (bbl)	24712.25
2009	ND	Stark County	38089		Oil (bbl)	25142.06
2014	ND	Bottineau County	38009		Oil (bbl)	25416.08
2013	ND	Bottineau County	38009		Oil (bbl)	27413.29
2012	ND	Renville County	38075		Oil (bbl)	27803.41
2005	ND	Stark County	38089		Gas (mcf)	27844.66
2012	ND	Bottineau County	38009		Oil (bbl)	28519.47
2011	ND	Renville County	38075		Oil (bbl)	29964.38
2008	ND	Stark County	38089		Oil (bbl)	30070.12
2009	ND	Burke County	38013		Gas (mcf)	30436.95
2007	ND	Burke County	38013		Gas (mcf)	30786.01
2011	ND	Burke County	38013		Gas (mcf)	31371.44
