Year	State	County	FIPS	Commodity	Product	Type	Revenue
2004	ND	Billings	38007	Oil & Gas		Bonus	517540
2004	ND	Billings	38007	Oil & Gas		Other Revenues	232087.03
2004	ND	Billings	38007	Oil & Gas		Rents	134525.5
2004	ND	Billings	38007	Gas	Processed (Residue) Gas	Royalties	68580.05
2004	ND	Billings	38007	Gas	Unprocessed (Wet) Gas	Royalties	935327.47
2004	ND	Billings	38007	NGL	Gas Plant Products	Royalties	126563.78
2004	ND	Billings	38007	Oil	Condensate	Royalties	88973.97
2004	ND	Billings	38007	Oil	Drip or Scrubber Condensate	Royalties	2076.68
2004	ND	Billings	38007	Oil	Oil	Royalties	9268712.76
2004	ND	Bottineau	38009	Oil & Gas		Rents	1781
2004	ND	Bottineau	38009	Oil	Oil	Royalties	108788.56
2004	ND	Bowman	38011	Oil & Gas		Other Revenues	12850
2004	ND	Bowman	38011	Oil & Gas		Rents	17495.5
2004	ND	Bowman	38011	Gas	Processed (Residue) Gas	Royalties	64438.31
2004	ND	Bowman	38011	Gas	Unprocessed (Wet) Gas	Royalties	1129919.55
2004	ND	Bowman	38011	NGL	Gas Plant Products	Royalties	52381.86
2004	ND	Bowman	38011	Oil	Drip or Scrubber Condensate	Royalties	8665.42
2004	ND	Bowman	38011	Oil	Oil	Royalties	5756934.16
2004	ND	Burke	38013	Oil & Gas		Bonus	28380
2004	ND	Burke	38013	Oil & Gas		Rents	1656
2004	ND	Burke	38013	Gas	Gas Lost - Flared or Vented	Royalties	1031.82
2004	ND	Burke	38013	Gas	Unprocessed (Wet) Gas	Royalties	4185.17
2004	ND	Burke	38013	Oil	Oil	Royalties	7789.22
2004	ND	Burleigh	38015	Oil & Gas		Rents	121.84
2004	ND	Divide	38023	Oil & Gas		Other Revenues	6.73
2004	ND	Divide	38023	Oil & Gas		Rents	120
2004	ND	Divide	38023	Gas	Unprocessed (Wet) Gas	Royalties	-0.09
2004	ND	Divide	38023	Oil	Oil	Royalties	11.74
2004	ND	Dunn	38025	Oil & Gas		Bonus	71625
2004	ND	Dunn	38025	Oil & Gas		Other Revenues	36925
2004	ND	Dunn	38025	Oil & Gas		Rents	42855.5
2004	ND	Dunn	38025	Gas	Processed (Residue) Gas	Royalties	7412.84
2004	ND	Dunn	38025	Gas	Unprocessed (Wet) Gas	Royalties	17868.25
2004	ND	Dunn	38025	NGL	Gas Plant Products	Royalties	6735.32
2004	ND	Dunn	38025	Oil	Oil	Royalties	388108.77
