Year	Region	Commodity	Volume	Product
2004	NE		1499	Natural Gas (MMcf)
2005	NE		1201	Natural Gas (MMcf)
2006	NE		1217	Natural Gas (MMcf)
2007	NE		1560	Natural Gas (MMcf)
2008	NE		3083	Natural Gas (MMcf)
2009	NE		2916	Natural Gas (MMcf)
2010	NE		2255	Natural Gas (MMcf)
2011	NE		1980	Natural Gas (MMcf)
2012	NE		1328	Natural Gas (MMcf)
2013	NE		1032	Natural Gas (MMcf)
2004	NE		2506000	Crude Oil (bbl)
2005	NE		2408000	Crude Oil (bbl)
2006	NE		2313000	Crude Oil (bbl)
2007	NE		2335000	Crude Oil (bbl)
2008	NE		2394000	Crude Oil (bbl)
2009	NE		2239000	Crude Oil (bbl)
2010	NE		2331000	Crude Oil (bbl)
2011	NE		2544000	Crude Oil (bbl)
2012	NE		3025000	Crude Oil (bbl)
2013	NE		2808000	Crude Oil (bbl)
2004	NE		913	Conventional Hydroelectric (Kwh)
2005	NE		871	Conventional Hydroelectric (Kwh)
2006	NE		893	Conventional Hydroelectric (Kwh)
2007	NE		347	Conventional Hydroelectric (Kwh)
2008	NE		346	Conventional Hydroelectric (Kwh)
2009	NE		434	Conventional Hydroelectric (Kwh)
2010	NE		1314	Conventional Hydroelectric (Kwh)
2011	NE		1617	Conventional Hydroelectric (Kwh)
2012	NE		1257	Conventional Hydroelectric (Kwh)
2013	NE		1124	Conventional Hydroelectric (Kwh)
2004	NE		78	All Other Renewables (Kwh)
2005	NE		139	All Other Renewables (Kwh)
2006	NE		313	All Other Renewables (Kwh)
2007	NE		278	All Other Renewables (Kwh)
2008	NE		275	All Other Renewables (Kwh)
2009	NE		449	All Other Renewables (Kwh)
2010	NE		493	All Other Renewables (Kwh)
2011	NE		1116	All Other Renewables (Kwh)
2012	NE		1347	All Other Renewables (Kwh)
2013	NE		1869	All Other Renewables (Kwh)
2004	NE		38	Wind (Kwh)
2005	NE		97	Wind (Kwh)
2006	NE		261	Wind (Kwh)
2007	NE		217	Wind (Kwh)
2008	NE		214	Wind (Kwh)
2009	NE		383	Wind (Kwh)
2010	NE		422	Wind (Kwh)
2011	NE		1051	Wind (Kwh)
2012	NE		1284	Wind (Kwh)
2013	NE		1802	Wind (Kwh)
2004	NE		40	Biomass (total) (Kwh)
2005	NE		43	Biomass (total) (Kwh)
2006	NE		52	Biomass (total) (Kwh)
2007	NE		61	Biomass (total) (Kwh)
2008	NE		61	Biomass (total) (Kwh)
2009	NE		66	Biomass (total) (Kwh)
2010	NE		72	Biomass (total) (Kwh)
2011	NE		65	Biomass (total) (Kwh)
2012	NE		63	Biomass (total) (Kwh)
2013	NE		67	Biomass (total) (Kwh)
2013	NE		0	Wood and wood-derived fuels (Kwh)
2004	NE		40	Other biomass (Kwh)
2005	NE		43	Other biomass (Kwh)
2006	NE		52	Other biomass (Kwh)
2007	NE		61	Other biomass (Kwh)
2008	NE		61	Other biomass (Kwh)
2009	NE		66	Other biomass (Kwh)
2010	NE		72	Other biomass (Kwh)
2011	NE		65	Other biomass (Kwh)
2012	NE		63	Other biomass (Kwh)
2013	NE		67	Other biomass (Kwh)
2004	NE		1109	All Renewables (Kwh)
2005	NE		1193	All Renewables (Kwh)
2006	NE		1571	All Renewables (Kwh)
2007	NE		964	All Renewables (Kwh)
2008	NE		957	All Renewables (Kwh)
2009	NE		1398	All Renewables (Kwh)
2010	NE		2373	All Renewables (Kwh)
2011	NE		3914	All Renewables (Kwh)
2012	NE		4014	All Renewables (Kwh)
2013	NE		4929	All Renewables (Kwh)
