Year	State	County	FIPS	Commodity	Product	Type	Revenue
2004	NE	Banner	31007	Oil & Gas		Rents	120
2004	NE	Cheyenne	31033	Oil & Gas		Other Revenues	15111.06
2004	NE	Cheyenne	31033	Oil & Gas		Rents	13210.5
2004	NE	Cheyenne	31033	Oil	Oil	Royalties	117725.63
2004	NE	Deuel	31049	Oil & Gas		Other Revenues	123.18
2004	NE	Deuel	31049	Oil & Gas		Rents	480
2004	NE	Dundy	31057	Oil	Oil	Royalties	1870.72
2004	NE	Harlan	31083	Oil & Gas		Rents	68
2004	NE	Hitchcock	31087	Oil	Oil	Royalties	25689.57
2004	NE	Kimball	31105	Oil & Gas		Rents	98
2004	NE	Kimball	31105	Oil	Oil	Royalties	1673.33
2004	NE	Morrill	31123	Oil & Gas		Rents	60
2004	NE	Red Willow	31145	Oil	Oil	Royalties	271.42
2004	NE	Scotts Bluff	31157	Oil & Gas		Rents	757.5
2005	NE	Banner	31007	Oil & Gas		Rents	120
2005	NE	Cheyenne	31033	Oil & Gas		Other Revenues	20843.48
2005	NE	Cheyenne	31033	Oil & Gas		Rents	13210.5
2005	NE	Cheyenne	31033	Oil	Oil	Royalties	167561.17
2005	NE	Deuel	31049	Oil & Gas		Other Revenues	157.23
2005	NE	Deuel	31049	Oil & Gas		Rents	211.2
2005	NE	Dundy	31057	Oil	Oil	Royalties	2239.56
2005	NE	Harlan	31083	Oil & Gas		Rents	68
2005	NE	Hitchcock	31087	Oil	Oil	Royalties	36193.49
2005	NE	Kimball	31105	Oil & Gas		Rents	98
2005	NE	Kimball	31105	Oil	Oil	Royalties	3389.06
2005	NE	Morrill	31123	Oil & Gas		Rents	60
2005	NE	Red Willow	31145	Oil	Oil	Royalties	307.71
2005	NE	Scotts Bluff	31157	Oil & Gas		Rents	1010
2006	NE	Banner	31007	Oil & Gas		Rents	240
2006	NE	Cheyenne	31033	Oil & Gas		Other Revenues	22166.9
2006	NE	Cheyenne	31033	Oil & Gas		Rents	16254
2006	NE	Cheyenne	31033	Oil	Oil	Royalties	233614.36
2006	NE	Deuel	31049	Oil & Gas		Other Revenues	230.5
2006	NE	Deuel	31049	Oil	Oil	Other Revenues	-6
2006	NE	Dundy	31057	Oil	Oil	Royalties	2494.4
2006	NE	Hitchcock	31087	Oil	Oil	Royalties	40894.06
2006	NE	Kimball	31105	Oil & Gas		Rents	98
2006	NE	Kimball	31105	Oil	Oil	Royalties	3506.38
2006	NE	Red Willow	31145	Oil	Oil	Royalties	430.49
2006	NE	Scotts Bluff	31157	Oil & Gas		Rents	1010
2007	NE	Banner	31007	Oil & Gas		Rents	280
2007	NE	Cheyenne	31033	Oil & Gas		Other Revenues	25732.66
2007	NE	Cheyenne	31033	Oil & Gas		Rents	11214
2007	NE	Cheyenne	31033	Oil	Oil	Royalties	462779.87
