Year	Commodity	Volume	County	State	Product
2004		1316		NH	Conventional Hydroelectric (Kwh)
2005		1799		NH	Conventional Hydroelectric (Kwh)
2006		1529		NH	Conventional Hydroelectric (Kwh)
2007		1265		NH	Conventional Hydroelectric (Kwh)
2008		1633		NH	Conventional Hydroelectric (Kwh)
2009		1680		NH	Conventional Hydroelectric (Kwh)
2010		1478		NH	Conventional Hydroelectric (Kwh)
2011		1605		NH	Conventional Hydroelectric (Kwh)
2012		1289		NH	Conventional Hydroelectric (Kwh)
2013		1427		NH	Conventional Hydroelectric (Kwh)
2004		883		NH	All Other Renewables (Kwh)
2005		942		NH	All Other Renewables (Kwh)
2006		746		NH	All Other Renewables (Kwh)
2007		1123		NH	All Other Renewables (Kwh)
2008		1175		NH	All Other Renewables (Kwh)
2009		1198		NH	All Other Renewables (Kwh)
2010		1232		NH	All Other Renewables (Kwh)
2011		1091		NH	All Other Renewables (Kwh)
2012		1381		NH	All Other Renewables (Kwh)
2013		1695		NH	All Other Renewables (Kwh)
2008		10		NH	Wind (Kwh)
2009		62		NH	Wind (Kwh)
2010		76		NH	Wind (Kwh)
2011		66		NH	Wind (Kwh)
2012		209		NH	Wind (Kwh)
2013		389		NH	Wind (Kwh)
2004		883		NH	Biomass (total) (Kwh)
2005		942		NH	Biomass (total) (Kwh)
2006		746		NH	Biomass (total) (Kwh)
2007		1123		NH	Biomass (total) (Kwh)
2008		1165		NH	Biomass (total) (Kwh)
2009		1135		NH	Biomass (total) (Kwh)
2010		1157		NH	Biomass (total) (Kwh)
2011		1025		NH	Biomass (total) (Kwh)
2012		1173		NH	Biomass (total) (Kwh)
2013		1306		NH	Biomass (total) (Kwh)
2004		728		NH	Wood and wood-derived fuels (Kwh)
2005		786		NH	Wood and wood-derived fuels (Kwh)
2006		590		NH	Wood and wood-derived fuels (Kwh)
2007		970		NH	Wood and wood-derived fuels (Kwh)
2008		1010		NH	Wood and wood-derived fuels (Kwh)
2009		984		NH	Wood and wood-derived fuels (Kwh)
2010		1030		NH	Wood and wood-derived fuels (Kwh)
2011		917		NH	Wood and wood-derived fuels (Kwh)
2012		1035		NH	Wood and wood-derived fuels (Kwh)
2013		1169		NH	Wood and wood-derived fuels (Kwh)
2004		155		NH	Other biomass (Kwh)
2005		156		NH	Other biomass (Kwh)
2006		156		NH	Other biomass (Kwh)
2007		153		NH	Other biomass (Kwh)
2008		155		NH	Other biomass (Kwh)
2009		151		NH	Other biomass (Kwh)
2010		127		NH	Other biomass (Kwh)
2011		108		NH	Other biomass (Kwh)
2012		137		NH	Other biomass (Kwh)
2013		137		NH	Other biomass (Kwh)
2004		3965		NH	All Renewables (Kwh)
2005		4625		NH	All Renewables (Kwh)
2006		3767		NH	All Renewables (Kwh)
2007		4634		NH	All Renewables (Kwh)
2008		5148		NH	All Renewables (Kwh)
2009		5210		NH	All Renewables (Kwh)
2010		5100		NH	All Renewables (Kwh)
2011		4812		NH	All Renewables (Kwh)
2012		5224		NH	All Renewables (Kwh)
2013		6123		NH	All Renewables (Kwh)
