Year	Commodity	Volume	County	State	Product
2004		1644738		NM	Natural Gas (MMcf)
2005		1656850		NM	Natural Gas (MMcf)
2006		1619528		NM	Natural Gas (MMcf)
2007		1555450		NM	Natural Gas (MMcf)
2008		1487123		NM	Natural Gas (MMcf)
2009		1425222		NM	Natural Gas (MMcf)
2010		1341475		NM	Natural Gas (MMcf)
2011		1287682		NM	Natural Gas (MMcf)
2012		1276296		NM	Natural Gas (MMcf)
2013		1247394		NM	Natural Gas (MMcf)
2004		64517000		NM	Crude Oil (bbl)
2005		60963000		NM	Crude Oil (bbl)
2006		59452000		NM	Crude Oil (bbl)
2007		59179000		NM	Crude Oil (bbl)
2008		60156000		NM	Crude Oil (bbl)
2009		61156000		NM	Crude Oil (bbl)
2010		65373000		NM	Crude Oil (bbl)
2011		71249000		NM	Crude Oil (bbl)
2012		85334000		NM	Crude Oil (bbl)
2013		101451000		NM	Crude Oil (bbl)
2004		139000		NM	Conventional Hydroelectric (Mwh)
2005		165000		NM	Conventional Hydroelectric (Mwh)
2006		198000		NM	Conventional Hydroelectric (Mwh)
2007		268000		NM	Conventional Hydroelectric (Mwh)
2008		312000		NM	Conventional Hydroelectric (Mwh)
2009		271000		NM	Conventional Hydroelectric (Mwh)
2010		217000		NM	Conventional Hydroelectric (Mwh)
2011		195000		NM	Conventional Hydroelectric (Mwh)
2012		223000		NM	Conventional Hydroelectric (Mwh)
2013		92000		NM	Conventional Hydroelectric (Mwh)
2004		513000		NM	Other Renewables (Mwh)
2005		799000		NM	Other Renewables (Mwh)
2006		1277000		NM	Other Renewables (Mwh)
2007		1409000		NM	Other Renewables (Mwh)
2008		1662000		NM	Other Renewables (Mwh)
2009		1580000		NM	Other Renewables (Mwh)
2010		1855000		NM	Other Renewables (Mwh)
2011		2242000		NM	Other Renewables (Mwh)
2012		2574000		NM	Other Renewables (Mwh)
2013		2600000		NM	Other Renewables (Mwh)
2004		513000		NM	Wind (Mwh)
2005		795000		NM	Wind (Mwh)
2006		1255000		NM	Wind (Mwh)
2007		1393000		NM	Wind (Mwh)
2008		1643000		NM	Wind (Mwh)
2009		1547000		NM	Wind (Mwh)
2010		1832000		NM	Wind (Mwh)
2011		2104000		NM	Wind (Mwh)
2012		2226000		NM	Wind (Mwh)
2013		2193000		NM	Wind (Mwh)
2010		9000		NM	Solar (Mwh)
2011		128000		NM	Solar (Mwh)
2012		334000		NM	Solar (Mwh)
2013		388000		NM	Solar (Mwh)
2013		0		NM	Geothermal (Mwh)
2004		0		NM	Total Biomass (Mwh)
2005		5000		NM	Total Biomass (Mwh)
2006		22000		NM	Total Biomass (Mwh)
2007		16000		NM	Total Biomass (Mwh)
2008		19000		NM	Total Biomass (Mwh)
2009		34000		NM	Total Biomass (Mwh)
2010		14000		NM	Total Biomass (Mwh)
2011		9000		NM	Total Biomass (Mwh)
2012		14000		NM	Total Biomass (Mwh)
2013		19000		NM	Total Biomass (Mwh)
2004		0		NM	Other Biomass (Mwh)
2005		5000		NM	Other Biomass (Mwh)
2006		22000		NM	Other Biomass (Mwh)
2007		16000		NM	Other Biomass (Mwh)
2008		19000		NM	Other Biomass (Mwh)
2009		34000		NM	Other Biomass (Mwh)
2010		14000		NM	Other Biomass (Mwh)
2011		9000		NM	Other Biomass (Mwh)
2012		14000		NM	Other Biomass (Mwh)
2013		19000		NM	Other Biomass (Mwh)
2004		1165000		NM	All Renewables (Mwh)
2005		1769000		NM	All Renewables (Mwh)
2006		2774000		NM	All Renewables (Mwh)
2007		3102000		NM	All Renewables (Mwh)
2008		3655000		NM	All Renewables (Mwh)
2009		3466000		NM	All Renewables (Mwh)
2010		3941000		NM	All Renewables (Mwh)
2011		4687000		NM	All Renewables (Mwh)
2012		5385000		NM	All Renewables (Mwh)
2013		5311000		NM	All Renewables (Mwh)
2004		5775777	Mckinley County	NM	Coal (short tons)
2004		7685041	San Juan County	NM	Coal (short tons)
2005		5314923	Mckinley County	NM	Coal (short tons)
2005		7905477	San Juan County	NM	Coal (short tons)
2006		5502565	Mckinley County	NM	Coal (short tons)
2006		6993143	San Juan County	NM	Coal (short tons)
2007		5358749	Mckinley County	NM	Coal (short tons)
2007		6898040	San Juan County	NM	Coal (short tons)
2008		3284084	Mckinley County	NM	Coal (short tons)
2008		7046199	San Juan County	NM	Coal (short tons)
2009		5445200	Mckinley County	NM	Coal (short tons)
2009		6499195	San Juan County	NM	Coal (short tons)
2010		6639386	Mckinley County	NM	Coal (short tons)
2010		4931891	San Juan County	NM	Coal (short tons)
2011		3983025	San Juan County	NM	Coal (short tons)
2012		8566613	Mckinley County	NM	Coal (short tons)
2012		4960375	San Juan County	NM	Coal (short tons)
2013		8676276	Mckinley County	NM	Coal (short tons)
2013		5989380	San Juan County	NM	Coal (short tons)
