Year	State	County	FIPS	Commodity	Product	Volume
2010	NM	Rio Arriba County	35039		Oil (bbl)	262
2009	NM	Chaves County	35005		Oil (bbl)	263
2009	NM	Rio Arriba County	35039		Oil (bbl)	389
2006	NM	Bernalillo County	35001		Oil (bbl)	417
2013	NM	San Juan County	35045		Oil (bbl)	518
2008	NM	Rio Arriba County	35039		Oil (bbl)	540
2005	NM	McKinley County	35031		Gas (mcf)	600
2007	NM	Rio Arriba County	35039		Oil (bbl)	611
2006	NM	Rio Arriba County	35039		Oil (bbl)	782
2007	NM	McKinley County	35031		Oil (bbl)	1016
2012	NM	San Juan County	35045		Oil (bbl)	1124
2005	NM	Rio Arriba County	35039		Oil (bbl)	1255
2007	NM	Chaves County	35005		Oil (bbl)	1349
2008	NM	Chaves County	35005		Oil (bbl)	1582
2005	NM	Chaves County	35005		Oil (bbl)	1872
2008	NM	McKinley County	35031		Oil (bbl)	1987
2006	NM	Chaves County	35005		Oil (bbl)	2007
2005	NM	McKinley County	35031		Oil (bbl)	2897.83
2014	NM	Bernalillo County	35001		Oil (bbl)	4477
2013	NM	Bernalillo County	35001		Oil (bbl)	5337
2011	NM	Bernalillo County	35001		Oil (bbl)	6804
2012	NM	Bernalillo County	35001		Oil (bbl)	6933
2007	NM	McKinley County	35031		Gas (mcf)	10307
2010	NM	Bernalillo County	35001		Oil (bbl)	10416
2009	NM	Bernalillo County	35001		Oil (bbl)	11301
2006	NM	Lea County	35025		Oil (bbl)	11783.93
2007	NM	Lea County	35025		Oil (bbl)	12047.95
2011	NM	McKinley County	35031		Oil (bbl)	12312
2005	NM	Lea County	35025		Oil (bbl)	13846.09
2012	NM	Bernalillo County	35001		Gas (mcf)	14113
2009	NM	McKinley County	35031		Oil (bbl)	14218
2014	NM	Bernalillo County	35001		Gas (mcf)	14355
2014	NM	Otero County	35035		Gas (mcf)	14638
2013	NM	Bernalillo County	35001		Gas (mcf)	14676
2008	NM	Bernalillo County	35001		Oil (bbl)	16115
2009	NM	Chaves County	35005		Gas (mcf)	17692
2011	NM	Bernalillo County	35001		Gas (mcf)	17742
2006	NM	McKinley County	35031		Gas (mcf)	18329
2010	NM	McKinley County	35031		Oil (bbl)	20686
2012	NM	McKinley County	35031		Oil (bbl)	22569
2008	NM	McKinley County	35031		Gas (mcf)	24857
2007	NM	Bernalillo County	35001		Oil (bbl)	25855
2007	NM	Rio Arriba County	35039		Gas (mcf)	26563
2008	NM	Lea County	35025		Oil (bbl)	29858.45
2010	NM	Bernalillo County	35001		Gas (mcf)	31832
2010	NM	Lea County	35025		Oil (bbl)	34415.96
2007	NM	Sandoval County	35043		Oil (bbl)	35432.41
2007	NM	Bernalillo County	35001		Gas (mcf)	35568
2008	NM	Sandoval County	35043		Oil (bbl)	36394.96
2013	NM	McKinley County	35031		Oil (bbl)	37846
2011	NM	Sandoval County	35043		Oil (bbl)	38306.24
2006	NM	Sandoval County	35043		Oil (bbl)	38931.28
2009	NM	Sandoval County	35043		Oil (bbl)	41683.74
2010	NM	Sandoval County	35043		Oil (bbl)	42180.64
2009	NM	Bernalillo County	35001		Gas (mcf)	42401
2005	NM	Sandoval County	35043		Oil (bbl)	44516.32
2009	NM	Lea County	35025		Oil (bbl)	51653.74
2009	NM	McKinley County	35031		Gas (mcf)	53511
2014	NM	McKinley County	35031		Oil (bbl)	53860
2014	NM	Rio Arriba County	35039		Gas (mcf)	54967
2014	NM	San Juan County	35045		Oil (bbl)	56327
2012	NM	Sandoval County	35043		Oil (bbl)	58890.37
2013	NM	Rio Arriba County	35039		Gas (mcf)	60057
2006	NM	Lea County	35025		Brine Barrels (barrels)	66862
2008	NM	Bernalillo County	35001		Gas (mcf)	68657
2013	NM	Hidalgo County	35023		Geothermal - Electrical Generation, Kilowatt Hours	69407
2008	NM	Rio Arriba County	35039		Gas (mcf)	71683.5
2012	NM	Rio Arriba County	35039		Gas (mcf)	72054
2007	NM	San Juan County	35045		Gas (mcf)	72148
2006	NM	Colfax County	35007		Gas (mcf)	73118
2006	NM	San Juan County	35045		Gas (mcf)	73957
2013	NM	Roosevelt County	35041		Oil (bbl)	77598.96
2014	NM	Roosevelt County	35041		Oil (bbl)	81858.58
2011	NM	Rio Arriba County	35039		Gas (mcf)	83365
2006	NM	Eddy County	35015		Oil (bbl)	83524.07
2005	NM	Eddy County	35015		Oil (bbl)	83985.91
2012	NM	Roosevelt County	35041		Oil (bbl)	84283.25
2011	NM	Roosevelt County	35041		Oil (bbl)	87373.94
2007	NM	Eddy County	35015		Oil (bbl)	89309.05
2008	NM	Eddy County	35015		Oil (bbl)	94608.55
2009	NM	Rio Arriba County	35039		Gas (mcf)	100550.5
2010	NM	Rio Arriba County	35039		Gas (mcf)	102867
2010	NM	Roosevelt County	35041		Oil (bbl)	105774.82
2014	NM	Sandoval County	35043		Oil (bbl)	107890
2009	NM	Roosevelt County	35041		Oil (bbl)	109979.23
2010	NM	McKinley County	35031		Gas (mcf)	111991
2009	NM	Eddy County	35015		Muriate Of Potash-Standard (tons)	112839
2008	NM	Chaves County	35005		Gas (mcf)	113801
2013	NM	San Juan County	35045		Gas (mcf)	117350
2008	NM	San Juan County	35045		Gas (mcf)	118326.5
2007	NM	Chaves County	35005		Oil (bbl)	123526.74
2006	NM	Roosevelt County	35041		Oil (bbl)	124812.1
2014	NM	Eddy County	35015		Muriate Of Potash-Standard (tons)	127433
2007	NM	Chaves County	35005		Gas (mcf)	129050
2006	NM	Chaves County	35005		Oil (bbl)	131234.48
2011	NM	Lea County	35025		Oil (bbl)	131600.04
2013	NM	Eddy County	35015		Muriate Of Potash-Standard (tons)	132492
2011	NM	San Juan County	35045		Gas (mcf)	132721
2005	NM	Lea County	35025		Gas (mcf)	133103.4
2008	NM	Roosevelt County	35041		Oil (bbl)	140348.88
2012	NM	San Juan County	35045		Gas (mcf)	143726
2014	NM	San Juan County	35045		Gas (mcf)	143956
2007	NM	Roosevelt County	35041		Oil (bbl)	145724.97
2005	NM	Chaves County	35005		Gas (mcf)	146010
2006	NM	Chaves County	35005		Gas (mcf)	146163
2012	NM	Eddy County	35015		Muriate Of Potash-Standard (tons)	146453
2005	NM	Roosevelt County	35041		Oil (bbl)	146990.32
2009	NM	San Juan County	35045		Gas (mcf)	150146.5
2005	NM	Chaves County	35005		Oil (bbl)	150941.76
2010	NM	San Juan County	35045		Gas (mcf)	151711
2010	NM	Eddy County	35015		Muriate Of Potash-Standard (tons)	155054
2006	NM	Lea County	35025		Gas (mcf)	163383.58
2011	NM	Eddy County	35015		Muriate Of Potash-Standard (tons)	170449
2008	NM	Eddy County	35015		Muriate Of Potash-Standard (tons)	177001
2013	NM	McKinley County	35031		Gas (mcf)	178147
2014	NM	McKinley County	35031		Gas (mcf)	181980
2008	NM	Chaves County	35005		Oil (bbl)	202617.48
2012	NM	McKinley County	35031		Gas (mcf)	210074
2011	NM	McKinley County	35031		Gas (mcf)	218200
2009	NM	Eddy County	35015		Oil (bbl)	219206.26
2014	NM	Colfax County	35007		Gas (mcf)	231177
2009	NM	Eddy County	35015		Muriate Of Potash-Granular (tons)	233928
2013	NM	Colfax County	35007		Gas (mcf)	246318
2007	NM	Eddy County	35015		Muriate Of Potash-Standard (tons)	251708
2012	NM	Colfax County	35007		Gas (mcf)	264034
2011	NM	Colfax County	35007		Gas (mcf)	266600
2005	NM	San Juan County	35045		Gas (mcf)	267344
2010	NM	Colfax County	35007		Gas (mcf)	277607
2014	NM	Sandoval County	35043		Gas (mcf)	277911
2008	NM	Colfax County	35007		Gas (mcf)	280223
2009	NM	Colfax County	35007		Gas (mcf)	280900
2007	NM	Lea County	35025		Gas (mcf)	288409.8
2007	NM	Colfax County	35007		Gas (mcf)	288471
2006	NM	Rio Arriba County	35039		Gas (mcf)	304417
2010	NM	Eddy County	35015		Oil (bbl)	309819.04
