Year	State	County	FIPS	Volume
2010	NM	Rio Arriba County	35039	4
2009	NM	Chaves County	35005	4
2009	NM	Rio Arriba County	35039	4
2006	NM	Bernalillo County	35001	1
2013	NM	San Juan County	35045	4
2008	NM	Rio Arriba County	35039	4
2005	NM	McKinley County	35031	2
2007	NM	Rio Arriba County	35039	4
2006	NM	Rio Arriba County	35039	4
2007	NM	McKinley County	35031	2
2012	NM	San Juan County	35045	4
2005	NM	Rio Arriba County	35039	4
2007	NM	Chaves County	35005	4
2008	NM	Chaves County	35005	4
2005	NM	Chaves County	35005	4
2008	NM	McKinley County	35031	2
2006	NM	Chaves County	35005	4
2014	NM	Bernalillo County	35001	2
2013	NM	Bernalillo County	35001	2
2011	NM	Bernalillo County	35001	2
2012	NM	Bernalillo County	35001	2
2010	NM	Bernalillo County	35001	2
2009	NM	Bernalillo County	35001	2
2006	NM	Lea County	35025	5
2007	NM	Lea County	35025	4
2011	NM	McKinley County	35031	2
2005	NM	Lea County	35025	4
2009	NM	McKinley County	35031	2
2014	NM	Otero County	35035	1
2008	NM	Bernalillo County	35001	2
2006	NM	McKinley County	35031	1
2010	NM	McKinley County	35031	2
2012	NM	McKinley County	35031	2
2007	NM	Bernalillo County	35001	2
2008	NM	Lea County	35025	4
2010	NM	Lea County	35025	4
2007	NM	Sandoval County	35043	2
2008	NM	Sandoval County	35043	2
2013	NM	McKinley County	35031	2
2011	NM	Sandoval County	35043	2
2006	NM	Sandoval County	35043	2
2009	NM	Sandoval County	35043	2
2010	NM	Sandoval County	35043	2
2005	NM	Sandoval County	35043	2
2009	NM	Lea County	35025	4
2014	NM	McKinley County	35031	2
2014	NM	Rio Arriba County	35039	3
2014	NM	San Juan County	35045	4
2012	NM	Sandoval County	35043	2
2013	NM	Rio Arriba County	35039	3
2013	NM	Hidalgo County	35023	1
2012	NM	Rio Arriba County	35039	3
2007	NM	San Juan County	35045	3
2006	NM	Colfax County	35007	1
2006	NM	San Juan County	35045	3
2013	NM	Roosevelt County	35041	2
2014	NM	Roosevelt County	35041	2
2011	NM	Rio Arriba County	35039	3
2006	NM	Eddy County	35015	8
2005	NM	Eddy County	35015	7
2012	NM	Roosevelt County	35041	2
2011	NM	Roosevelt County	35041	2
2007	NM	Eddy County	35015	7
2008	NM	Eddy County	35015	8
2010	NM	Roosevelt County	35041	2
2014	NM	Sandoval County	35043	4
2009	NM	Roosevelt County	35041	2
2009	NM	Eddy County	35015	8
2008	NM	San Juan County	35045	3
2006	NM	Roosevelt County	35041	2
2014	NM	Eddy County	35015	8
2011	NM	Lea County	35025	4
2013	NM	Eddy County	35015	8
2011	NM	San Juan County	35045	3
2008	NM	Roosevelt County	35041	2
2007	NM	Roosevelt County	35041	2
2012	NM	Eddy County	35015	8
2005	NM	Roosevelt County	35041	2
2009	NM	San Juan County	35045	3
2010	NM	San Juan County	35045	3
2010	NM	Eddy County	35015	8
2011	NM	Eddy County	35015	8
2014	NM	Colfax County	35007	1
2013	NM	Colfax County	35007	1
2012	NM	Colfax County	35007	1
2011	NM	Colfax County	35007	1
2005	NM	San Juan County	35045	3
2010	NM	Colfax County	35007	1
2008	NM	Colfax County	35007	1
2009	NM	Colfax County	35007	1
2007	NM	Colfax County	35007	1
2013	NM	Sandoval County	35043	2
2012	NM	Lea County	35025	4
2013	NM	Chaves County	35005	2
2014	NM	Chaves County	35005	2
2011	NM	Chaves County	35005	2
2012	NM	Chaves County	35005	2
2010	NM	Chaves County	35005	2
2013	NM	Lea County	35025	4
2014	NM	Lea County	35025	4
2014	NM	Quay County	35037	1
2014	NM	Union County	35059	1
2013	NM	Quay County	35037	1
2013	NM	Union County	35059	1
2008	NM	Harding County	35021	1
2008	NM	Quay County	35037	1
2008	NM	Union County	35059	1
2007	NM	Harding County	35021	1
2007	NM	Quay County	35037	1
2007	NM	Union County	35059	1
2009	NM	Quay County	35037	1
2009	NM	Union County	35059	1
2010	NM	Quay County	35037	1
2010	NM	Union County	35059	1
2012	NM	Quay County	35037	1
2012	NM	Union County	35059	1
2011	NM	Quay County	35037	1
2011	NM	Union County	35059	1
2006	NM	Harding County	35021	1
2006	NM	Quay County	35037	1
2006	NM	Union County	35059	1
2009	NM	Harding County	35021	1
2005	NM	Harding County	35021	1
2005	NM	Quay County	35037	1
2005	NM	Union County	35059	1
2010	NM	Harding County	35021	1
2014	NM	Harding County	35021	1
2011	NM	Harding County	35021	1
2013	NM	Harding County	35021	1
2012	NM	Harding County	35021	1
2014	NM	Hidalgo County	35023	1
2014	NM	Dona Ana County	35013	1
2013	NM	Dona Ana County	35013	1
2011	NM	Dona Ana County	35013	1
2012	NM	Dona Ana County	35013	1
