Year	Commodity	Volume	County	State	Product
2004		5		NV	Natural Gas (MMcf)
2005		5		NV	Natural Gas (MMcf)
2006		5		NV	Natural Gas (MMcf)
2007		5		NV	Natural Gas (MMcf)
2008		4		NV	Natural Gas (MMcf)
2009		4		NV	Natural Gas (MMcf)
2010		4		NV	Natural Gas (MMcf)
2011		3		NV	Natural Gas (MMcf)
2012		4		NV	Natural Gas (MMcf)
2013		3		NV	Natural Gas (MMcf)
2004		463000		NV	Crude Oil (bbl)
2005		447000		NV	Crude Oil (bbl)
2006		426000		NV	Crude Oil (bbl)
2007		408000		NV	Crude Oil (bbl)
2008		436000		NV	Crude Oil (bbl)
2009		438000		NV	Crude Oil (bbl)
2010		426000		NV	Crude Oil (bbl)
2011		408000		NV	Crude Oil (bbl)
2012		368000		NV	Crude Oil (bbl)
2013		334000		NV	Crude Oil (bbl)
2004		1615		NV	Conventional Hydroelectric (Kwh)
2005		1702		NV	Conventional Hydroelectric (Kwh)
2006		2058		NV	Conventional Hydroelectric (Kwh)
2007		2003		NV	Conventional Hydroelectric (Kwh)
2008		1751		NV	Conventional Hydroelectric (Kwh)
2009		2461		NV	Conventional Hydroelectric (Kwh)
2010		2157		NV	Conventional Hydroelectric (Kwh)
2011		2191		NV	Conventional Hydroelectric (Kwh)
2012		2440		NV	Conventional Hydroelectric (Kwh)
2013		2682		NV	Conventional Hydroelectric (Kwh)
2004		1298		NV	All Other Renewables (Kwh)
2005		1263		NV	All Other Renewables (Kwh)
2006		1344		NV	All Other Renewables (Kwh)
2007		1297		NV	All Other Renewables (Kwh)
2008		1539		NV	All Other Renewables (Kwh)
2009		1808		NV	All Other Renewables (Kwh)
2010		2287		NV	All Other Renewables (Kwh)
2011		2437		NV	All Other Renewables (Kwh)
2012		2969		NV	All Other Renewables (Kwh)
2013		3690		NV	All Other Renewables (Kwh)
2012		129		NV	Wind (Kwh)
2013		251		NV	Wind (Kwh)
2007		44		NV	Solar (Kwh)
2008		156		NV	Solar (Kwh)
2009		174		NV	Solar (Kwh)
2010		217		NV	Solar (Kwh)
2011		291		NV	Solar (Kwh)
2012		473		NV	Solar (Kwh)
2013		745		NV	Solar (Kwh)
2004		1298		NV	Geothermal (Kwh)
2005		1263		NV	Geothermal (Kwh)
2006		1344		NV	Geothermal (Kwh)
2007		1253		NV	Geothermal (Kwh)
2008		1383		NV	Geothermal (Kwh)
2009		1633		NV	Geothermal (Kwh)
2010		2070		NV	Geothermal (Kwh)
2011		2146		NV	Geothermal (Kwh)
2012		2347		NV	Geothermal (Kwh)
2013		2670		NV	Geothermal (Kwh)
2009		1		NV	Biomass (total) (Kwh)
2010		0		NV	Biomass (total) (Kwh)
2011		0		NV	Biomass (total) (Kwh)
2012		19		NV	Biomass (total) (Kwh)
2013		24		NV	Biomass (total) (Kwh)
2009		1		NV	Wood and wood-derived fuels (Kwh)
2010		0		NV	Wood and wood-derived fuels (Kwh)
2011		0		NV	Wood and wood-derived fuels (Kwh)
2012		0		NV	Wood and wood-derived fuels (Kwh)
2013		0		NV	Wood and wood-derived fuels (Kwh)
2012		19		NV	Other biomass (Kwh)
2013		24		NV	Other biomass (Kwh)
2004		4211		NV	All Renewables (Kwh)
2005		4228		NV	All Renewables (Kwh)
2006		4746		NV	All Renewables (Kwh)
2007		4597		NV	All Renewables (Kwh)
2008		4829		NV	All Renewables (Kwh)
2009		6078		NV	All Renewables (Kwh)
2010		6731		NV	All Renewables (Kwh)
2011		7065		NV	All Renewables (Kwh)
2012		8396		NV	All Renewables (Kwh)
2013		10086		NV	All Renewables (Kwh)
