Year	State	County	FIPS	Commodity	Product	Type	Volume
2004	NV	Churchill	32001	Geothermal	Geothermal - Direct Utilization, Hundreds of Gallons (cgal)	Royalties	104184341
2004	NV	Churchill	32001	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	Royalties	580763733.37
2004	NV	Clark	32003	Sand/Gravel	Sand/Gravel (ton)	Royalties	524208
2004	NV	Esmeralda	32009	Potash	Potash (ton)	Royalties	1072
2004	NV	Eureka	32011	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	Royalties	2588860.55
2004	NV	Eureka	32011	Oil	Oil (bbl)	Royalties	51853.31
2004	NV	Lander	32015	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	Royalties	46929426.54
2004	NV	Nye	32023	Oil	Oil (bbl)	Royalties	408080.87
2004	NV	Washoe	32031	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	Royalties	44203028
2005	NV	Churchill	32001	Geothermal	Geothermal - Direct Utilization, Hundreds of Gallons (cgal)	Royalties	90021493
2005	NV	Churchill	32001	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	Royalties	582078463.84
2005	NV	Esmeralda	32009	Potash	Potash (ton)	Royalties	477
2005	NV	Eureka	32011	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	Royalties	2424604.36
2005	NV	Eureka	32011	Oil	Oil (bbl)	Royalties	45247.46
2005	NV	Lander	32015	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	Royalties	39966452.72
2005	NV	Nye	32023	Oil	Oil (bbl)	Royalties	402323.12
2005	NV	Washoe	32031	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	Royalties	57381624
2006	NV	Churchill	32001	Geothermal	Geothermal - Direct Utilization, Hundreds of Gallons (cgal)	Royalties	85859889
2006	NV	Churchill	32001	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	Royalties	567343115.45
2006	NV	Esmeralda	32009	Potash	Potash (ton)	Royalties	4729
2006	NV	Eureka	32011	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	Royalties	3184204.64
2006	NV	Eureka	32011	Oil	Oil (bbl)	Royalties	41138.83
2006	NV	Lander	32015	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	Royalties	12898466.46
2006	NV	Nye	32023	Oil	Oil (bbl)	Royalties	377196.41
2006	NV	Washoe	32031	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	Royalties	54503974.25
2007	NV	Churchill	32001	Geothermal	Geothermal - Direct Utilization, Hundreds of Gallons (cgal)	Royalties	106272414
2007	NV	Churchill	32001	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	Royalties	522299372.36
