Year	Commodity	Volume	County	State	Product
2004		46050		NY	Natural Gas (MMcf)
2005		55180		NY	Natural Gas (MMcf)
2006		55980		NY	Natural Gas (MMcf)
2007		54942		NY	Natural Gas (MMcf)
2008		50320		NY	Natural Gas (MMcf)
2009		44849		NY	Natural Gas (MMcf)
2010		35813		NY	Natural Gas (MMcf)
2011		31124		NY	Natural Gas (MMcf)
2012		26424		NY	Natural Gas (MMcf)
2013		23458		NY	Natural Gas (MMcf)
2004		170000		NY	Crude Oil (bbl)
2005		202000		NY	Crude Oil (bbl)
2006		312000		NY	Crude Oil (bbl)
2007		379000		NY	Crude Oil (bbl)
2008		387000		NY	Crude Oil (bbl)
2009		333000		NY	Crude Oil (bbl)
2010		381000		NY	Crude Oil (bbl)
2011		375000		NY	Crude Oil (bbl)
2012		362000		NY	Crude Oil (bbl)
2013		313000		NY	Crude Oil (bbl)
2004		23990000		NY	Conventional Hydroelectric (Mwh)
2005		25783000		NY	Conventional Hydroelectric (Mwh)
2006		27345000		NY	Conventional Hydroelectric (Mwh)
2007		25253000		NY	Conventional Hydroelectric (Mwh)
2008		26723000		NY	Conventional Hydroelectric (Mwh)
2009		27615000		NY	Conventional Hydroelectric (Mwh)
2010		25472000		NY	Conventional Hydroelectric (Mwh)
2011		27997000		NY	Conventional Hydroelectric (Mwh)
2012		24652000		NY	Conventional Hydroelectric (Mwh)
2013		24973000		NY	Conventional Hydroelectric (Mwh)
2004		1912000		NY	Other Renewables (Mwh)
2005		1988000		NY	Other Renewables (Mwh)
2006		2597000		NY	Other Renewables (Mwh)
2007		2775000		NY	Other Renewables (Mwh)
2008		3319000		NY	Other Renewables (Mwh)
2009		4467000		NY	Other Renewables (Mwh)
2010		4815000		NY	Other Renewables (Mwh)
2011		4896000		NY	Other Renewables (Mwh)
2012		5192000		NY	Other Renewables (Mwh)
2013		5888000		NY	Other Renewables (Mwh)
2004		116000		NY	Wind (Mwh)
2005		103000		NY	Wind (Mwh)
2006		655000		NY	Wind (Mwh)
2007		833000		NY	Wind (Mwh)
2008		1251000		NY	Wind (Mwh)
2009		2266000		NY	Wind (Mwh)
2010		2596000		NY	Wind (Mwh)
2011		2828000		NY	Wind (Mwh)
2012		2992000		NY	Wind (Mwh)
2013		3539000		NY	Wind (Mwh)
2011		6000		NY	Solar (Mwh)
2012		53000		NY	Solar (Mwh)
2013		67000		NY	Solar (Mwh)
2004		1795000		NY	Total Biomass (Mwh)
2005		1885000		NY	Total Biomass (Mwh)
2006		1941000		NY	Total Biomass (Mwh)
2007		1942000		NY	Total Biomass (Mwh)
2008		2068000		NY	Total Biomass (Mwh)
2009		2201000		NY	Total Biomass (Mwh)
2010		2218000		NY	Total Biomass (Mwh)
2011		2061000		NY	Total Biomass (Mwh)
2012		2148000		NY	Total Biomass (Mwh)
2013		2282000		NY	Total Biomass (Mwh)
2004		497000		NY	Wood and wood-derived fuels (Mwh)
2005		528000		NY	Wood and wood-derived fuels (Mwh)
2006		522000		NY	Wood and wood-derived fuels (Mwh)
2007		492000		NY	Wood and wood-derived fuels (Mwh)
2008		555000		NY	Wood and wood-derived fuels (Mwh)
2009		536000		NY	Wood and wood-derived fuels (Mwh)
2010		547000		NY	Wood and wood-derived fuels (Mwh)
2011		442000		NY	Wood and wood-derived fuels (Mwh)
2012		488000		NY	Wood and wood-derived fuels (Mwh)
2013		608000		NY	Wood and wood-derived fuels (Mwh)
2004		1298000		NY	Other Biomass (Mwh)
2005		1358000		NY	Other Biomass (Mwh)
2006		1419000		NY	Other Biomass (Mwh)
2007		1449000		NY	Other Biomass (Mwh)
2008		1513000		NY	Other Biomass (Mwh)
2009		1665000		NY	Other Biomass (Mwh)
2010		1671000		NY	Other Biomass (Mwh)
2011		1619000		NY	Other Biomass (Mwh)
2012		1660000		NY	Other Biomass (Mwh)
2013		1674000		NY	Other Biomass (Mwh)
2004		29608000		NY	All Renewables (Mwh)
2005		31645000		NY	All Renewables (Mwh)
2006		34479000		NY	All Renewables (Mwh)
2007		32744000		NY	All Renewables (Mwh)
2008		35429000		NY	All Renewables (Mwh)
2009		38750000		NY	All Renewables (Mwh)
2010		37319000		NY	All Renewables (Mwh)
2011		39849000		NY	All Renewables (Mwh)
2012		37185000		NY	All Renewables (Mwh)
2013		39031000		NY	All Renewables (Mwh)
