Year	State	County	FIPS	Commodity	Product	Type	Volume
2004	NY	Chautauqua	36013	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	10994.73
2004	NY	Seneca	36099	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	6358.08
2004	NY	Steuben	36101	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1385.76
2005	NY	Chautauqua	36013	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	10076.19
2005	NY	Seneca	36099	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	4560.48
2005	NY	Steuben	36101	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	875.36
2006	NY	Chautauqua	36013	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	6459.3
2006	NY	Seneca	36099	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	4200.96
2006	NY	Steuben	36101	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	448.64
2007	NY	Chautauqua	36013	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	6494.78
2007	NY	Seneca	36099	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	4041.76
2007	NY	Steuben	36101	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	564.72
2008	NY	Chautauqua	36013	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	4159.23
2008	NY	Seneca	36099	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	4459.2
2008	NY	Steuben	36101	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	581.6
2009	NY	Chautauqua	36013	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	6888.99
2009	NY	Seneca	36099	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	4439.23
2009	NY	Steuben	36101	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	371.6
2010	NY	Chautauqua	36013	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	6960.09
2010	NY	Seneca	36099	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	35161.22
2010	NY	Steuben	36101	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	257.27
2011	NY	Chautauqua	36013	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	33846.12
2011	NY	Seneca	36099	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	51733.71
2011	NY	Steuben	36101	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	210.98
2012	NY	Chautauqua	36013	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	8294.07
2012	NY	Seneca	36099	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	33053.49
2012	NY	Steuben	36101	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	95.01
2013	NY	Chautauqua	36013	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	6696.64
2013	NY	Seneca	36099	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	23699.08
