Year	State	County	FIPS	Resource	Revenue
2004	OH	Athens	39009	oilgas	12973.74
2004	OH	Gallia	39053	oilgas	595.00
2004	OH	Hocking	39073	oilgas	50740.69
2004	OH	Lawrence	39087	oilgas	29154.08
2004	OH	Licking	39089	oilgas	911.00
2004	OH	Mahoning	39099	oilgas	60197.17
2004	OH	Monroe	39111	oilgas	20569.16
2004	OH	Muskingum	39119	oilgas	133.67
2004	OH	Perry	39127	oilgas	4317.93
2004	OH	Portage	39133	oilgas	165588.93
2004	OH	Ross	39141	oilgas	7938.93
2004	OH	Stark	39151	oilgas	23696.13
2004	OH	Trumbull	39155	oilgas	137963.14
2004	OH	Tuscarawas	39157	oilgas	3.50
2004	OH	Vinton	39163	oilgas	1680.00
2004	OH	Washington	39167	oilgas	59709.56
2005	OH	Athens	39009	oilgas	11741.12
2005	OH	Gallia	39053	oilgas	178.50
2005	OH	Hocking	39073	oilgas	26398.96
2005	OH	Lawrence	39087	oilgas	21130.33
2005	OH	Mahoning	39099	oilgas	63474.69
2005	OH	Monroe	39111	oilgas	39728.68
2005	OH	Muskingum	39119	oilgas	5071.00
2005	OH	Perry	39127	oilgas	20961.83
2005	OH	Portage	39133	oilgas	209069.36
2005	OH	Ross	39141	oilgas	3969.46
2005	OH	Stark	39151	oilgas	29033.37
2005	OH	Trumbull	39155	oilgas	149738.72
2005	OH	Tuscarawas	39157	oilgas	2.00
2005	OH	Vinton	39163	oilgas	1680.00
2005	OH	Washington	39167	oilgas	98223.72
2006	OH	Athens	39009	oilgas	24559.73
2006	OH	Gallia	39053	oilgas	178.50
2006	OH	Hocking	39073	oilgas	33388.05
2006	OH	Lawrence	39087	oilgas	19168.68
2006	OH	Mahoning	39099	oilgas	112090.85
2006	OH	Monroe	39111	oilgas	44748.40
2006	OH	Muskingum	39119	oilgas	5321.84
2006	OH	Perry	39127	oilgas	24481.33
2006	OH	Portage	39133	oilgas	282051.01
2006	OH	Ross	39141	oilgas	-2148.72
2006	OH	Stark	39151	oilgas	34353.24
