Year	Commodity	Volume	County	State	Product
2004		197217		PA	Natural Gas (MMcf)
2005		168501		PA	Natural Gas (MMcf)
2006		175950		PA	Natural Gas (MMcf)
2007		182277		PA	Natural Gas (MMcf)
2008		198295		PA	Natural Gas (MMcf)
2009		273869		PA	Natural Gas (MMcf)
2010		572902		PA	Natural Gas (MMcf)
2011		1310592		PA	Natural Gas (MMcf)
2012		2256696		PA	Natural Gas (MMcf)
2013		3259042		PA	Natural Gas (MMcf)
2004		2396000		PA	Crude Oil (bbl)
2005		2460000		PA	Crude Oil (bbl)
2006		2589000		PA	Crude Oil (bbl)
2007		2788000		PA	Crude Oil (bbl)
2008		2999000		PA	Crude Oil (bbl)
2009		2967000		PA	Crude Oil (bbl)
2010		3236000		PA	Crude Oil (bbl)
2011		3463000		PA	Crude Oil (bbl)
2012		4304000		PA	Crude Oil (bbl)
2013		5246000		PA	Crude Oil (bbl)
2004		3155000		PA	Conventional Hydroelectric (Mwh)
2005		2232000		PA	Conventional Hydroelectric (Mwh)
2006		2844000		PA	Conventional Hydroelectric (Mwh)
2007		2236000		PA	Conventional Hydroelectric (Mwh)
2008		2549000		PA	Conventional Hydroelectric (Mwh)
2009		2683000		PA	Conventional Hydroelectric (Mwh)
2010		2332000		PA	Conventional Hydroelectric (Mwh)
2011		3217000		PA	Conventional Hydroelectric (Mwh)
2012		2242000		PA	Conventional Hydroelectric (Mwh)
2013		2525000		PA	Conventional Hydroelectric (Mwh)
2004		2276000		PA	Other Renewables (Mwh)
2005		2329000		PA	Other Renewables (Mwh)
2006		2473000		PA	Other Renewables (Mwh)
2007		2546000		PA	Other Renewables (Mwh)
2008		2804000		PA	Other Renewables (Mwh)
2009		3352000		PA	Other Renewables (Mwh)
2010		4245000		PA	Other Renewables (Mwh)
2011		4099000		PA	Other Renewables (Mwh)
2012		4459000		PA	Other Renewables (Mwh)
2013		5754000		PA	Other Renewables (Mwh)
2004		306000		PA	Wind (Mwh)
2005		284000		PA	Wind (Mwh)
2006		361000		PA	Wind (Mwh)
2007		470000		PA	Wind (Mwh)
2008		729000		PA	Wind (Mwh)
2009		1075000		PA	Wind (Mwh)
2010		1854000		PA	Wind (Mwh)
2011		1794000		PA	Wind (Mwh)
2012		2129000		PA	Wind (Mwh)
2013		3352000		PA	Wind (Mwh)
2008		0		PA	Solar (Mwh)
2009		4000		PA	Solar (Mwh)
2010		8000		PA	Solar (Mwh)
2011		23000		PA	Solar (Mwh)
2012		32000		PA	Solar (Mwh)
2013		63000		PA	Solar (Mwh)
2004		1969000		PA	Total Biomass (Mwh)
2005		2045000		PA	Total Biomass (Mwh)
2006		2112000		PA	Total Biomass (Mwh)
2007		2076000		PA	Total Biomass (Mwh)
2008		2074000		PA	Total Biomass (Mwh)
2009		2274000		PA	Total Biomass (Mwh)
2010		2383000		PA	Total Biomass (Mwh)
2011		2281000		PA	Total Biomass (Mwh)
2012		2298000		PA	Total Biomass (Mwh)
2013		2339000		PA	Total Biomass (Mwh)
2004		680000		PA	Wood and wood-derived fuels (Mwh)
2005		687000		PA	Wood and wood-derived fuels (Mwh)
2006		683000		PA	Wood and wood-derived fuels (Mwh)
2007		620000		PA	Wood and wood-derived fuels (Mwh)
2008		658000		PA	Wood and wood-derived fuels (Mwh)
2009		694000		PA	Wood and wood-derived fuels (Mwh)
2010		675000		PA	Wood and wood-derived fuels (Mwh)
2011		628000		PA	Wood and wood-derived fuels (Mwh)
2012		534000		PA	Wood and wood-derived fuels (Mwh)
2013		492000		PA	Wood and wood-derived fuels (Mwh)
2004		1289000		PA	Other Biomass (Mwh)
2005		1358000		PA	Other Biomass (Mwh)
2006		1429000		PA	Other Biomass (Mwh)
2007		1457000		PA	Other Biomass (Mwh)
2008		1416000		PA	Other Biomass (Mwh)
2009		1579000		PA	Other Biomass (Mwh)
2010		1708000		PA	Other Biomass (Mwh)
2011		1653000		PA	Other Biomass (Mwh)
2012		1765000		PA	Other Biomass (Mwh)
2013		1847000		PA	Other Biomass (Mwh)
2004		9675000		PA	All Renewables (Mwh)
2005		8935000		PA	All Renewables (Mwh)
2006		9902000		PA	All Renewables (Mwh)
2007		9405000		PA	All Renewables (Mwh)
2008		10230000		PA	All Renewables (Mwh)
2009		11661000		PA	All Renewables (Mwh)
2010		13205000		PA	All Renewables (Mwh)
2011		13695000		PA	All Renewables (Mwh)
2012		13459000		PA	All Renewables (Mwh)
2013		16372000		PA	All Renewables (Mwh)
2004		30	Allegheny County	PA	Coal (short tons)
2004		5007186	Armstrong County	PA	Coal (short tons)
2004		401855	Beaver County	PA	Coal (short tons)
2004		23152	Blair County	PA	Coal (short tons)
2004		401185	Butler County	PA	Coal (short tons)
2004		916275	Cambria County	PA	Coal (short tons)
2004		29342	Centre County	PA	Coal (short tons)
2004		358747	Clarion County	PA	Coal (short tons)
2004		3340355	Clearfield County	PA	Coal (short tons)
2004		297473	Columbia County	PA	Coal (short tons)
2004		1966	Dauphin County	PA	Coal (short tons)
2004		950309	Elk County	PA	Coal (short tons)
2004		499592	Fayette County	PA	Coal (short tons)
2004		31966456	Greene County	PA	Coal (short tons)
2004		5718668	Monongalia County	PA	Coal (short tons)
2004		3029989	Indiana County	PA	Coal (short tons)
2004		718254	Jefferson County	PA	Coal (short tons)
2004		39551	Lackawanna County	PA	Coal (short tons)
2004		27723	Lawrence County	PA	Coal (short tons)
2004		429341	Luzerne County	PA	Coal (short tons)
2004		293571	Lycoming County	PA	Coal (short tons)
2004		84415	Mercer County	PA	Coal (short tons)
2004		240695	Northumberland County	PA	Coal (short tons)
2004		669474	Schuylkill County	PA	Coal (short tons)
2004		4407373	Somerset County	PA	Coal (short tons)
2004		4274	Venango County	PA	Coal (short tons)
2004		6088677	Washington County	PA	Coal (short tons)
2004		49994	Westmoreland County	PA	Coal (short tons)
2005		42218	Allegheny County	PA	Coal (short tons)
2005		5306672	Armstrong County	PA	Coal (short tons)
2005		382401	Beaver County	PA	Coal (short tons)
2005		200	Bedford County	PA	Coal (short tons)
2005		320345	Butler County	PA	Coal (short tons)
2005		1165172	Cambria County	PA	Coal (short tons)
2005		40433	Cameron County	PA	Coal (short tons)
2005		27077	Centre County	PA	Coal (short tons)
2005		374241	Clarion County	PA	Coal (short tons)
2005		3743233	Clearfield County	PA	Coal (short tons)
2005		384717	Columbia County	PA	Coal (short tons)
