Year	State	County	FIPS	Resource	Revenue
2004	PA	Armstrong	42005	oilgas	5050.05
2004	PA	Bedford	42009	oilgas	17221.13
2004	PA	Indiana	42063	oilgas	19926.51
2004	PA	Jefferson	42065	oilgas	15.00
2004	PA	Warren	42123	oilgas	459.70
2004	PA	Westmoreland	42129	oilgas	16648.08
2005	PA	Armstrong	42005	oilgas	5631.85
2005	PA	Bedford	42009	oilgas	17085.14
2005	PA	Indiana	42063	oilgas	29262.24
2005	PA	Jefferson	42065	oilgas	15.00
2005	PA	Westmoreland	42129	oilgas	22198.80
2006	PA	Armstrong	42005	oilgas	15373.35
2006	PA	Bedford	42009	oilgas	11782.96
2006	PA	Forest	42053	oilgas	114958.00
2006	PA	Indiana	42063	oilgas	26179.30
2006	PA	Jefferson	42065	oilgas	15.00
2006	PA	Westmoreland	42129	oilgas	28670.28
2007	PA	Armstrong	42005	oilgas	6889.18
2007	PA	Forest	42053	oilgas	153.00
2007	PA	Indiana	42063	oilgas	34158.68
2007	PA	Jefferson	42065	oilgas	15.00
2007	PA	Westmoreland	42129	oilgas	30962.27
2008	PA	Armstrong	42005	oilgas	6919.45
2008	PA	Forest	42053	oilgas	153.00
2008	PA	Indiana	42063	oilgas	56753.19
2008	PA	Jefferson	42065	oilgas	11.25
2008	PA	Westmoreland	42129	oilgas	32330.51
2009	PA	Armstrong	42005	oilgas	3757.14
2009	PA	Forest	42053	oilgas	49808.46
2009	PA	Indiana	42063	oilgas	31777.90
2009	PA	Jefferson	42065	oilgas	15.00
2009	PA	Westmoreland	42129	oilgas	19397.21
2010	PA	Armstrong	42005	oilgas	2916.00
2010	PA	Bedford	42009	oilgas	35144.04
2010	PA	Forest	42053	oilgas	113534.86
2010	PA	Indiana	42063	oilgas	39863.59
2010	PA	Jefferson	42065	oilgas	18.75
2010	PA	Westmoreland	42129	oilgas	26589.52
2011	PA	Armstrong	42005	oilgas	3213.49
2011	PA	Bedford	42009	oilgas	6899.66
2011	PA	Forest	42053	oilgas	45447.24
2011	PA	Indiana	42063	oilgas	36199.55
2011	PA	Jefferson	42065	oilgas	15.00
2011	PA	Westmoreland	42129	oilgas	12696.74
2012	PA	Armstrong	42005	oilgas	1718.54
2012	PA	Bedford	42009	oilgas	5375.50
2012	PA	Forest	42053	oilgas	31341.86
2012	PA	Indiana	42063	oilgas	68591.58
2012	PA	Jefferson	42065	oilgas	18.75
2012	PA	Warren	42123	oilgas	24200.53
2012	PA	Westmoreland	42129	oilgas	10605.93
2013	PA	Armstrong	42005	oilgas	247.21
2013	PA	Bedford	42009	oilgas	5826.63
2013	PA	Forest	42053	oilgas	28754.85
2013	PA	Indiana	42063	oilgas	42847.72
2013	PA	Jefferson	42065	oilgas	15.00
2013	PA	Westmoreland	42129	oilgas	8758.76
