Year	Commodity	Volume	County	State	Product
2004		5000		RI	Conventional Hydroelectric (Mwh)
2005		7000		RI	Conventional Hydroelectric (Mwh)
2006		6000		RI	Conventional Hydroelectric (Mwh)
2007		4000		RI	Conventional Hydroelectric (Mwh)
2008		5000		RI	Conventional Hydroelectric (Mwh)
2009		5000		RI	Conventional Hydroelectric (Mwh)
2010		4000		RI	Conventional Hydroelectric (Mwh)
2011		7000		RI	Conventional Hydroelectric (Mwh)
2012		4000		RI	Conventional Hydroelectric (Mwh)
2013		4000		RI	Conventional Hydroelectric (Mwh)
2004		102000		RI	Other Renewables (Mwh)
2005		0		RI	Other Renewables (Mwh)
2006		149000		RI	Other Renewables (Mwh)
2007		155000		RI	Other Renewables (Mwh)
2008		158000		RI	Other Renewables (Mwh)
2009		145000		RI	Other Renewables (Mwh)
2010		140000		RI	Other Renewables (Mwh)
2011		130000		RI	Other Renewables (Mwh)
2012		102000		RI	Other Renewables (Mwh)
2013		53000		RI	Other Renewables (Mwh)
2010		3000		RI	Wind (Mwh)
2011		3000		RI	Wind (Mwh)
2012		1000		RI	Wind (Mwh)
2013		3000		RI	Wind (Mwh)
2013		2000		RI	Solar (Mwh)
2004		102000		RI	Total Biomass (Mwh)
2005		0		RI	Total Biomass (Mwh)
2006		149000		RI	Total Biomass (Mwh)
2007		155000		RI	Total Biomass (Mwh)
2008		158000		RI	Total Biomass (Mwh)
2009		145000		RI	Total Biomass (Mwh)
2010		137000		RI	Total Biomass (Mwh)
2011		127000		RI	Total Biomass (Mwh)
2012		101000		RI	Total Biomass (Mwh)
2013		48000		RI	Total Biomass (Mwh)
2004		102000		RI	Other Biomass (Mwh)
2005		0		RI	Other Biomass (Mwh)
2006		149000		RI	Other Biomass (Mwh)
2007		155000		RI	Other Biomass (Mwh)
2008		158000		RI	Other Biomass (Mwh)
2009		145000		RI	Other Biomass (Mwh)
2010		137000		RI	Other Biomass (Mwh)
2011		127000		RI	Other Biomass (Mwh)
2012		101000		RI	Other Biomass (Mwh)
2013		48000		RI	Other Biomass (Mwh)
2004		311000		RI	All Renewables (Mwh)
2005		7000		RI	All Renewables (Mwh)
2006		453000		RI	All Renewables (Mwh)
2007		469000		RI	All Renewables (Mwh)
2008		479000		RI	All Renewables (Mwh)
2009		440000		RI	All Renewables (Mwh)
2010		421000		RI	All Renewables (Mwh)
2011		394000		RI	All Renewables (Mwh)
2012		309000		RI	All Renewables (Mwh)
2013		158000		RI	All Renewables (Mwh)
