Year	State	County	FIPS	Commodity	Product	Volume
2013	SD	Fall River County	46047		Gas (mcf)	1643
2007	SD	Fall River County	46047		Gas (mcf)	3794
2006	SD	Fall River County	46047		Gas (mcf)	5957
2008	SD	Fall River County	46047		Gas (mcf)	6271
2012	SD	Fall River County	46047		Gas (mcf)	8419
2011	SD	Fall River County	46047		Gas (mcf)	8549
2005	SD	Fall River County	46047		Gas (mcf)	9840
2014	SD	Fall River County	46047		Oil (bbl)	12931
2009	SD	Fall River County	46047		Gas (mcf)	15346
2013	SD	Fall River County	46047		Oil (bbl)	15403
2012	SD	Fall River County	46047		Oil (bbl)	17667
2011	SD	Fall River County	46047		Oil (bbl)	17922
2007	SD	Fall River County	46047		Oil (bbl)	18076
2008	SD	Fall River County	46047		Oil (bbl)	18253
2009	SD	Fall River County	46047		Oil (bbl)	18624
2010	SD	Fall River County	46047		Gas (mcf)	18947
2010	SD	Fall River County	46047		Oil (bbl)	19245
2006	SD	Fall River County	46047		Oil (bbl)	20524
2005	SD	Fall River County	46047		Oil (bbl)	25793
2010	SD	Harding County	46063		Oil (bbl)	130395.14
2011	SD	Harding County	46063		Oil (bbl)	141422.03
2005	SD	Harding County	46063		Oil (bbl)	147848.22
2009	SD	Harding County	46063		Oil (bbl)	148082.91
2006	SD	Harding County	46063		Oil (bbl)	158383.43
2008	SD	Harding County	46063		Oil (bbl)	161400.96
2007	SD	Harding County	46063		Oil (bbl)	170552.74
2014	SD	Harding County	46063		Oil (bbl)	175964.74
2013	SD	Harding County	46063		Oil (bbl)	187186.16
2012	SD	Harding County	46063		Oil (bbl)	196791.47
2005	SD	Harding County	46063		Gas (mcf)	1488126.02
2006	SD	Harding County	46063		Gas (mcf)	1523508.52
2007	SD	Harding County	46063		Gas (mcf)	1665964.7
2008	SD	Harding County	46063		Gas (mcf)	1711995.43
2010	SD	Harding County	46063		Gas (mcf)	1718576.98
2009	SD	Harding County	46063		Gas (mcf)	1867168.9
2011	SD	Harding County	46063		Gas (mcf)	1870584.59
2014	SD	Harding County	46063		Gas (mcf)	2500311.27
2012	SD	Harding County	46063		Gas (mcf)	2518858.7
2013	SD	Harding County	46063		Gas (mcf)	2706298.41
