Year	Commodity	Volume	County	State	Product
2004		2100		TN	Natural Gas (MMcf)
2005		2200		TN	Natural Gas (MMcf)
2006		2663		TN	Natural Gas (MMcf)
2007		3942		TN	Natural Gas (MMcf)
2008		4700		TN	Natural Gas (MMcf)
2009		5478		TN	Natural Gas (MMcf)
2010		5144		TN	Natural Gas (MMcf)
2011		4851		TN	Natural Gas (MMcf)
2012		5825		TN	Natural Gas (MMcf)
2013		5400		TN	Natural Gas (MMcf)
2004		361000		TN	Crude Oil (bbl)
2005		324000		TN	Crude Oil (bbl)
2006		192000		TN	Crude Oil (bbl)
2007		284000		TN	Crude Oil (bbl)
2008		338000		TN	Crude Oil (bbl)
2009		268000		TN	Crude Oil (bbl)
2010		257000		TN	Crude Oil (bbl)
2011		296000		TN	Crude Oil (bbl)
2012		371000		TN	Crude Oil (bbl)
2013		334000		TN	Crude Oil (bbl)
2004		10408000		TN	Conventional Hydroelectric (Mwh)
2005		9310000		TN	Conventional Hydroelectric (Mwh)
2006		7749000		TN	Conventional Hydroelectric (Mwh)
2007		4940000		TN	Conventional Hydroelectric (Mwh)
2008		5646000		TN	Conventional Hydroelectric (Mwh)
2009		10212000		TN	Conventional Hydroelectric (Mwh)
2010		8138000		TN	Conventional Hydroelectric (Mwh)
2011		9576000		TN	Conventional Hydroelectric (Mwh)
2012		8296000		TN	Conventional Hydroelectric (Mwh)
2013		12443000		TN	Conventional Hydroelectric (Mwh)
2004		830000		TN	Other Renewables (Mwh)
2005		766000		TN	Other Renewables (Mwh)
2006		811000		TN	Other Renewables (Mwh)
2007		971000		TN	Other Renewables (Mwh)
2008		965000		TN	Other Renewables (Mwh)
2009		950000		TN	Other Renewables (Mwh)
2010		988000		TN	Other Renewables (Mwh)
2011		1020000		TN	Other Renewables (Mwh)
2012		836000		TN	Other Renewables (Mwh)
2013		1110000		TN	Other Renewables (Mwh)
2004		4000		TN	Wind (Mwh)
2005		3000		TN	Wind (Mwh)
2006		55000		TN	Wind (Mwh)
2007		50000		TN	Wind (Mwh)
2008		50000		TN	Wind (Mwh)
2009		52000		TN	Wind (Mwh)
2010		41000		TN	Wind (Mwh)
2011		53000		TN	Wind (Mwh)
2012		47000		TN	Wind (Mwh)
2013		47000		TN	Wind (Mwh)
2012		12000		TN	Solar (Mwh)
2013		20000		TN	Solar (Mwh)
2004		826000		TN	Total Biomass (Mwh)
2005		763000		TN	Total Biomass (Mwh)
2006		756000		TN	Total Biomass (Mwh)
2007		921000		TN	Total Biomass (Mwh)
2008		915000		TN	Total Biomass (Mwh)
2009		899000		TN	Total Biomass (Mwh)
2010		947000		TN	Total Biomass (Mwh)
2011		967000		TN	Total Biomass (Mwh)
2012		777000		TN	Total Biomass (Mwh)
2013		1043000		TN	Total Biomass (Mwh)
2004		784000		TN	Wood and wood-derived fuels (Mwh)
2005		695000		TN	Wood and wood-derived fuels (Mwh)
2006		698000		TN	Wood and wood-derived fuels (Mwh)
2007		868000		TN	Wood and wood-derived fuels (Mwh)
2008		879000		TN	Wood and wood-derived fuels (Mwh)
2009		862000		TN	Wood and wood-derived fuels (Mwh)
2010		914000		TN	Wood and wood-derived fuels (Mwh)
2011		930000		TN	Wood and wood-derived fuels (Mwh)
2012		715000		TN	Wood and wood-derived fuels (Mwh)
2013		958000		TN	Wood and wood-derived fuels (Mwh)
2004		42000		TN	Other Biomass (Mwh)
2005		68000		TN	Other Biomass (Mwh)
2006		58000		TN	Other Biomass (Mwh)
2007		52000		TN	Other Biomass (Mwh)
2008		36000		TN	Other Biomass (Mwh)
2009		36000		TN	Other Biomass (Mwh)
2010		33000		TN	Other Biomass (Mwh)
2011		36000		TN	Other Biomass (Mwh)
2012		62000		TN	Other Biomass (Mwh)
2013		85000		TN	Other Biomass (Mwh)
2004		12894000		TN	All Renewables (Mwh)
2005		11605000		TN	All Renewables (Mwh)
2006		10127000		TN	All Renewables (Mwh)
2007		7802000		TN	All Renewables (Mwh)
2008		8491000		TN	All Renewables (Mwh)
2009		13011000		TN	All Renewables (Mwh)
2010		11061000		TN	All Renewables (Mwh)
2011		12582000		TN	All Renewables (Mwh)
2012		10745000		TN	All Renewables (Mwh)
2013		15706000		TN	All Renewables (Mwh)
2004		10455	Campbell County	TN	Coal (short tons)
2004		12890	Claiborne County	TN	Coal (short tons)
2004		90281	Cumberland County	TN	Coal (short tons)
2004		111314	Fentress County	TN	Coal (short tons)
2004		172515	Scott County	TN	Coal (short tons)
2005		19335	Anderson County	TN	Coal (short tons)
2005		332	Campbell County	TN	Coal (short tons)
2005		31252	Claiborne County	TN	Coal (short tons)
2005		9588	Cumberland County	TN	Coal (short tons)
2005		33413	Fentress County	TN	Coal (short tons)
2005		7870	Grundy County	TN	Coal (short tons)
2005		35871	Scott County	TN	Coal (short tons)
2006		26662	Anderson County	TN	Coal (short tons)
2006		370597	Campbell County	TN	Coal (short tons)
2006		27936	Claiborne County	TN	Coal (short tons)
2006		12986	Cumberland County	TN	Coal (short tons)
2006		500	Morgan County	TN	Coal (short tons)
2007		81047	Anderson County	TN	Coal (short tons)
2007		357753	Campbell County	TN	Coal (short tons)
2007		31967	Claiborne County	TN	Coal (short tons)
2007		3274	Fentress County	TN	Coal (short tons)
