Year	State	County	FIPS	Commodity	Product	Type	Volume
2004	TX	Bowie	48037	Oil	Oil (bbl)	Royalties	9630.97
2004	TX	Brazos	48041	Gas	Processed (Residue) Gas (mcf)	Royalties	181.75
2004	TX	Brazos	48041	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	11346.85
2004	TX	Brazos	48041	Oil	Oil (bbl)	Royalties	2983.84
2004	TX	Chambers	48071	Oil	Oil (bbl)	Royalties	4222.9
2004	TX	Denton	48121	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	9073.74
2004	TX	Freestone	48161	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	125636
2004	TX	Freestone	48161	Oil	Condensate (bbl)	Royalties	45.6
2004	TX	Galveston	48167	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	323983.62
2004	TX	Galveston	48167	Oil	Condensate (bbl)	Royalties	10510.07
2004	TX	Galveston	48167	Oil	Oil (bbl)	Royalties	123827.07
2004	TX	Gray	48179	Oil	Oil (bbl)	Royalties	9006.94
2004	TX	Grayson	48181	Gas	Processed (Residue) Gas (mcf)	Royalties	33819.6
2004	TX	Grayson	48181	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1426.64
2004	TX	Grayson	48181	NGL	Gas Plant Products (gal)	Royalties	63012.2
2004	TX	Grayson	48181	Oil	Condensate (bbl)	Royalties	1.14
2004	TX	Grayson	48181	Oil	Oil (bbl)	Royalties	9807.19
2004	TX	Hemphill	48211	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	13719.29
2004	TX	Hidalgo	48215	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	126240.44
2004	TX	Hidalgo	48215	Oil	Condensate (bbl)	Royalties	537.59
2004	TX	Houston	48225	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	68
2004	TX	Houston	48225	Oil	Oil (bbl)	Royalties	145406.77
2004	TX	Jackson	48239	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	-28060.59
2004	TX	Jasper	48241	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	426
2004	TX	Jasper	48241	Oil	Oil (bbl)	Royalties	2494.6
2004	TX	Jones	48253	Gas	Processed (Residue) Gas (mcf)	Royalties	575.01
2004	TX	Jones	48253	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1910
2004	TX	Jones	48253	Oil	Oil (bbl)	Royalties	995.37
2004	TX	Lee	48287	Gas	Processed (Residue) Gas (mcf)	Royalties	277.78
2004	TX	Lee	48287	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	83576.32
2004	TX	Lee	48287	NGL	Gas Plant Products (gal)	Royalties	2852.64
