Year	State	County	FIPS	Volume
2010	TX	Brazos County	48041	2
2009	TX	Brazos County	48041	2
2007	TX	Jackson County	48239	2
2009	TX	Newton County	48351	2
2008	TX	Brazos County	48041	2
2005	TX	Brazos County	48041	2
2011	TX	Parker County	48367	2
2010	TX	Starr County	48427	2
2013	TX	Wheeler County	48483	2
2006	TX	Jackson County	48239	2
2011	TX	Ochiltree County	48357	2
2005	TX	Jackson County	48239	2
2007	TX	Brazos County	48041	2
2006	TX	Brazos County	48041	2
2011	TX	Wilbarger County	48487	2
2006	TX	Ochiltree County	48357	2
2010	TX	Ochiltree County	48357	2
2007	TX	Newton County	48351	2
2006	TX	Newton County	48351	2
2006	TX	Nacogdoches County	48347	2
2005	TX	Ochiltree County	48357	2
2005	TX	Houston County	48225	2
2008	TX	Parker County	48367	2
2012	TX	Zapata County	48505	2
2014	TX	Wheeler County	48483	2
2013	TX	Ochiltree County	48357	2
2009	TX	Starr County	48427	2
2008	TX	Newton County	48351	2
2009	TX	Ochiltree County	48357	2
2014	TX	Freestone County	48161	2
2008	TX	Ochiltree County	48357	2
2009	TX	Hemphill County	48211	2
2007	TX	Nacogdoches County	48347	2
2012	TX	Wheeler County	48483	2
2009	TX	Jones County	48253	2
2011	TX	Wheeler County	48483	2
2006	TX	Hemphill County	48211	2
2010	TX	Wheeler County	48483	2
2006	TX	Freestone County	48161	2
2005	TX	Hemphill County	48211	2
2013	TX	Hemphill County	48211	2
2012	TX	Starr County	48427	2
2005	TX	Newton County	48351	2
2009	TX	Wheeler County	48483	2
2005	TX	Freestone County	48161	2
2013	TX	Freestone County	48161	2
2011	TX	Nueces County	48355	2
2006	TX	Starr County	48427	2
2007	TX	Ochiltree County	48357	2
2012	TX	Ochiltree County	48357	2
2011	TX	Hemphill County	48211	2
2010	TX	Hemphill County	48211	2
2012	TX	Jasper County	48241	2
2008	TX	Wheeler County	48483	2
2007	TX	Hemphill County	48211	2
2012	TX	Freestone County	48161	2
2008	TX	Starr County	48427	2
2012	TX	Hemphill County	48211	2
2007	TX	Wheeler County	48483	2
2008	TX	Hemphill County	48211	2
2014	TX	Nueces County	48355	2
2010	TX	Wilbarger County	48487	2
2006	TX	Parker County	48367	2
2006	TX	Wheeler County	48483	2
2011	TX	Jasper County	48241	2
2009	TX	Zapata County	48505	2
2014	TX	Hemphill County	48211	2
2009	TX	Freestone County	48161	2
2008	TX	Zapata County	48505	2
2010	TX	Freestone County	48161	2
2013	TX	Parker County	48367	2
2005	TX	Wheeler County	48483	2
2013	TX	Nueces County	48355	2
2014	TX	Parker County	48367	2
2011	TX	Freestone County	48161	2
2012	TX	Nueces County	48355	2
2010	TX	Harrison County	48203	2
2014	TX	Hidalgo County	48215	2
2012	TX	Hidalgo County	48215	2
2013	TX	Hidalgo County	48215	2
2013	TX	Nacogdoches County	48347	2
2005	TX	Zapata County	48505	2
2010	TX	Hidalgo County	48215	2
2014	TX	Nacogdoches County	48347	2
2006	TX	Zapata County	48505	2
2011	TX	Hidalgo County	48215	2
2007	TX	Zapata County	48505	2
2007	TX	Starr County	48427	2
2013	TX	Burleson County	48051	2
2012	TX	Burleson County	48051	2
2013	TX	Bowie County	48037	2
2007	TX	Hidalgo County	48215	2
2008	TX	Hidalgo County	48215	2
2014	TX	San Augustine County	48405	2
2011	TX	Burleson County	48051	2
2014	TX	Bowie County	48037	2
2009	TX	Hidalgo County	48215	2
2006	TX	Hidalgo County	48215	2
2009	TX	Parker County	48367	2
2009	TX	Jackson County	48239	1
2010	TX	Nacogdoches County	48347	2
2014	TX	Burleson County	48051	2
2011	TX	Montague County	48337	2
2014	TX	Montague County	48337	2
2008	TX	Nacogdoches County	48347	2
2013	TX	San Augustine County	48405	2
2012	TX	Nacogdoches County	48347	2
2009	TX	Bowie County	48037	2
2011	TX	Nacogdoches County	48347	2
2012	TX	San Augustine County	48405	2
2011	TX	Bowie County	48037	2
2010	TX	Bowie County	48037	2
2009	TX	Wilbarger County	48487	2
2007	TX	Parker County	48367	2
2012	TX	Bowie County	48037	2
2010	TX	Burleson County	48051	2
2011	TX	San Augustine County	48405	2
2005	TX	Hidalgo County	48215	2
2008	TX	Wilbarger County	48487	2
2012	TX	Wilbarger County	48487	1
2009	TX	San Augustine County	48405	2
2009	TX	Harrison County	48203	2
2007	TX	Wilbarger County	48487	2
2010	TX	Nueces County	48355	2
2010	TX	San Augustine County	48405	2
2008	TX	Bowie County	48037	2
