Year	State	County	FIPS	Commodity	Product	Type	Volume
2004	UT	Beaver	49001	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	Royalties	2523949051.63
2004	UT	Carbon	49007	Coal	Coal (ton)	Royalties	8078225.72
2004	UT	Carbon	49007	Gas	Coal Bed Methane (mcf)	Royalties	11978666.68
2004	UT	Carbon	49007	Gas	Fuel Gas (mcf)	Royalties	7045.12
2004	UT	Carbon	49007	Gas	Processed (Residue) Gas (mcf)	Royalties	69792.15
2004	UT	Carbon	49007	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	13014565.37
2004	UT	Carbon	49007	Oil	Oil (bbl)	Royalties	3245.76
2004	UT	Daggett	49009	Gas	Processed (Residue) Gas (mcf)	Royalties	10885
2004	UT	Daggett	49009	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1155280.12
2004	UT	Daggett	49009	Oil	Condensate (bbl)	Royalties	885.36
2004	UT	Duchesne	49013	Gas	Processed (Residue) Gas (mcf)	Royalties	861.71
2004	UT	Duchesne	49013	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	2636004.45
2004	UT	Duchesne	49013	NGL	Gas Plant Products (gal)	Royalties	4149693.07
2004	UT	Duchesne	49013	Oil	Oil (bbl)	Royalties	1836758.03
2004	UT	Emery	49015	Coal	Coal (ton)	Royalties	5110339.89
2004	UT	Emery	49015	Gas	Coal Bed Methane (mcf)	Royalties	313633.4
2004	UT	Emery	49015	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	3848726.79
2004	UT	Emery	49015	Oil	Oil (bbl)	Royalties	4080.22
2004	UT	Garfield	49017	Oil	Oil (bbl)	Royalties	200348.46
2004	UT	Grand	49019	Gas	Processed (Residue) Gas (mcf)	Royalties	454646.81
2004	UT	Grand	49019	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	4614164.68
2004	UT	Grand	49019	NGL	Gas Plant Products (gal)	Royalties	69442.66
2004	UT	Grand	49019	Oil	Condensate (bbl)	Royalties	879.37
2004	UT	Grand	49019	Oil	Oil (bbl)	Royalties	79164.76
2004	UT	Juab	49023	Gas	Processed (Residue) Gas (mcf)	Royalties	4235.77
2004	UT	Juab	49023	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	3772.22
2004	UT	Juab	49023	NGL	Gas Plant Products (gal)	Royalties	678.06
2004	UT	Piute	49031	Clay	Clay (ton)	Royalties	18407
2004	UT	San Juan	49037	Gas	Processed (Residue) Gas (mcf)	Royalties	4153647.88
2004	UT	San Juan	49037	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	486281.41
2004	UT	San Juan	49037	NGL	Gas Plant Products (gal)	Royalties	41088303.02
2004	UT	San Juan	49037	Oil	Condensate (bbl)	Royalties	131789.36
2004	UT	San Juan	49037	Oil	Drip or Scrubber Condensate (bbl)	Royalties	972.65
2004	UT	San Juan	49037	Oil	Oil (bbl)	Royalties	304571.73
2004	UT	Sevier	49041	Coal	Coal (ton)	Royalties	7294068.39
2004	UT	Sevier	49041	Oil	Oil (bbl)	Royalties	29397.12
2004	UT	Summit	49043	Gas	Processed (Residue) Gas (mcf)	Royalties	48432.24
2004	UT	Summit	49043	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	171671.45
2004	UT	Summit	49043	NGL	Gas Plant Products (gal)	Royalties	319442.15
2004	UT	Summit	49043	Oil	Condensate (bbl)	Royalties	9.47
2004	UT	Summit	49043	Oil	Oil (bbl)	Royalties	51794.59
2004	UT	Tooele	49045	Magnesium Chloride Brine	Magnesium Chloride Brine (ton)	Royalties	58204
2004	UT	Tooele	49045	Manure Salts	Manure Salts (ton)	Royalties	6043
2004	UT	Tooele	49045	Potash	Potash (ton)	Royalties	19335
2004	UT	Tooele	49045	Salt	Salt (ton)	Royalties	9137
2004	UT	Uintah	49047	Gas	Coal Bed Methane (mcf)	Royalties	359.51
2004	UT	Uintah	49047	Gas	Processed (Residue) Gas (mcf)	Royalties	3802453.51
2004	UT	Uintah	49047	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	95058822.83
2004	UT	Uintah	49047	NGL	Gas Plant Products (gal)	Royalties	1722624.08
2004	UT	Uintah	49047	Oil	Condensate (bbl)	Royalties	434063.81
2004	UT	Uintah	49047	Oil	Oil (bbl)	Royalties	1898421.45
2004	UT	Uintah	49047	Gilsonite	Gilsonite (ton)	Royalties	18458
2005	UT	Beaver	49001	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	Royalties	2290182691.15
2005	UT	Carbon	49007	Coal	Coal (ton)	Royalties	8838443.63
2005	UT	Carbon	49007	Gas	Coal Bed Methane (mcf)	Royalties	11297271.19
2005	UT	Carbon	49007	Gas	Fuel Gas (mcf)	Royalties	25214.24
2005	UT	Carbon	49007	Gas	Processed (Residue) Gas (mcf)	Royalties	50635.17
2005	UT	Carbon	49007	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	14390534.69
2005	UT	Carbon	49007	Oil	Oil (bbl)	Royalties	5726.16
2005	UT	Daggett	49009	Gas	Processed (Residue) Gas (mcf)	Royalties	7585
2005	UT	Daggett	49009	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1097556.72
2005	UT	Daggett	49009	Oil	Condensate (bbl)	Royalties	478.76
2005	UT	Duchesne	49013	Gas	Processed (Residue) Gas (mcf)	Royalties	273.98
2005	UT	Duchesne	49013	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	3649106.41
2005	UT	Duchesne	49013	NGL	Gas Plant Products (gal)	Royalties	4263440.37
2005	UT	Duchesne	49013	Oil	Oil (bbl)	Royalties	2103741.89
2005	UT	Emery	49015	Coal	Coal (ton)	Royalties	3920056.86
2005	UT	Emery	49015	Gas	Coal Bed Methane (mcf)	Royalties	331008.22
2005	UT	Emery	49015	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	3594874.63
2005	UT	Emery	49015	Oil	Oil (bbl)	Royalties	3940.39
2005	UT	Garfield	49017	Oil	Oil (bbl)	Royalties	197599.41
2005	UT	Grand	49019	Gas	Processed (Residue) Gas (mcf)	Royalties	449912.36
2005	UT	Grand	49019	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	4801124.61
2005	UT	Grand	49019	NGL	Gas Plant Products (gal)	Royalties	127168.2
2005	UT	Grand	49019	Oil	Condensate (bbl)	Royalties	1329.7
2005	UT	Grand	49019	Oil	Oil (bbl)	Royalties	72987.01
2005	UT	Juab	49023	Gas	Processed (Residue) Gas (mcf)	Royalties	4783.09
2005	UT	Juab	49023	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	8737
2005	UT	Juab	49023	NGL	Gas Plant Products (gal)	Royalties	633.06
2005	UT	Piute	49031	Clay	Clay (ton)	Royalties	18094
2005	UT	San Juan	49037	Gas	Processed (Residue) Gas (mcf)	Royalties	3007780.6
2005	UT	San Juan	49037	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	1362495.05
2005	UT	San Juan	49037	NGL	Gas Plant Products (gal)	Royalties	29565525.39
2005	UT	San Juan	49037	Oil	Condensate (bbl)	Royalties	46901.23
2005	UT	San Juan	49037	Oil	Drip or Scrubber Condensate (bbl)	Royalties	529.9
2005	UT	San Juan	49037	Oil	Oil (bbl)	Royalties	295723.46
2005	UT	Sevier	49041	Coal	Coal (ton)	Royalties	7033682.52
2005	UT	Sevier	49041	Oil	Oil (bbl)	Royalties	554998.7
2005	UT	Summit	49043	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	217949.99
2005	UT	Summit	49043	NGL	Gas Plant Products (gal)	Royalties	40057.69
2005	UT	Summit	49043	Oil	Oil (bbl)	Royalties	47530.42
2005	UT	Tooele	49045	Magnesium Chloride Brine	Magnesium Chloride Brine (ton)	Royalties	35054
2005	UT	Tooele	49045	Manure Salts	Manure Salts (ton)	Royalties	8213
2005	UT	Tooele	49045	Potash	Potash (ton)	Royalties	16068
2005	UT	Tooele	49045	Salt	Salt (ton)	Royalties	8388
2005	UT	Uintah	49047	Gas	Fuel Gas (mcf)	Royalties	271.28
2005	UT	Uintah	49047	Gas	Processed (Residue) Gas (mcf)	Royalties	34535261.29
2005	UT	Uintah	49047	Gas	Unprocessed (Wet) Gas (mcf)	Royalties	99155873.11
2005	UT	Uintah	49047	NGL	Gas Plant Products (gal)	Royalties	4612389.82
