Year	State	County	FIPS	Volume
2012	UT	Daggett County	49009	2
2007	UT	Daggett County	49009	2
2009	UT	Daggett County	49009	2
2013	UT	Daggett County	49009	2
2010	UT	Daggett County	49009	2
2005	UT	Carbon County	49007	5
2011	UT	Daggett County	49009	2
2005	UT	San Juan County	49037	4
2006	UT	Daggett County	49009	2
2008	UT	Daggett County	49009	2
2014	UT	Daggett County	49009	2
2005	UT	Daggett County	49009	2
2009	UT	Duchesne County	49013	4
2012	UT	Carbon County	49007	5
2007	UT	Duchesne County	49013	4
2006	UT	Duchesne County	49013	4
2012	UT	Duchesne County	49013	3
2014	UT	Emery County	49015	3
2008	UT	Duchesne County	49013	4
2006	UT	Carbon County	49007	5
2011	UT	Carbon County	49007	5
2013	UT	Emery County	49015	3
2012	UT	Grand County	49019	4
2007	UT	Emery County	49015	3
2012	UT	Emery County	49015	3
2014	UT	Salt Lake County	49035	2
2006	UT	Uintah County	49047	5
2006	UT	San Juan County	49037	4
2011	UT	Emery County	49015	3
2005	UT	Emery County	49015	3
2010	UT	San Juan County	49037	4
2012	UT	Salt Lake County	49035	2
2009	UT	Washington County	49053	1
2013	UT	Duchesne County	49013	4
2006	UT	Emery County	49015	3
2013	UT	Salt Lake County	49035	2
2014	UT	Washington County	49053	1
2011	UT	Washington County	49053	1
2012	UT	Washington County	49053	1
2010	UT	Washington County	49053	1
2013	UT	Washington County	49053	1
2007	UT	Washington County	49053	1
2008	UT	Washington County	49053	1
2006	UT	Washington County	49053	1
2008	UT	Sanpete County	49039	2
2005	UT	Washington County	49053	1
2008	UT	Carbon County	49007	5
2010	UT	Duchesne County	49013	4
2011	UT	Duchesne County	49013	4
2010	UT	Emery County	49015	3
2008	UT	Emery County	49015	3
2007	UT	Carbon County	49007	5
2013	UT	Garfield County	49017	2
2009	UT	San Juan County	49037	4
2005	UT	Uintah County	49047	5
2014	UT	Garfield County	49017	2
2014	UT	Duchesne County	49013	4
2005	UT	Garfield County	49017	2
2006	UT	Garfield County	49017	2
2009	UT	Garfield County	49017	2
2010	UT	Garfield County	49017	2
2011	UT	Garfield County	49017	2
2007	UT	Garfield County	49017	2
2008	UT	Garfield County	49017	2
2012	UT	Garfield County	49017	2
2008	UT	San Juan County	49037	4
2007	UT	San Juan County	49037	4
2007	UT	Uintah County	49047	5
2009	UT	Grand County	49019	3
2009	UT	Emery County	49015	3
2009	UT	Uintah County	49047	5
2011	UT	Summit County	49043	2
2014	UT	San Juan County	49037	4
2012	UT	Summit County	49043	2
2012	UT	Uintah County	49047	5
2011	UT	San Juan County	49037	4
2010	UT	Summit County	49043	2
2009	UT	Sanpete County	49039	2
2008	UT	Uintah County	49047	5
2009	UT	Summit County	49043	2
2014	UT	Utah County	49049	1
2013	UT	San Juan County	49037	4
2013	UT	Utah County	49049	1
2005	UT	Utah County	49049	1
2012	UT	Utah County	49049	1
2013	UT	Grand County	49019	4
2012	UT	San Juan County	49037	4
2013	UT	Uintah County	49047	4
2011	UT	Utah County	49049	1
2010	UT	Uintah County	49047	5
2007	UT	Grand County	49019	4
2013	UT	Summit County	49043	2
2010	UT	Utah County	49049	1
2014	UT	Uintah County	49047	4
2006	UT	Grand County	49019	4
2013	UT	Carbon County	49007	3
2014	UT	Summit County	49043	2
2014	UT	Piute County	49031	1
2009	UT	Utah County	49049	1
2008	UT	Summit County	49043	2
2008	UT	Utah County	49049	1
2007	UT	Summit County	49043	2
2010	UT	Carbon County	49007	3
2007	UT	Utah County	49049	1
2006	UT	Utah County	49049	1
2011	UT	Uintah County	49047	4
2014	UT	Grand County	49019	4
2006	UT	Summit County	49043	2
2008	UT	Grand County	49019	4
2005	UT	Summit County	49043	2
2014	UT	Carbon County	49007	3
2009	UT	Carbon County	49007	3
2011	UT	Grand County	49019	2
2005	UT	Grand County	49019	4
2010	UT	Grand County	49019	2
2005	UT	Sevier County	49041	1
2014	UT	Sevier County	49041	1
2007	UT	Sevier County	49041	1
2013	UT	Sevier County	49041	1
2006	UT	Sevier County	49041	1
2008	UT	Sevier County	49041	1
2012	UT	Sevier County	49041	1
2005	UT	Duchesne County	49013	2
2011	UT	Sevier County	49041	1
2010	UT	Sevier County	49041	1
2009	UT	Sevier County	49041	1
2013	UT	Millard County	49027	1
2013	UT	Beaver County	49001	2
2014	UT	Millard County	49027	1
2014	UT	Beaver County	49001	2
2007	UT	Beaver County	49001	1
2005	UT	Beaver County	49001	1
2006	UT	Beaver County	49001	1
2012	UT	Beaver County	49001	1
2008	UT	Beaver County	49001	1
2011	UT	Beaver County	49001	1
2010	UT	Beaver County	49001	1
2009	UT	Beaver County	49001	1
