Year	State	County	FIPS	Commodity	Product	Volume
2005	VA	Dickenson County	51051		Oil (bbl)	20.73
2008	VA	Highland County	51091		Gas (mcf)	182.5
2007	VA	Highland County	51091		Gas (mcf)	681
2006	VA	Wise County	51195		Gas (mcf)	1342.35
2007	VA	Wise County	51195		Gas (mcf)	1374.5
2005	VA	Wise County	51195		Gas (mcf)	1383.5
2005	VA	Highland County	51091		Gas (mcf)	1778
2006	VA	Highland County	51091		Gas (mcf)	2830
2008	VA	Wise County	51195		Gas (mcf)	9618.61
2010	VA	Wise County	51195		Gas (mcf)	17194.44
2014	VA	Wise County	51195		Gas (mcf)	17829.8
2013	VA	Wise County	51195		Gas (mcf)	19505.66
2009	VA	Wise County	51195		Gas (mcf)	20180.93
2012	VA	Wise County	51195		Gas (mcf)	20290.16
2011	VA	Wise County	51195		Gas (mcf)	21855.73
2014	VA	Dickenson County	51051		Gas (mcf)	131549
2013	VA	Dickenson County	51051		Gas (mcf)	143227.38
2012	VA	Dickenson County	51051		Gas (mcf)	153658.61
2011	VA	Dickenson County	51051		Gas (mcf)	159776.04
2010	VA	Dickenson County	51051		Gas (mcf)	172099.83
2009	VA	Dickenson County	51051		Gas (mcf)	178133.71
2008	VA	Dickenson County	51051		Gas (mcf)	201199.79
2007	VA	Dickenson County	51051		Gas (mcf)	206301.65
2006	VA	Dickenson County	51051		Gas (mcf)	241734.21
2005	VA	Dickenson County	51051		Gas (mcf)	255301.9
