Year	Commodity	Volume	County	State	Product
2004		1981000		WI	Conventional Hydroelectric (Mwh)
2005		1740000		WI	Conventional Hydroelectric (Mwh)
2006		1679000		WI	Conventional Hydroelectric (Mwh)
2007		1516000		WI	Conventional Hydroelectric (Mwh)
2008		1616000		WI	Conventional Hydroelectric (Mwh)
2009		1394000		WI	Conventional Hydroelectric (Mwh)
2010		2112000		WI	Conventional Hydroelectric (Mwh)
2011		2147000		WI	Conventional Hydroelectric (Mwh)
2012		1522000		WI	Conventional Hydroelectric (Mwh)
2013		1979000		WI	Conventional Hydroelectric (Mwh)
2004		1114000		WI	Other Renewables (Mwh)
2005		1182000		WI	Other Renewables (Mwh)
2006		1266000		WI	Other Renewables (Mwh)
2007		1330000		WI	Other Renewables (Mwh)
2008		1754000		WI	Other Renewables (Mwh)
2009		2340000		WI	Other Renewables (Mwh)
2010		2474000		WI	Other Renewables (Mwh)
2011		2765000		WI	Other Renewables (Mwh)
2012		3223000		WI	Other Renewables (Mwh)
2013		3192000		WI	Other Renewables (Mwh)
2004		104000		WI	Wind (Mwh)
2005		93000		WI	Wind (Mwh)
2006		101000		WI	Wind (Mwh)
2007		109000		WI	Wind (Mwh)
2008		487000		WI	Wind (Mwh)
2009		1052000		WI	Wind (Mwh)
2010		1088000		WI	Wind (Mwh)
2011		1188000		WI	Wind (Mwh)
2012		1558000		WI	Wind (Mwh)
2013		1558000		WI	Wind (Mwh)
2004		1010000		WI	Total Biomass (Mwh)
2005		1089000		WI	Total Biomass (Mwh)
2006		1164000		WI	Total Biomass (Mwh)
2007		1220000		WI	Total Biomass (Mwh)
2008		1267000		WI	Total Biomass (Mwh)
2009		1288000		WI	Total Biomass (Mwh)
2010		1385000		WI	Total Biomass (Mwh)
2011		1577000		WI	Total Biomass (Mwh)
2012		1666000		WI	Total Biomass (Mwh)
2013		1634000		WI	Total Biomass (Mwh)
2004		605000		WI	Wood and wood-derived fuels (Mwh)
2005		740000		WI	Wood and wood-derived fuels (Mwh)
2006		774000		WI	Wood and wood-derived fuels (Mwh)
2007		785000		WI	Wood and wood-derived fuels (Mwh)
2008		775000		WI	Wood and wood-derived fuels (Mwh)
2009		769000		WI	Wood and wood-derived fuels (Mwh)
2010		878000		WI	Wood and wood-derived fuels (Mwh)
2011		1032000		WI	Wood and wood-derived fuels (Mwh)
2012		1149000		WI	Wood and wood-derived fuels (Mwh)
2013		1150000		WI	Wood and wood-derived fuels (Mwh)
2004		405000		WI	Other Biomass (Mwh)
2005		349000		WI	Other Biomass (Mwh)
2006		390000		WI	Other Biomass (Mwh)
2007		435000		WI	Other Biomass (Mwh)
2008		492000		WI	Other Biomass (Mwh)
2009		519000		WI	Other Biomass (Mwh)
2010		508000		WI	Other Biomass (Mwh)
2011		545000		WI	Other Biomass (Mwh)
2012		517000		WI	Other Biomass (Mwh)
2013		484000		WI	Other Biomass (Mwh)
2004		5219000		WI	All Renewables (Mwh)
2005		5193000		WI	All Renewables (Mwh)
2006		5374000		WI	All Renewables (Mwh)
2007		5395000		WI	All Renewables (Mwh)
2008		6391000		WI	All Renewables (Mwh)
2009		7362000		WI	All Renewables (Mwh)
2010		8445000		WI	All Renewables (Mwh)
2011		9254000		WI	All Renewables (Mwh)
2012		9635000		WI	All Renewables (Mwh)
2013		9997000		WI	All Renewables (Mwh)
