state	name	FIPS
WI	Iron	55051
WI	Vilas	55125
WI	Burnett	55013
WI	Sawyer	55113
WI	Washburn	55129
WI	Forest	55041
WI	Florence	55037
WI	Price	55099
WI	Oneida	55085
WI	Polk	55095
WI	Barron	55005
WI	Rusk	55107
WI	Lincoln	55069
WI	Langlade	55067
WI	Taylor	55119
WI	Oconto	55083
WI	Chippewa	55017
WI	Saint Croix	55109
WI	Dunn	55033
WI	Marathon	55073
WI	Menominee	55078
WI	Clark	55019
WI	Shawano	55115
WI	Pierce	55093
WI	Eau Claire	55035
WI	Portage	55097
WI	Wood	55141
WI	Brown	55009
WI	Pepin	55091
WI	Waupaca	55135
WI	Kewaunee	55061
WI	Buffalo	55011
WI	Trempealeau	55121
WI	Jackson	55053
WI	Outagamie	55087
WI	Manitowoc	55071
WI	Juneau	55057
WI	Adams	55001
WI	Waushara	55137
WI	Winnebago	55139
WI	Calumet	55015
WI	Monroe	55081
WI	La Crosse	55063
WI	Green Lake	55047
WI	Marquette	55077
WI	Fond du Lac	55039
WI	Sheboygan	55117
WI	Vernon	55123
WI	Columbia	55021
WI	Sauk	55111
WI	Dodge	55027
WI	Richland	55103
WI	Ozaukee	55089
WI	Washington	55131
WI	Crawford	55023
WI	Dane	55025
WI	Iowa	55049
WI	Grant	55043
WI	Jefferson	55055
WI	Waukesha	55133
WI	Milwaukee	55079
WI	Green	55045
WI	Rock	55105
WI	Walworth	55127
WI	Racine	55101
WI	Lafayette	55065
WI	Kenosha	55059
WI	Douglas	55031
WI	Bayfield	55007
WI	Ashland	55003
WI	Marinette	55075
WI	Door	55029
