Year	State	County	FIPS	Commodity	Product	Volume
2010	WV	Lewis County	54041		Oil (bbl)	8
2011	WV	Lewis County	54041		Oil (bbl)	14
2009	WV	Lewis County	54041		Oil (bbl)	193
2014	WV	Lewis County	54041		Gas (mcf)	811
2014	WV	Wyoming County	54109		Gas (mcf)	928.34
2013	WV	Wyoming County	54109		Gas (mcf)	983.32
2012	WV	Wyoming County	54109		Gas (mcf)	1059.72
2011	WV	Wyoming County	54109		Gas (mcf)	1168.03
2010	WV	Wyoming County	54109		Gas (mcf)	1305.31
2009	WV	Wyoming County	54109		Gas (mcf)	1428.16
2008	WV	Wyoming County	54109		Gas (mcf)	1531.32
2007	WV	Wyoming County	54109		Gas (mcf)	1729.51
2006	WV	Pendleton County	54071		Gas (mcf)	1799.84
2005	WV	Pendleton County	54071		Gas (mcf)	1976.86
2006	WV	Wyoming County	54109		Gas (mcf)	2113.66
2005	WV	Wyoming County	54109		Gas (mcf)	3521.4
2008	WV	Randolph County	54083		Gas (mcf)	6605.85
2009	WV	Lewis County	54041		Gas (mcf)	8661
2010	WV	Lewis County	54041		Gas (mcf)	8881
2011	WV	Lewis County	54041		Gas (mcf)	9237
2012	WV	Randolph County	54083		Gas (mcf)	10016.83
2008	WV	Lewis County	54041		Gas (mcf)	10906
2007	WV	Lewis County	54041		Gas (mcf)	11766
2006	WV	Lewis County	54041		Gas (mcf)	12720
2012	WV	Grant County	54023		Gas (mcf)	16000.49
2010	WV	Grant County	54023		Gas (mcf)	19104.86
2007	WV	Randolph County	54083		Gas (mcf)	21344.32
2014	WV	Preston County	54077		Gas (mcf)	22118
2014	WV	Randolph County	54083		Gas (mcf)	23197.06
2008	WV	Grant County	54023		Gas (mcf)	24070.18
2009	WV	Grant County	54023		Gas (mcf)	24198.91
2013	WV	Preston County	54077		Gas (mcf)	24355.94
2014	WV	Pendleton County	54071		Gas (mcf)	25108.83
2007	WV	Grant County	54023		Gas (mcf)	25486.73
2012	WV	Pendleton County	54071		Gas (mcf)	25981.94
2013	WV	Randolph County	54083		Gas (mcf)	26089.55
2011	WV	Grant County	54023		Gas (mcf)	26946.2
2007	WV	Pendleton County	54071		Gas (mcf)	27135.36
2006	WV	Grant County	54023		Gas (mcf)	27482.33
2011	WV	Preston County	54077		Gas (mcf)	27508.48
2012	WV	Preston County	54077		Gas (mcf)	28865.1
2005	WV	Grant County	54023		Gas (mcf)	30257.91
2013	WV	Pendleton County	54071		Gas (mcf)	30857.31
2010	WV	Preston County	54077		Gas (mcf)	30878.25
2009	WV	Pendleton County	54071		Gas (mcf)	30932.91
2011	WV	Pocahontas County	54075		Gas (mcf)	35218
2009	WV	Preston County	54077		Gas (mcf)	35315.4
2010	WV	Pendleton County	54071		Gas (mcf)	35471.64
2006	WV	Randolph County	54083		Gas (mcf)	37097.86
2010	WV	Pocahontas County	54075		Gas (mcf)	37511
2008	WV	Preston County	54077		Gas (mcf)	38657.64
2005	WV	Randolph County	54083		Gas (mcf)	39741.82
2007	WV	Preston County	54077		Gas (mcf)	42498.78
2014	WV	Tucker County	54093		Gas (mcf)	45254.5
2009	WV	Pocahontas County	54075		Gas (mcf)	46394
2011	WV	Pendleton County	54071		Gas (mcf)	47017.57
2006	WV	Preston County	54077		Gas (mcf)	48010.28
2008	WV	Pocahontas County	54075		Gas (mcf)	55075.5
2014	WV	Mingo County	54059		Gas (mcf)	55205.66
2012	WV	Tucker County	54093		Gas (mcf)	56641.83
2013	WV	Tucker County	54093		Gas (mcf)	57221.28
2013	WV	Mingo County	54059		Gas (mcf)	58474.68
2012	WV	Mingo County	54059		Gas (mcf)	63018.28
2005	WV	Preston County	54077		Gas (mcf)	66904.94
2011	WV	Mingo County	54059		Gas (mcf)	69458.97
2007	WV	Pocahontas County	54075		Gas (mcf)	69751
2010	WV	Mingo County	54059		Gas (mcf)	77622.69
2008	WV	Pendleton County	54071		Gas (mcf)	79843.72
2009	WV	Mingo County	54059		Gas (mcf)	84927.84
2006	WV	Pocahontas County	54075		Gas (mcf)	89762
2008	WV	Mingo County	54059		Gas (mcf)	91062.68
2007	WV	Mingo County	54059		Gas (mcf)	102848.49
2005	WV	Pocahontas County	54075		Gas (mcf)	105698
2006	WV	Mingo County	54059		Gas (mcf)	125692.34
2010	WV	Tucker County	54093		Gas (mcf)	168632.92
2005	WV	Mingo County	54059		Gas (mcf)	209406.6
2011	WV	Tucker County	54093		Gas (mcf)	215917.91
2007	WV	Tucker County	54093		Gas (mcf)	217288.22
2006	WV	Tucker County	54093		Gas (mcf)	229622.63
2009	WV	Tucker County	54093		Gas (mcf)	235810.31
2005	WV	Tucker County	54093		Gas (mcf)	263500.67
2008	WV	Tucker County	54093		Gas (mcf)	289169.42
