Year	State	County	FIPS	Commodity	Product	Volume
2007	WY	Natrona County	56025		Oil (bbl)	1
2007	WY	Park County	56029		Oil (bbl)	17
2011	WY	Natrona County	56025		Oil (bbl)	69.02
2009	WY	Park County	56029		Oil (bbl)	97
2008	WY	Park County	56029		Oil (bbl)	168
2012	WY	Uinta County	56041		Oil (bbl)	211.67
2013	WY	Uinta County	56041		Oil (bbl)	237
2011	WY	Uinta County	56041		Oil (bbl)	276
2010	WY	Uinta County	56041		Oil (bbl)	341.67
2014	WY	Crook County	56011		Oil (bbl)	373
2012	WY	Johnson County	56019		Oil (bbl)	398
2008	WY	Uinta County	56041		Oil (bbl)	420.33
2006	WY	Natrona County	56025		Oil (bbl)	476
2009	WY	Uinta County	56041		Oil (bbl)	481.67
2006	WY	Sheridan County	56033		Gas (mcf)	517.5
2009	WY	Johnson County	56019		Oil (bbl)	529
2011	WY	Johnson County	56019		Oil (bbl)	718
2011	WY	Sublette County	56035		Oil (bbl)	727
2008	WY	Natrona County	56025		Oil (bbl)	947.52
2005	WY	Uinta County	56041		Gas (mcf)	1010
2010	WY	Johnson County	56019		Oil (bbl)	1094
2007	WY	Sublette County	56035		Oil (bbl)	1513
2010	WY	Converse County	56009		Oil (bbl)	1518
2014	WY	Hot Springs County	56017		Oil (bbl)	1582.35
2007	WY	Johnson County	56019		Oil (bbl)	1828
2006	WY	Carbon County	56007		Oil (bbl)	1920.34
2010	WY	Sheridan County	56033		Gas (mcf)	1986
2013	WY	Carbon County	56007		Oil (bbl)	2048.5
2014	WY	Lincoln County	56023		Oil (bbl)	2060
2013	WY	Natrona County	56025		Oil (bbl)	2078.04
2008	WY	Johnson County	56019		Oil (bbl)	2146
2014	WY	Carbon County	56007		Oil (bbl)	2200
2006	WY	Johnson County	56019		Oil (bbl)	2381
2005	WY	Carbon County	56007		Oil (bbl)	2439.65
2012	WY	Niobrara County	56027		Oil (bbl)	2449.17
2011	WY	Fremont County	56013		Oil (bbl)	2484.98
2011	WY	Laramie County	56021		Gas (mcf)	2611.46
2007	WY	Sheridan County	56033		Gas (mcf)	2613
2010	WY	Laramie County	56021		Gas (mcf)	2752.55
2008	WY	Laramie County	56021		Gas (mcf)	2886.28
2005	WY	Natrona County	56025		Oil (bbl)	2935
2007	WY	Natrona County	56025		Gas (mcf)	2956
2007	WY	Laramie County	56021		Gas (mcf)	2962.69
2014	WY	Laramie County	56021		Gas (mcf)	2965.48
2006	WY	Sheridan County	56033		Oil (bbl)	3044.09
2006	WY	Laramie County	56021		Gas (mcf)	3046.31
2009	WY	Laramie County	56021		Gas (mcf)	3075.3
2012	WY	Carbon County	56007		Oil (bbl)	3086
2012	WY	Laramie County	56021		Gas (mcf)	3215.27
2009	WY	Fremont County	56013		Oil (bbl)	3666
2011	WY	Carbon County	56007		Oil (bbl)	3735
2010	WY	Fremont County	56013		Oil (bbl)	3737
2005	WY	Laramie County	56021		Gas (mcf)	3751.45
2013	WY	Lincoln County	56023		Oil (bbl)	3767
2013	WY	Park County	56029		Gas (mcf)	3839
2014	WY	Fremont County	56013		Oil (bbl)	3950.73
2005	WY	Sublette County	56035		Oil (bbl)	3963
2007	WY	Carbon County	56007		Oil (bbl)	4134.5
2013	WY	Sheridan County	56033		Oil (bbl)	4150.25
2014	WY	Campbell County	56005		Oil (bbl)	4261
2010	WY	Carbon County	56007		Oil (bbl)	4398.5
2012	WY	Natrona County	56025		Oil (bbl)	4495.23
2012	WY	Lincoln County	56023		Oil (bbl)	4669.67
2013	WY	Laramie County	56021		Gas (mcf)	4714.67
2007	WY	Albany County	56001		Gas (mcf)	4753
2012	WY	Sheridan County	56033		Oil (bbl)	4901.71
2009	WY	Carbon County	56007		Oil (bbl)	5035.5
2007	WY	Sheridan County	56033		Oil (bbl)	5132.35
2009	WY	Sheridan County	56033		Gas (mcf)	5152
2013	WY	Fremont County	56013		Oil (bbl)	5350.96
2011	WY	Lincoln County	56023		Oil (bbl)	5385
2014	WY	Park County	56029		Gas (mcf)	5392
2007	WY	Park County	56029		Gas (mcf)	5480
2012	WY	Sweetwater County	56037		Oil (bbl)	5594.67
2011	WY	Sheridan County	56033		Oil (bbl)	5884.67
2005	WY	Albany County	56001		Gas (mcf)	6272
2008	WY	Albany County	56001		Gas (mcf)	6333.87
2009	WY	Fremont County	56013		Gas (mcf)	6399
2006	WY	Albany County	56001		Gas (mcf)	6695
2012	WY	Park County	56029		Gas (mcf)	6716
2008	WY	Carbon County	56007		Oil (bbl)	6946
2007	WY	Fremont County	56013		Oil (bbl)	7071
2009	WY	Sheridan County	56033		Oil (bbl)	7238.02
2008	WY	Converse County	56009		Gas (mcf)	7529
2010	WY	Sheridan County	56033		Oil (bbl)	7658.15
2009	WY	Lincoln County	56023		Oil (bbl)	7785.67
2006	WY	Park County	56029		Gas (mcf)	7872
2008	WY	Sheridan County	56033		Gas (mcf)	8004
2006	WY	Fremont County	56013		Oil (bbl)	8062
2008	WY	Converse County	56009		Oil (bbl)	8136
2008	WY	Sheridan County	56033		Oil (bbl)	8310.61
2010	WY	Lincoln County	56023		Oil (bbl)	8317.17
2009	WY	Sweetwater County	56037		Oil (bbl)	8473.17
2008	WY	Fremont County	56013		Oil (bbl)	9097.48
2014	WY	Sheridan County	56033		Oil (bbl)	9257.19
2010	WY	Converse County	56009		Gas (mcf)	9284
2011	WY	Sweetwater County	56037		Oil (bbl)	9573
2008	WY	Sweetwater County	56037		Oil (bbl)	9762.33
2010	WY	Sweetwater County	56037		Oil (bbl)	9922.17
2009	WY	Converse County	56009		Oil (bbl)	10376
2008	WY	Lincoln County	56023		Oil (bbl)	10767.33
2005	WY	Lincoln County	56023		Oil (bbl)	11434
2012	WY	Fremont County	56013		Oil (bbl)	11781.77
2010	WY	Sublette County	56035		Oil (bbl)	11841.5
2006	WY	Lincoln County	56023		Oil (bbl)	11973.54
2007	WY	Fremont County	56013		Gas (mcf)	12354
2014	WY	Laramie County	56021		Oil (bbl)	12916.87
2007	WY	Lincoln County	56023		Oil (bbl)	13514
2008	WY	Natrona County	56025		Gas (mcf)	13954.51
2005	WY	Fremont County	56013		Oil (bbl)	13969
2014	WY	Johnson County	56019		Oil (bbl)	14530
2014	WY	Albany County	56001		Oil (bbl)	14542.94
2011	WY	Laramie County	56021		Oil (bbl)	14592.65
2014	WY	Natrona County	56025		Oil (bbl)	14835.27
2009	WY	Albany County	56001		Gas (mcf)	14848.72
2008	WY	Sublette County	56035		Oil (bbl)	15179
2012	WY	Laramie County	56021		Oil (bbl)	15249.67
2013	WY	Laramie County	56021		Oil (bbl)	15472.81
2010	WY	Laramie County	56021		Oil (bbl)	16071.89
2009	WY	Laramie County	56021		Oil (bbl)	16815.88
2013	WY	Albany County	56001		Oil (bbl)	17573.52
2008	WY	Laramie County	56021		Oil (bbl)	18238.48
2007	WY	Sweetwater County	56037		Oil (bbl)	18725.5
2007	WY	Laramie County	56021		Oil (bbl)	19493.86
2008	WY	Albany County	56001		Oil (bbl)	19807.74
2010	WY	Albany County	56001		Gas (mcf)	19843.45
2012	WY	Niobrara County	56027		Gas (mcf)	20819.25
2006	WY	Laramie County	56021		Oil (bbl)	21103.02
2005	WY	Laramie County	56021		Oil (bbl)	21674.23
2013	WY	Albany County	56001		Gas (mcf)	22151.86
2009	WY	Sublette County	56035		Oil (bbl)	22759
2014	WY	Albany County	56001		Gas (mcf)	22816.72
2012	WY	Albany County	56001		Gas (mcf)	23053.68
2011	WY	Albany County	56001		Gas (mcf)	24375.44
2011	WY	Park County	56029		Gas (mcf)	24726
2014	WY	Crook County	56011		Gas (mcf)	25385.93
2014	WY	Sublette County	56035		Oil (bbl)	25617
2006	WY	Sublette County	56035		Oil (bbl)	25629.5
2009	WY	Albany County	56001		Oil (bbl)	25855.12
2013	WY	Crook County	56011		Gas (mcf)	26724.42
2006	WY	Sweetwater County	56037		Oil (bbl)	27066.61
2010	WY	Albany County	56001		Oil (bbl)	27416.41
2011	WY	Albany County	56001		Oil (bbl)	27647.33
2009	WY	Converse County	56009		Gas (mcf)	27740
2012	WY	Albany County	56001		Oil (bbl)	28095.61
2007	WY	Crook County	56011		Gas (mcf)	28144.28
2008	WY	Fremont County	56013		Gas (mcf)	30391.49
2007	WY	Albany County	56001		Oil (bbl)	31544.38
2009	WY	Crook County	56011		Gas (mcf)	31751.16
2013	WY	Johnson County	56019		Oil (bbl)	31902
2012	WY	Crook County	56011		Gas (mcf)	32915.79
2008	WY	Crook County	56011		Gas (mcf)	33156.66
2014	WY	Park County	56029		Oil (bbl)	33292.65
2013	WY	Niobrara County	56027		Oil (bbl)	34113.43
2011	WY	Sweetwater County	56037		Sodium Bi-Carbonate (tons)	34297
2011	WY	Crook County	56011		Gas (mcf)	34746.08
2010	WY	Crook County	56011		Gas (mcf)	35924.84
2005	WY	Sweetwater County	56037		Oil (bbl)	37419.35
2006	WY	Albany County	56001		Oil (bbl)	37652.98
2005	WY	Albany County	56001		Oil (bbl)	37959.78
2010	WY	Park County	56029		Gas (mcf)	38676
2013	WY	Uinta County	56041		Gas (mcf)	40153.96
2012	WY	Sublette County	56035		Oil (bbl)	41500
2006	WY	Crook County	56011		Gas (mcf)	41521.49
2010	WY	Sweetwater County	56037		Sodium Bi-Carbonate (tons)	46904
2013	WY	Sublette County	56035		Oil (bbl)	49108
2012	WY	Uinta County	56041		Gas (mcf)	50910.62
2009	WY	Park County	56029		Gas (mcf)	51727
2005	WY	Crook County	56011		Gas (mcf)	55555.27
2011	WY	Uinta County	56041		Gas (mcf)	56329.94
2006	WY	Natrona County	56025		Gas (mcf)	57621.5
2011	WY	Converse County	56009		Oil (bbl)	57818
2005	WY	Sweetwater County	56037		Purge Liquor (tons- equivalent)	61925
2010	WY	Uinta County	56041		Gas (mcf)	63795.27
2011	WY	Natrona County	56025		Gas (mcf)	64806.73
2013	WY	Niobrara County	56027		Gas (mcf)	67872.55
2012	WY	Sweetwater County	56037		Sodium Bi-Carbonate (tons)	69262
2006	WY	Sweetwater County	56037		Purge Liquor (tons- equivalent)	69814
2013	WY	Sweetwater County	56037		Sodium Bi-Carbonate (tons)	71539
2012	WY	Sweetwater County	56037		Purge Liquor (tons- equivalent)	73594
2008	WY	Uinta County	56041		Gas (mcf)	75780.26
2005	WY	Campbell County	56005		Gas (mcf)	78184.5
2005	WY	Carbon County	56007		Gas (mcf)	80043.17
2009	WY	Uinta County	56041		Gas (mcf)	81510.59
2011	WY	Sublette County	56035		Gas (mcf)	82549
2006	WY	Carbon County	56007		Gas (mcf)	85243.37
2013	WY	Sweetwater County	56037		Purge Liquor (tons- equivalent)	88213
2011	WY	Sweetwater County	56037		Purge Liquor (tons- equivalent)	88407
2014	WY	Sweetwater County	56037		Purge Liquor (tons- equivalent)	91878
2014	WY	Niobrara County	56027		Oil (bbl)	96243.02
2006	WY	Fremont County	56013		Gas (mcf)	97224.5
2007	WY	Sweetwater County	56037		Purge Liquor (tons- equivalent)	97711
2010	WY	Sweetwater County	56037		Purge Liquor (tons- equivalent)	104405
2014	WY	Sweetwater County	56037		Sodium Bi-Carbonate (tons)	107022
2008	WY	Park County	56029		Gas (mcf)	110719
2008	WY	Sweetwater County	56037		Purge Liquor (tons- equivalent)	116333
2009	WY	Sweetwater County	56037		Purge Liquor (tons- equivalent)	118021
2011	WY	Converse County	56009		Gas (mcf)	119203
2013	WY	Sweetwater County	56037		Sodium Sesquicarbonate	121115
2009	WY	Sweetwater County	56037		Trona Ore (tons)	139699
2005	WY	Park County	56029		Gas (mcf)	142172
2007	WY	Sublette County	56035		Gas (mcf)	148659
2005	WY	Niobrara County	56027		Gas (mcf)	159414.08
2005	WY	Fremont County	56013		Gas (mcf)	159649
2014	WY	Niobrara County	56027		Gas (mcf)	178072.4
2014	WY	Carbon County	56007		Gas (mcf)	195075
2014	WY	Hot Springs County	56017		Gas (mcf)	209384.99
2014	WY	Sweetwater County	56037		Oil (bbl)	229319
2013	WY	Carbon County	56007		Gas (mcf)	229639
2006	WY	Campbell County	56005		Gas (mcf)	233741
2013	WY	Hot Springs County	56017		Gas (mcf)	233882.82
2012	WY	Hot Springs County	56017		Gas (mcf)	237309.73
2010	WY	Hot Springs County	56017		Gas (mcf)	253819.85
2013	WY	Sweetwater County	56037		Oil (bbl)	261546.5
2014	WY	Lincoln County	56023		Oil (bbl)	262460.82
2012	WY	Carbon County	56007		Gas (mcf)	277268
2013	WY	Lincoln County	56023		Oil (bbl)	278398.66
2006	WY	Hot Springs County	56017		Gas (mcf)	282824.51
2005	WY	Niobrara County	56027		Oil (bbl)	285122.34
2011	WY	Hot Springs County	56017		Gas (mcf)	287667.29
2009	WY	Niobrara County	56027		Oil (bbl)	287695.31
2005	WY	Natrona County	56025		Gas (mcf)	294631
2007	WY	Niobrara County	56027		Oil (bbl)	296955.75
2008	WY	Niobrara County	56027		Oil (bbl)	298207.9
2012	WY	Lincoln County	56023		Oil (bbl)	310844.7
2006	WY	Niobrara County	56027		Oil (bbl)	316898.24
2011	WY	Carbon County	56007		Gas (mcf)	320910.5
2011	WY	Lincoln County	56023		Oil (bbl)	327481.86
2013	WY	Weston County	56045		Oil (bbl)	327877.16
2014	WY	Lincoln County	56023		Gas (mcf)	328154
2010	WY	Niobrara County	56027		Oil (bbl)	335097.22
2014	WY	Weston County	56045		Oil (bbl)	339891.13
2012	WY	Weston County	56045		Oil (bbl)	350180.37
2006	WY	Niobrara County	56027		Gas (mcf)	360137.75
2011	WY	Weston County	56045		Oil (bbl)	363130.94
2005	WY	Hot Springs County	56017		Gas (mcf)	372477.48
2010	WY	Carbon County	56007		Gas (mcf)	381876.5
2007	WY	Carbon County	56007		Gas (mcf)	382862.85
2009	WY	Hot Springs County	56017		Gas (mcf)	385396.39
2013	WY	Natrona County	56025		Gas (mcf)	389703.24
