Year	State	County	FIPS	Volume
2007	WY	Natrona County	56025	4
2007	WY	Park County	56029	4
2011	WY	Natrona County	56025	4
2009	WY	Park County	56029	4
2008	WY	Park County	56029	4
2012	WY	Uinta County	56041	4
2013	WY	Uinta County	56041	4
2011	WY	Uinta County	56041	4
2010	WY	Uinta County	56041	4
2014	WY	Crook County	56011	3
2012	WY	Johnson County	56019	4
2008	WY	Uinta County	56041	4
2006	WY	Natrona County	56025	4
2009	WY	Uinta County	56041	4
2006	WY	Sheridan County	56033	3
2009	WY	Johnson County	56019	4
2011	WY	Johnson County	56019	4
2011	WY	Sublette County	56035	4
2008	WY	Natrona County	56025	4
2005	WY	Uinta County	56041	3
2010	WY	Johnson County	56019	4
2007	WY	Sublette County	56035	4
2010	WY	Converse County	56009	5
2014	WY	Hot Springs County	56017	3
2007	WY	Johnson County	56019	4
2006	WY	Carbon County	56007	4
2010	WY	Sheridan County	56033	3
2013	WY	Carbon County	56007	4
2014	WY	Lincoln County	56023	4
2013	WY	Natrona County	56025	4
2008	WY	Johnson County	56019	4
2014	WY	Carbon County	56007	4
2006	WY	Johnson County	56019	4
2005	WY	Carbon County	56007	4
2012	WY	Niobrara County	56027	4
2011	WY	Fremont County	56013	4
2011	WY	Laramie County	56021	2
2007	WY	Sheridan County	56033	3
2010	WY	Laramie County	56021	2
2008	WY	Laramie County	56021	2
2005	WY	Natrona County	56025	4
2007	WY	Laramie County	56021	2
2014	WY	Laramie County	56021	2
2006	WY	Laramie County	56021	2
2009	WY	Laramie County	56021	2
2012	WY	Carbon County	56007	4
2012	WY	Laramie County	56021	2
2009	WY	Fremont County	56013	4
2011	WY	Carbon County	56007	4
2010	WY	Fremont County	56013	3
2005	WY	Laramie County	56021	2
2013	WY	Lincoln County	56023	4
2013	WY	Park County	56029	3
2014	WY	Fremont County	56013	4
2005	WY	Sublette County	56035	4
2007	WY	Carbon County	56007	4
2013	WY	Sheridan County	56033	2
2014	WY	Campbell County	56005	5
2010	WY	Carbon County	56007	4
2012	WY	Natrona County	56025	4
2012	WY	Lincoln County	56023	4
2013	WY	Laramie County	56021	2
2007	WY	Albany County	56001	2
2012	WY	Sheridan County	56033	2
2009	WY	Carbon County	56007	4
2009	WY	Sheridan County	56033	3
2013	WY	Fremont County	56013	4
2011	WY	Lincoln County	56023	4
2014	WY	Park County	56029	4
2012	WY	Sweetwater County	56037	8
2011	WY	Sheridan County	56033	2
2005	WY	Albany County	56001	2
2008	WY	Albany County	56001	2
2006	WY	Albany County	56001	2
2012	WY	Park County	56029	3
2008	WY	Carbon County	56007	4
2007	WY	Fremont County	56013	4
2008	WY	Converse County	56009	5
2009	WY	Lincoln County	56023	4
2006	WY	Park County	56029	3
2008	WY	Sheridan County	56033	3
2006	WY	Fremont County	56013	4
2010	WY	Lincoln County	56023	4
2009	WY	Sweetwater County	56037	8
2008	WY	Fremont County	56013	4
2014	WY	Sheridan County	56033	2
2011	WY	Sweetwater County	56037	8
2008	WY	Sweetwater County	56037	7
2010	WY	Sweetwater County	56037	8
2009	WY	Converse County	56009	5
2008	WY	Lincoln County	56023	4
2005	WY	Lincoln County	56023	4
2012	WY	Fremont County	56013	4
2010	WY	Sublette County	56035	4
2006	WY	Lincoln County	56023	4
2007	WY	Lincoln County	56023	4
2005	WY	Fremont County	56013	4
2014	WY	Johnson County	56019	4
2014	WY	Albany County	56001	2
2014	WY	Natrona County	56025	4
2009	WY	Albany County	56001	2
2008	WY	Sublette County	56035	4
2013	WY	Albany County	56001	2
2007	WY	Sweetwater County	56037	7
2010	WY	Albany County	56001	2
2009	WY	Sublette County	56035	4
2012	WY	Albany County	56001	2
2011	WY	Albany County	56001	2
2011	WY	Park County	56029	3
2014	WY	Sublette County	56035	4
2006	WY	Sublette County	56035	4
2013	WY	Crook County	56011	2
2006	WY	Sweetwater County	56037	7
2007	WY	Crook County	56011	2
2009	WY	Crook County	56011	2
2013	WY	Johnson County	56019	4
2012	WY	Crook County	56011	2
2008	WY	Crook County	56011	2
2013	WY	Niobrara County	56027	4
2011	WY	Crook County	56011	2
2010	WY	Crook County	56011	2
2005	WY	Sweetwater County	56037	7
2010	WY	Park County	56029	3
2012	WY	Sublette County	56035	4
2006	WY	Crook County	56011	2
2013	WY	Sublette County	56035	4
2005	WY	Crook County	56011	2
2011	WY	Converse County	56009	5
2013	WY	Sweetwater County	56037	9
2005	WY	Campbell County	56005	4
2014	WY	Sweetwater County	56037	8
2014	WY	Niobrara County	56027	4
2005	WY	Park County	56029	3
2005	WY	Niobrara County	56027	2
2006	WY	Campbell County	56005	4
2013	WY	Hot Springs County	56017	2
2012	WY	Hot Springs County	56017	2
2010	WY	Hot Springs County	56017	2
2006	WY	Hot Springs County	56017	2
2011	WY	Hot Springs County	56017	2
2009	WY	Niobrara County	56027	2
2007	WY	Niobrara County	56027	2
2008	WY	Niobrara County	56027	2
2006	WY	Niobrara County	56027	2
2013	WY	Weston County	56045	2
2010	WY	Niobrara County	56027	2
2014	WY	Weston County	56045	2
