FY	Fund	Source	State	County	Total
2014	American Indian Tribes	Onshore			1,146,119,618.68
2014	Historic Preservation Fund	Offshore			150,000,000.00
2014	Land & Water Conservation Fund	Offshore			894,379,939.88
2014	Land & Water Conservation Fund - GoMesa	Offshore			877,818.12
2014	Other	Offshore			217,156,127.83
2014	Other	Onshore			194,422,815.68
2014	Other - GoMesa	Offshore			3,362,351.09
2014	Reclamation	Onshore			1,766,192,706.99
2014	State	Offshore	AK		2,519,780.45
2014	State	Offshore	AL		4,936,514.43
2014	State	Offshore	AL	Baldwin County	118,220.48
2014	State	Offshore	AL	Mobile County	131,698.37
2014	State	Offshore	CA		6,985,664.23
2014	State	Offshore	FL		2,188.52
2014	State	Offshore	LA		20,586,591.09
2014	State	Offshore	LA	Assumption Parish	9,139.78
2014	State	Offshore	LA	Calcasieu Parish	12,802.07
2014	State	Offshore	LA	Cameron Parish	14,385.55
2014	State	Offshore	LA	Iberia Parish	12,286.24
2014	State	Offshore	LA	Jefferson Parish	24,152.12
2014	State	Offshore	LA	Lafourche Parish	14,197.32
2014	State	Offshore	LA	Livingston Parish	12,879.51
2014	State	Offshore	LA	Orleans Parish	21,369.55
2014	State	Offshore	LA	Plaquemines Parish	28,830.17
2014	State	Offshore	LA	St. Bernard Parish	16,171.64
2014	State	Offshore	LA	St. Charles Parish	11,252.28
2014	State	Offshore	LA	St. James Parish	9,392.78
2014	State	Offshore	LA	St. John The Baptist Parish	10,391.78
2014	State	Offshore	LA	St. Martin Parish	9,929.26
2014	State	Offshore	LA	St. Mary Parish	10,178.22
2014	State	Offshore	LA	St. Tammany Parish	17,898.31
2014	State	Offshore	LA	Tangipahoa Parish	12,924.07
2014	State	Offshore	LA	Terrebonne Parish	19,086.81
2014	State	Offshore	LA	Vermilion Parish	11,430.77
2014	State	Offshore	MA		23,835.06
2014	State	Offshore	MS		1,060,087.09
2014	State	Offshore	MS	Hancock County	41,496.66
2014	State	Offshore	MS	Harrison County	88,646.08
2014	State	Offshore	MS	Jackson County	99,230.87
2014	State	Offshore	TX		1,428,074.09
2014	State	Offshore	TX	Aransas County	3,863.71
2014	State	Offshore	TX	Brazoria County	6,199.97
2014	State	Offshore	TX	Calhoun County	5,071.24
2014	State	Offshore	TX	Cameron County	5,878.27
2014	State	Offshore	TX	Chambers County	3,450.97
2014	State	Offshore	TX	Galveston County	8,302.87
2014	State	Offshore	TX	Harris County	19,457.01
2014	State	Offshore	TX	Jackson County	2,670.01
2014	State	Offshore	TX	Jefferson County	6,641.24
2014	State	Offshore	TX	Kenedy County	5,455.23
2014	State	Offshore	TX	Kleberg County	3,946.64
2014	State	Offshore	TX	Matagorda County	7,096.33
2014	State	Offshore	TX	Nueces County	5,176.04
2014	State	Offshore	TX	Orange County	3,792.61
2014	State	Offshore	TX	Refugio County	2,527.66
2014	State	Offshore	TX	San Patricio County	2,663.18
2014	State	Offshore	TX	Victoria County	2,876.32
2014	State	Offshore	TX	Willacy County	3,311.91
2014	State	Onshore	AK		17,624,834.91
2014	State	Onshore	AL		1,821,119.50
2014	State	Onshore	AR		1,862,042.11
2014	State	Onshore	AZ		17,821.10
2014	State	Onshore	CA		90,827,274.46
