FY	State	Source	Fund	Total
2012	AK	Offshore	States	3100755.83
2012	AK	Onshore	States	13470141.43
2012	AL	Offshore	States	3795026.9
2012	AL	Onshore	States	4154511.68
2012	AR	Onshore	States	2067325.96
2012	AZ	Onshore	States	14171.44
2012	CA	Offshore	States	8545265.51
2012	CA	Onshore	States	103072839.3
2012	CO	Onshore	States	157819384.8
2012	FL	Offshore	States	1388.58
2012	FL	Onshore	States	540929.07
2012	ID	Onshore	States	4606160.28
2012	IL	Onshore	States	263731.5
2012	IN	Onshore	States	4416.74
2012	KS	Onshore	States	1330807.09
2012	KY	Onshore	States	485939.2
2012	LA	Offshore	States	19866139.91
2012	LA	Onshore	States	6914438.73
2012	MA	Offshore	States	23835.06
2012	MI	Onshore	States	330883.97
2012	MN	Onshore	States	11502.07
2012	MO	Onshore	States	3061605.9
2012	MS	Offshore	States	214120.06
2012	MS	Onshore	States	2598118.52
2012	MT	Onshore	States	47257456.15
2012	NC	Onshore	States	158
2012	ND	Onshore	States	64501003.82
2012	NE	Onshore	States	27550.02
2012	NM	Onshore	States	488155683.5
2012	NV	Onshore	States	11785382.78
2012	OH	Onshore	States	284145.25
2012	OK	Onshore	States	5372190.83
2012	OR	Onshore	States	416627.9
2012	PA	Onshore	States	67080.52
2012	SC	Onshore	States	1390.68
2012	SD	Onshore	States	1907122.32
2012	TX	Offshore	States	1425561.76
2012	TX	Onshore	States	7726719.25
2012	UT	Onshore	States	164602984.1
2012	VA	Onshore	States	45215.12
2012	WA	Onshore	States	13582.94
2012	WV	Onshore	States	235293.96
2012	WY	Onshore	States	995169510
2012	US	Offshore	Historic Preservation	150000000
2012	US	Offshore	Land & Water Conservation	897141112.8
2012	US	Offshore	Other	213426453
2012	US	Offshore	U.S. Treasury	5705538389
2012	US	Onshore	American Indian Tribes	717556925.1
2012	US	Onshore	Other	207275122
2012	US	Onshore	Reclamation	1646314405
2012	US	Onshore	U.S. Treasury	489110765.8
2013	AK	Offshore	States	2940961.63
2013	AK	Onshore	States	15695140.06
2013	AL	Offshore	States	3796631.47
2013	AL	Onshore	States	2260241.4
2013	AR	Onshore	States	1321553.01
2013	AZ	Onshore	States	35279.91
2013	CA	Offshore	States	8455415.31
2013	CA	Onshore	States	93817154.75
2013	CO	Onshore	States	129661229.7
2013	FL	Offshore	States	1388.58
2013	FL	Onshore	States	654638.77
2013	ID	Onshore	States	5033535.72
2013	IL	Onshore	States	211968.09
2013	IN	Onshore	States	3147.74
2013	KS	Onshore	States	1214098.87
2013	KY	Onshore	States	446887.49
2013	LA	Offshore	States	24634038.97
2013	LA	Onshore	States	2607490.43
2013	MA	Offshore	States	23835.06
2013	MI	Onshore	States	135489.01
2013	MN	Onshore	States	23305.3
2013	MO	Onshore	States	2974766.51
2013	MS	Offshore	States	198744.63
2013	MS	Onshore	States	1093009.06
2013	MT	Onshore	States	36168220.97
2013	NC	Onshore	States	37.49
2013	ND	Onshore	States	90290490.48
2013	NE	Onshore	States	26734.53
2013	NM	Onshore	States	478760957.9
2013	NV	Onshore	States	8818687.26
2013	OH	Onshore	States	266026.9
2013	OK	Onshore	States	4283474.02
2013	OR	Onshore	States	372930.98
2013	PA	Onshore	States	69968.21
2013	SD	Onshore	States	1036873.76
2013	TX	Offshore	States	904424.99
2013	TX	Onshore	States	15771654.85
2013	UT	Onshore	States	138285907.4
2013	VA	Onshore	States	42863.38
2013	WA	Onshore	States	6653.18
2013	WV	Onshore	States	163547.46
2013	WY	Offshore	States	0
2013	WY	Onshore	States	932475423.9
2013	US	Offshore	Historic Preservation	150000000
2013	US	Offshore	Land & Water Conservation	895580482.3
2013	US	Offshore	Other	215404308.4
2013	US	Offshore	States	-16013.96
2013	US	Offshore	U.S. Treasury	7781165718
2013	US	Onshore	American Indian Tribes	932956397.2
2013	US	Onshore	Other	181926508.4
2013	US	Onshore	Reclamation	1592181337
2013	US	Onshore	U.S. Treasury	470191887.5
2014	AK	Offshore	State	2519780.45
2014	AK	Onshore	State	17624834.91
2014	AL	Offshore	State	5186433.28
2014	AL	Onshore	State	1821119.5
2014	AR	Onshore	State	1862042.11
2014	AZ	Onshore	State	17821.1
2014	CA	Offshore	State	6985664.23
2014	CA	Onshore	State	93484451.79
2014	CO	Onshore	State	168757595.5
2014	FL	Offshore	State	2188.52
2014	FL	Onshore	State	36067.94
2014	ID	Onshore	State	5377122.08
2014	IL	Onshore	State	170753.84
2014	IN	Onshore	State	6482.09
2014	KS	Onshore	State	1354119.71
2014	KY	Onshore	State	88263.1
2014	LA	Offshore	State	20865289.32
2014	LA	Onshore	State	3417219.59
2014	MA	Offshore	State	23835.06
2014	MI	Onshore	State	343236.59
2014	MN	Onshore	State	17701.19
2014	MO	Onshore	State	2242480.93
2014	MS	Offshore	State	1289460.7
2014	MS	Onshore	State	1170853.22
2014	MT	Onshore	State	37718220.78
2014	NC	Onshore	State	109.97
2014	ND	Onshore	State	68413590.6
2014	NE	Onshore	State	38769.95
2014	NM	Onshore	State	579094211
2014	NV	Onshore	State	8344815.78
2014	OH	Onshore	State	265854.57
2014	OK	Onshore	State	5353242.11
2014	OR	Onshore	State	350704.99
2014	PA	Onshore	State	73003.13
2014	SC	Onshore	State	2076.64
2014	SD	Onshore	State	1333210.69
2014	TX	Offshore	State	1526455.3
2014	TX	Onshore	State	10730021.17
2014	UT	Onshore	State	170817554.5
2014	VA	Onshore	State	52625.59
2014	WA	Onshore	State	6863.48
2014	WV	Onshore	State	322061.69
2014	WY	Onshore	State	1007269375
2014	US	Offshore	Historic Preservation	150000000
2014	US	Offshore	Land & Water Conservation	894379939.9
2014	US	Offshore	Land & Water Conservation - GOMESA	877818.12
2014	US	Offshore	Other	203629703.9
2014	US	Offshore	U.S. Treasury	6317372423
2014	US	Offshore	U.S. Treasury - GOMESA	625237.05
2014	US	Onshore	American Indian Tribes	1146119619
2014	US	Onshore	Other	211311590.7
2014	US	Onshore	Reclamation	1766192707
2014	US	Onshore	U.S. Treasury	537351600.6
2015	AK	Offshore	State	1957767.13
2015	AK	Onshore	State	16200908.9
2015	AL	Offshore	State	4665702.79
2015	AL	Onshore	State	641237.32
2015	AR	Onshore	State	1375212.41
2015	AZ	Onshore	State	14769.24
2015	CA	Offshore	State	3616249.11
2015	CA	Onshore	State	60729386.79
2015	CO	Onshore	State	123861022.3
2015	FL	Onshore	State	36855.27
2015	ID	Onshore	State	6971143.57
2015	IL	Onshore	State	78438.77
2015	IN	Onshore	State	5403.01
2015	KS	Onshore	State	695040.78
2015	KY	Onshore	State	72699.52
2015	LA	Offshore	State	12742629.4
2015	LA	Onshore	State	1734869.3
2015	MA	Offshore	State	23835.06
2015	MI	Onshore	State	216504.06
2015	MN	Onshore	State	13854.36
2015	MO	Onshore	State	2589888.91
2015	MS	Offshore	State	760765.54
2015	MS	Onshore	State	754049.98
2015	MT	Onshore	State	33984475.53
2015	NC	Onshore	State	109.85
2015	ND	Onshore	State	47164776.69
2015	NE	Onshore	State	14539.04
2015	NM	Onshore	State	496043426.4
2015	NV	Onshore	State	5980484.11
2015	OH	Onshore	State	162664.19
2015	OK	Onshore	State	4850761.05
2015	OR	Onshore	State	187719.54
2015	PA	Onshore	State	35842.17
2015	RI	Offshore	State	170.1
2015	SC	Onshore	State	514.63
2015	SD	Onshore	State	1303351.3
2015	TX	Offshore	State	820320.99
2015	TX	Onshore	State	6211317.65
2015	UT	Onshore	State	116366543.3
2015	VA	Onshore	State	48958.82
2015	WA	Onshore	State	6310.53
2015	WV	Onshore	State	225605.85
2015	WY	Onshore	State	885980925.5
2015	US	Offshore	Historic Preservation	150000000
2015	US	Offshore	Land & Water Conservation	888459462.9
2015	US	Offshore	Land & Water Conservation - GOMESA	95097.14
2015	US	Offshore	Other	199340649.6
2015	US	Offshore	Other - GOMESA	1399279.23
2015	US	Offshore	U.S. Treasury	3962705386
2015	US	Offshore	U.S. Treasury - GOMESA	1232665.94
2015	US	Onshore	American Indian Tribes	852729350.9
2015	US	Onshore	Other	152520694.6
2015	US	Onshore	Reclamation	1398152075
2015	US	Onshore	U.S. Treasury	431434049.1
