Year	Fund	Shore	State	Total
2012	Historic Preservation	Offshore		150000000
2012	Land & Water Conservation	Offshore		897141112.8
2012	Other	Offshore		213426453
2012	States	Offshore	AK	3100755.83
2012	States	Offshore	AL	3795026.9
2012	States	Offshore	CA	8545265.51
2012	States	Offshore	FL	1388.58
2012	States	Offshore	LA	19866139.91
2012	States	Offshore	MA	23835.06
2012	States	Offshore	MS	214120.06
2012	States	Offshore	TX	1425561.76
2012	U.S. Treasury	Offshore		5705538389.36
2012	American Indian Tribes	Onshore		717556925.09
2012	Other	Onshore		207275122.04
2012	Reclamation	Onshore		1646314405.08
2012	States	Onshore	AK	13470141.43
2012	States	Onshore	AL	4154511.68
2012	States	Onshore	AR	2067325.96
2012	States	Onshore	AZ	14171.44
2012	States	Onshore	CA	103072839.29
2012	States	Onshore	CO	157819384.79
2012	States	Onshore	FL	540929.07
2012	States	Onshore	ID	4606160.28
2012	States	Onshore	IL	263731.5
2012	States	Onshore	IN	4416.74
2012	States	Onshore	KS	1330807.09
2012	States	Onshore	KY	485939.2
2012	States	Onshore	LA	6914438.73
2012	States	Onshore	MI	330883.97
2012	States	Onshore	MN	11502.07
2012	States	Onshore	MO	3061605.9
2012	States	Onshore	MS	2598118.52
2012	States	Onshore	MT	47257456.15
2012	States	Onshore	NC	158
2012	States	Onshore	ND	64501003.82
2012	States	Onshore	NE	27550.02
2012	States	Onshore	NM	488155683.54
2012	States	Onshore	NV	11785382.78
2012	States	Onshore	OH	284145.25
2012	States	Onshore	OK	5372190.83
2012	States	Onshore	OR	416627.9
2012	States	Onshore	PA	67080.52
2012	States	Onshore	SC	1390.68
2012	States	Onshore	SD	1907122.32
2012	States	Onshore	TX	7726719.25
2012	States	Onshore	UT	164602984.07
2012	States	Onshore	VA	45215.12
2012	States	Onshore	WA	13582.94
2012	States	Onshore	WV	235293.96
2012	States	Onshore	WY	995169510.01
2012	U.S. Treasury	Onshore		489110765.81
2013	Historic Preservation	Offshore		150000000
2013	Land & Water Conservation	Offshore		895580482.27
2013	Other	Offshore		215404308.41
2013	States	Offshore	AK	2940961.63
2013	States	Offshore	AL	3796631.47
2013	States	Offshore	CA	8455415.31
2013	States	Offshore	FL	1388.58
2013	States	Offshore	LA	24634038.97
2013	States	Offshore	MA	23835.06
2013	States	Offshore	MS	198744.63
2013	States	Offshore	TX	904424.99
2013	States	Offshore	WY	0
2013	States	Offshore		-16013.96
2013	U.S. Treasury	Offshore		7781165717.75
2013	American Indian Tribes	Onshore		932956397.19
2013	Other	Onshore		181926508.42
2013	Reclamation	Onshore		1592181337.45
2013	States	Onshore	AK	15695140.06
2013	States	Onshore	AL	2260241.4
2013	States	Onshore	AR	1321553.01
2013	States	Onshore	AZ	35279.91
2013	States	Onshore	CA	93817154.75
2013	States	Onshore	CO	129661229.71
2013	States	Onshore	FL	654638.77
2013	States	Onshore	ID	5033535.72
2013	States	Onshore	IL	211968.09
2013	States	Onshore	IN	3147.74
2013	States	Onshore	KS	1214098.87
2013	States	Onshore	KY	446887.49
2013	States	Onshore	LA	2607490.43
2013	States	Onshore	MI	135489.01
2013	States	Onshore	MN	23305.3
2013	States	Onshore	MO	2974766.51
2013	States	Onshore	MS	1093009.06
2013	States	Onshore	MT	36168220.97
2013	States	Onshore	NC	37.49
2013	States	Onshore	ND	90290490.48
2013	States	Onshore	NE	26734.53
2013	States	Onshore	NM	478760957.91
2013	States	Onshore	NV	8818687.26
2013	States	Onshore	OH	266026.9
2013	States	Onshore	OK	4283474.02
2013	States	Onshore	OR	372930.98
2013	States	Onshore	PA	69968.21
2013	States	Onshore	SD	1036873.76
2013	States	Onshore	TX	15771654.85
2013	States	Onshore	UT	138285907.41
2013	States	Onshore	VA	42863.38
2013	States	Onshore	WA	6653.18
2013	States	Onshore	WV	163547.46
2013	States	Onshore	WY	932475423.9
2013	U.S. Treasury	Onshore		470191887.48
