Calendar Year	Product	State/Offshore Region	FIPS Code	CPS/Planning Area	Production Volume	Onshore/Offshore	Category	
2007	Gas (mcf)	AK	02122	Kenai Peninsula Borough	36,868,361	Onshore	Federal	
2007	Oil (bbl)	AK	02122	Kenai Peninsula Borough	272,400	Onshore	Federal	
2007	Clay (tons)	AL	01007	Bibb County	W	Onshore	Federal	
2007	Coal (tons)	AL	01057	Fayette County	W	Onshore	Federal	
2007	Coal (tons)	AL	01073	Jefferson County	W	Onshore	Federal	
2007	Gas (mcf)	AL	01003	Baldwin County	66,305	Onshore	Federal	
2007	Gas (mcf)	AL	01053	Escambia County	2,158	Onshore	Federal	
2007	Gas (mcf)	AL	01057	Fayette County	4,737	Onshore	Federal	
2007	Gas (mcf)	AL	01075	Lamar County	1,659	Onshore	Federal	
2007	Gas (mcf)	AL	01097	Mobile County	21,627,470	Onshore	Federal	
2007	Gas (mcf)	AL	01125	Tuscaloosa County	691,411	Onshore	Federal	
2007	Oil (bbl)	AL	01003	Baldwin County	8	Onshore	Federal	
2007	Oil (bbl)	AL	01023	Choctaw County	9	Onshore	Federal	
2007	Oil (bbl)	AL	01039	Covington County	42,008	Onshore	Federal	
2007	Oil (bbl)	AL	01053	Escambia County	9,902	Onshore	Federal	
2007	Oil (bbl)	AL	01075	Lamar County	1,146	Onshore	Federal	
2007	Oil (bbl)	AL	01097	Mobile County	8	Onshore	Federal	
2007	Gas (mcf)	AR	05027	Columbia County	4,560	Onshore	Federal	
2007	Gas (mcf)	AR	05029	Conway County	158,719	Onshore	Federal	
2007	Gas (mcf)	AR	05033	Crawford County	123,171	Onshore	Federal	
2007	Gas (mcf)	AR	05045	Faulkner County	299,519	Onshore	Federal	
2007	Gas (mcf)	AR	05047	Franklin County	222,407	Onshore	Federal	
2007	Gas (mcf)	AR	05071	Johnson County	622,063	Onshore	Federal	
2007	Gas (mcf)	AR	05083	Logan County	1,308,565	Onshore	Federal	
2007	Gas (mcf)	AR	05115	Pope County	19,940	Onshore	Federal	
2007	Gas (mcf)	AR	05131	Sebastian County	4,415,726	Onshore	Federal	
2007	Gas (mcf)	AR	05135	Sharp County	30,485	Onshore	Federal	
2007	Gas (mcf)	AR	05141	Van Buren County	68,074	Onshore	Federal	
2007	Gas (mcf)	AR	05149	Yell County	2,600,866	Onshore	Federal	
2007	Oil (bbl)	AR	05027	Columbia County	21	Onshore	Federal	
2007	Quartz Crystal (tickets/pounds)	AR	05097	Montgomery County	2,400	Onshore	Federal	
2007	Wavellite (tons)	AR	05097	Montgomery County	W	Onshore	Federal	
2007	Salt (tons)	AZ	04013	Maricopa County	W	Onshore	Federal	
2007	Anhydrous Sodium Sulfate (tons)	CA	06071	San Bernardino County	W	Onshore	Federal	
2007	Borax-Decahydrate (tons)	CA	06071	San Bernardino County	W	Onshore	Federal	
2007	Borax-Pentahydrate (tons)	CA	06071	San Bernardino County	W	Onshore	Federal	
2007	Boric Acid (tons)	CA	06071	San Bernardino County	W	Onshore	Federal	
2007	Gas (mcf)	CA	06013	Contra Costa County	11,182	Onshore	Federal	
2007	Gas (mcf)	CA	06019	Fresno County	113,705	Onshore	Federal	
2007	Gas (mcf)	CA	06021	Glenn County	8,104	Onshore	Federal	
2007	Gas (mcf)	CA	06029	Kern County	3,196,593	Onshore	Federal	
2007	Gas (mcf)	CA	06031	Kings County	103,233	Onshore	Federal	
2007	Gas (mcf)	CA	06037	Los Angeles County	137,895	Onshore	Federal	
2007	Gas (mcf)	CA	06053	Monterey County	1,403	Onshore	Federal	
2007	Gas (mcf)	CA	06067	Sacramento County	2,126,758	Onshore	Federal	
2007	Gas (mcf)	CA	06077	San Joaquin County	3,949	Onshore	Federal	
2007	Gas (mcf)	CA	06079	San Luis Obispo County	1,773	Onshore	Federal	
2007	Gas (mcf)	CA	06083	Santa Barbara County	94,839	Onshore	Federal	
2007	Gas (mcf)	CA	06095	Solano County	8,966,183	Onshore	Federal	
2007	Gas (mcf)	CA	06111	Ventura County	781,836	Onshore	Federal	
2007	Geothermal - Direct Utilization, Millions of BTUs	CA	06035	Lassen County	217,500	Onshore	Federal	
2007	Geothermal - Electrical Generation, Kilowatt Hours	CA	06025	Imperial County	440,260,735	Onshore	Federal	
2007	Geothermal - Electrical Generation, Kilowatt Hours	CA	06027	Inyo County	465,167,156	Onshore	Federal	
2007	Geothermal - Electrical Generation, Kilowatt Hours	CA	06051	Mono County	187,398,918	Onshore	Federal	
2007	Geothermal - Electrical Generation, Other	CA	06025	Imperial County	207,155	Onshore	Federal	
2007	Geothermal - Electrical Generation, Thousands of Pounds	CA	06033	Lake County	21,799,180	Onshore	Federal	
2007	Geothermal - Electrical Generation, Thousands of Pounds	CA	06097	Sonoma County	28,576,260	Onshore	Federal	
2007	Oil (bbl)	CA	06013	Contra Costa County	14	Onshore	Federal	
2007	Oil (bbl)	CA	06019	Fresno County	21,832	Onshore	Federal	
2007	Oil (bbl)	CA	06029	Kern County	12,513,256	Onshore	Federal	
2007	Oil (bbl)	CA	06031	Kings County	38,055	Onshore	Federal	
2007	Oil (bbl)	CA	06037	Los Angeles County	424,917	Onshore	Federal	
2007	Oil (bbl)	CA	06053	Monterey County	3,068	Onshore	Federal	
2007	Oil (bbl)	CA	06067	Sacramento County	3,375	Onshore	Federal	
2007	Oil (bbl)	CA	06069	San Benito County	16	Onshore	Federal	
2007	Oil (bbl)	CA	06079	San Luis Obispo County	11,086	Onshore	Federal	
2007	Oil (bbl)	CA	06083	Santa Barbara County	94,862	Onshore	Federal	
2007	Oil (bbl)	CA	06095	Solano County	13,173	Onshore	Federal	
2007	Oil (bbl)	CA	06111	Ventura County	305,724	Onshore	Federal	
2007	Salt (tons)	CA	06071	San Bernardino County	W	Onshore	Federal	
2007	Soda Ash (tons)	CA	06071	San Bernardino County	W	Onshore	Federal	
2007	Sodium Bi-Carbonate (tons)	CA	06071	San Bernardino County	W	Onshore	Federal	
