Calendar Year	Product	State/Offshore Region	FIPS Code	CPS/Planning Area	 Production Volume 	Shore	Category
2006	Anhydrous Sodium Sulfate (tons)	CA	06071	San Bernardino County	 W 	Onshore	Federal
2006	Borate Products (tons)	Withheld	Withheld	Withheld	 33,106 	Onshore	Federal
2006	Borax-Decahydrate (tons)	CA	06071	San Bernardino County	 W 	Onshore	Federal
2006	Borax-Pentahydrate (tons)	CA	06071	San Bernardino County	 W 	Onshore	Federal
2006	Boric Acid (tons)	CA	06071	San Bernardino County	 W 	Onshore	Federal
2006	Brine Barrels (bbl)	NM	35015	Eddy County	 W 	Onshore	Federal
2006	Brine Barrels (bbl)	NM	35025	Lea County	 66,862 	Onshore	Federal
2006	Brine Products (tons)	Withheld	Withheld	Withheld	 84,052 	Onshore	Federal
2006	Clay (tons)	AL	01007	Bibb County	 W 	Onshore	Federal
2006	Clay (tons)	UT	49031	Piute County	 W 	Onshore	Federal
2006	Clay (tons)	Withheld	Withheld	Withheld	 84,876 	Onshore	Federal
2006	Coal (tons)	AL	01057	Fayette County	 W 	Onshore	Federal
2006	Coal (tons)	CO	08029	Delta County	 4,788,992 	Onshore	Federal
2006	Coal (tons)	CO	08045	Garfield County	 262,976 	Onshore	Federal
2006	Coal (tons)	CO	08051	Gunnison County	 7,960,625 	Onshore	Federal
2006	Coal (tons)	CO	08067	La Plata County	 W 	Onshore	Federal
2006	Coal (tons)	CO	08081	Moffat County	 7,799,334 	Onshore	Federal
2006	Coal (tons)	CO	08103	Rio Blanco County	 W 	Onshore	Federal
2006	Coal (tons)	CO	08107	Routt County	 W 	Onshore	Federal
2006	Coal (tons)	KY	21131	Leslie County	 W 	Onshore	Federal
2006	Coal (tons)	MT	30003	Big Horn County	 18,072,165 	Onshore	Federal
2006	Coal (tons)	MT	30083	Richland County	 W 	Onshore	Federal
2006	Coal (tons)	MT	30087	Rosebud County	 W 	Onshore	Federal
2006	Coal (tons)	MT	30103	Treasure County	 W 	Onshore	Federal
2006	Coal (tons)	ND	38057	Mercer County	 3,196,317 	Onshore	Federal
2006	Coal (tons)	ND	38065	Oliver County	 W 	Onshore	Federal
2006	Coal (tons)	NM	35031	McKinley County	 W 	Onshore	Federal
2006	Coal (tons)	NM	35045	San Juan County	 W 	Onshore	Federal
2006	Coal (tons)	OK	40079	Le Flore County	 725,099 	Onshore	Federal
2006	Coal (tons)	UT	49007	Carbon County	 8,195,203 	Onshore	Federal
2006	Coal (tons)	UT	49015	Emery County	 1,902,778 	Onshore	Federal
2006	Coal (tons)	UT	49041	Sevier County	 W 	Onshore	Federal
2006	Coal (tons)	Withheld	Withheld	Withheld	 22,435,709 	Onshore	Federal
2006	Coal (tons)	WY	56005	Campbell County	 351,373,163 	Onshore	Federal
2006	Coal (tons)	WY	56009	Converse County	 15,510,275 	Onshore	Federal
2006	Coal (tons)	WY	56023	Lincoln County	 W 	Onshore	Federal
2006	Coal (tons)	WY	56037	Sweetwater County	 2,972,629 	Onshore	Federal
2006	Copper Concentrate (tons)	MO	29055	Crawford County	 382 	Onshore	Federal
2006	Copper Concentrate (tons)	MO	29065	Dent County	 519 	Onshore	Federal
2006	Copper Concentrate (tons)	MO	29093	Iron County	 11,567 	Onshore	Federal
2006	Copper Concentrate (tons)	MO	29179	Reynolds County	 6,462 	Onshore	Federal
2006	Copper Concentrate (tons)	MO	29221	Washington County	 591 	Onshore	Federal
2006	Gas (mcf)	AK	02122	Kenai Peninsula Borough	 39,875,346 	Onshore	Federal
2006	Gas (mcf)	AL	01003	Baldwin County	 51,808 	Onshore	Federal
2006	Gas (mcf)	AL	01053	Escambia County	 2,309 	Onshore	Federal
2006	Gas (mcf)	AL	01057	Fayette County	 4,481 	Onshore	Federal
2006	Gas (mcf)	AL	01075	Lamar County	 2,458 	Onshore	Federal
2006	Gas (mcf)	AL	01097	Mobile County	 28,035,645 	Onshore	Federal
2006	Gas (mcf)	AL	01125	Tuscaloosa County	 649,123 	Onshore	Federal
2006	Gas (mcf)	AR	05027	Columbia County	 5,185 	Onshore	Federal
2006	Gas (mcf)	AR	05029	Conway County	 43,197 	Onshore	Federal
2006	Gas (mcf)	AR	05033	Crawford County	 120,165 	Onshore	Federal
2006	Gas (mcf)	AR	05047	Franklin County	 222,908 	Onshore	Federal
2006	Gas (mcf)	AR	05071	Johnson County	 672,671 	Onshore	Federal
2006	Gas (mcf)	AR	05083	Logan County	 554,252 	Onshore	Federal
2006	Gas (mcf)	AR	05115	Pope County	 21,148 	Onshore	Federal
2006	Gas (mcf)	AR	05131	Sebastian County	 4,628,930 	Onshore	Federal
2006	Gas (mcf)	AR	05135	Sharp County	 34,328 	Onshore	Federal
2006	Gas (mcf)	AR	05141	Van Buren County	 1,677 	Onshore	Federal
2006	Gas (mcf)	AR	05149	Yell County	 3,642,638 	Onshore	Federal
2006	Gas (mcf)	CA	06013	Contra Costa County	 11,198 	Onshore	Federal
2006	Gas (mcf)	CA	06019	Fresno County	 432,591 	Onshore	Federal
2006	Gas (mcf)	CA	06021	Glenn County	 8,929 	Onshore	Federal
2006	Gas (mcf)	CA	06029	Kern County	 3,140,317 	Onshore	Federal
2006	Gas (mcf)	CA	06031	Kings County	 161,245 	Onshore	Federal
2006	Gas (mcf)	CA	06037	Los Angeles County	 151,370 	Onshore	Federal
2006	Gas (mcf)	CA	06053	Monterey County	 1,219 	Onshore	Federal
2006	Gas (mcf)	CA	06067	Sacramento County	 2,317,562 	Onshore	Federal
2006	Gas (mcf)	CA	06069	San Benito County	 7 	Onshore	Federal
2006	Gas (mcf)	CA	06077	San Joaquin County	 4,164 	Onshore	Federal
2006	Gas (mcf)	CA	06079	San Luis Obipso County	 10,488 	Onshore	Federal
2006	Gas (mcf)	CA	06083	Santa Barbara County	 91,143 	Onshore	Federal
2006	Gas (mcf)	CA	06095	Solano County	 10,040,401 	Onshore	Federal
2006	Gas (mcf)	CA	06111	Ventura County	 776,501 	Onshore	Federal
2006	Gas (mcf)	CO	08005	Arapahoe County	 53 	Onshore	Federal
2006	Gas (mcf)	CO	08007	Archuleta County	 2,829,757 	Onshore	Federal
2006	Gas (mcf)	CO	08009	Baca County	 64,342 	Onshore	Federal
2006	Gas (mcf)	CO	08011	Bent County	 44,907 	Onshore	Federal
2006	Gas (mcf)	CO	08014	Broomfield County	 9 	Onshore	Federal
2006	Gas (mcf)	CO	08017	Cheyenne County	 192,555 	Onshore	Federal
2006	Gas (mcf)	CO	08029	Delta County	 65,223 	Onshore	Federal
2006	Gas (mcf)	CO	08033	Dolores County	 135,936,816 	Onshore	Federal
