Region	Year	Value	Share	Total
US	2006	273405000000	0.0198	13781347000000
US	2007	314018000000	0.0218	14391149000000
US	2008	401457000000	0.0274	14626598000000
US	2009	290349000000	0.0203	14320114000000
US	2010	331720000000	0.0223	14859772000000
US	2011	398632000000	0.0259	15406002000000
US	2012	410940000000	0.0256	16041240000000
US	2013	441048000000	0.0267	16548794000000
US	2014	453756000000	0.0263	17233139000000
US	2015	304888000000	0.0171	17830307000000
AL	2006	2908000000	0.0176	165131000000
AL	2007	3447000000	0.0202	170399000000
AL	2008	4012000000	0.0231	173521000000
AL	2009	3005000000	0.0177	169586000000
AL	2010	3453000000	0.0196	176221000000
AL	2011	3493000000	0.0192	181923000000
AL	2012	3390000000	0.0181	187283000000
AL	2013	3327000000	0.0174	191605000000
AL	2014	3261000000	0.0165	197535000000
AL	2015	3039000000	0.0149	204235000000
AK	2006	13802000000	0.3076	44867000000
AK	2007	16475000000	0.3343	49285000000
AK	2008	21270000000	0.3837	55436000000
AK	2009	15461000000	0.3061	50514000000
AK	2010	17389000000	0.3207	54220000000
AK	2011	20944000000	0.3531	59318000000
AK	2012	21736000000	0.3528	61614000000
AK	2013	19163000000	0.3200	59891000000
AK	2014	15939000000	0.2745	58067000000
AK	2015	9401000000	0.1780	52804000000
AZ	2006	4400000000	0.0177	248075000000
AZ	2007	4972000000	0.0190	262214000000
AZ	2008	5348000000	0.0207	258978000000
AZ	2009	5025000000	0.0207	243102000000
AZ	2010	6261000000	0.0253	247333000000
AZ	2011	7636000000	0.0299	255621000000
AZ	2012	7493000000	0.0282	266131000000
AZ	2013	7254000000	0.0268	271072000000
AZ	2014	7807000000	0.0277	281559000000
AZ	2015	6393000000	0.0220	290578000000
AR	2006	1099000000	0.0115	95727000000
AR	2007	1815000000	0.0183	99210000000
AR	2008	3020000000	0.0296	102100000000
AR	2009	2516000000	0.0251	100098000000
AR	2010	3117000000	0.0297	104929000000
AR	2011	3893000000	0.0356	109378000000
AR	2012	3412000000	0.0306	111541000000
AR	2013	3618000000	0.0310	116651000000
AR	2014	3679000000	0.0304	121065000000
AR	2015	2332000000	0.0189	123207000000
CA	2006	17631000000	0.0094	1868969000000
CA	2007	21369000000	0.0109	1951997000000
CA	2008	26803000000	0.0134	1993589000000
CA	2009	19128000000	0.0100	1913674000000
CA	2010	20227000000	0.0103	1960935000000
CA	2011	23370000000	0.0115	2031348000000
CA	2012	25014000000	0.0118	2121602000000
