Year	State	County	FIPS	Jobs	Total	Share
2004	AK		02000	9693	296292	0.0327
2004	AK	Anchorage Borough	02020	2051	140439	0.0146
2004	AK	Fairbanks North Star Borough	02090	948	35439	0.0268
2004	AK	Kenai Peninsula Borough	02122	1027	17732	0.0579
2004	AK	Matanuska-Susitna Borough	02170	48	15955	0.0030
2004	AK	North Slope Borough	02185	4746	8803	0.5391
2004	AK	Prince of Wales-Outer Ketchikan Census Area	02201	10	1944	0.0051
2005	AK		02000	10518	302330	0.0348
2005	AK	Anchorage Borough	02020	2068	143025	0.0145
2005	AK	Kenai Peninsula Borough	02122	1005	17730	0.0567
2005	AK	Matanuska-Susitna Borough	02170	45	17052	0.0026
2005	AK	North Slope Borough	02185	5190	9041	0.5741
2005	AK	Valdez-Cordova Census Area	02261	23	4566	0.0050
2006	AK		02000	12247	307637	0.0398
2006	AK	Anchorage Borough	02020	2241	144931	0.0155
2006	AK	Fairbanks North Star Borough	02090	1300	36644	0.0355
2006	AK	Juneau Borough	02110	388	17500	0.0222
2006	AK	Kenai Peninsula Borough	02122	1017	17923	0.0567
2006	AK	Matanuska-Susitna Borough	02170	38	17513	0.0022
2006	AK	North Slope Borough	02185	6295	10395	0.6056
2006	AK	Prince of Wales-Outer Ketchikan Census Area	02201	3	1795	0.0017
2006	AK	Valdez-Cordova Census Area	02261	25	4624	0.0054
2006	AK	Yukon-Koyukuk Census Area	02290	29	2077	0.0140
2007	AK		02000	13759	310810	0.0443
2007	AK	Anchorage Borough	02020	2545	145892	0.0174
2007	AK	Fairbanks North Star Borough	02090	1116	36809	0.0303
2007	AK	Juneau Borough	02110	424	17488	0.0242
2007	AK	Kenai Peninsula Borough	02122	995	18045	0.0551
2007	AK	Matanuska-Susitna Borough	02170	31	17758	0.0017
2007	AK	North Slope Borough	02185	7496	11894	0.6302
2007	AK	Valdez-Cordova Census Area	02261	31	4650	0.0067
2008	AK		02000	15166	315285	0.0481
2008	AK	Anchorage Borough	02020	2911	147933	0.0197
2008	AK	Fairbanks North Star Borough	02090	1058	36868	0.0287
2008	AK	Kenai Peninsula Borough	02122	1173	18249	0.0643
2008	AK	Matanuska-Susitna Borough	02170	46	18429	0.0025
2008	AK	North Slope Borough	02185	8314	13174	0.6311
2008	AK	Valdez-Cordova Census Area	02261	23	4664	0.0049
2008	AK	Yukon-Koyukuk Census Area	02290	20	2030	0.0099
2009	AK		02000	14941	313802	0.0476
2009	AK	Anchorage Borough	02020	2776	147171	0.0189
2009	AK	Fairbanks North Star Borough	02090	1068	36369	0.0294
2009	AK	Kenai Peninsula Borough	02122	1122	18248	0.0615
2009	AK	Matanuska-Susitna Borough	02170	46	19038	0.0024
2009	AK	North Slope Borough	02185	8429	13538	0.6226
2009	AK	Valdez-Cordova Census Area	02261	15	4723	0.0032
2009	AK	Yukon-Koyukuk Census Area	02290	15	2097	0.0072
2010	AK		02000	15155	316691	0.0479
2010	AK	Anchorage Borough	02020	2709	148252	0.0183
2010	AK	Fairbanks North Star Borough	02090	1118	37132	0.0301
2010	AK	Kenai Peninsula Borough	02122	1087	18704	0.0581
2010	AK	Ketchikan Gateway Borough	02130	15	7039	0.0021
2010	AK	Matanuska-Susitna Borough	02170	71	19551	0.0036
2010	AK	North Slope Borough	02185	8445	13661	0.6182
2010	AK	Valdez-Cordova Census Area	02261	20	4608	0.0043
2010	AK	Yukon-Koyukuk Census Area	02290	43	2181	0.0197
2011	AK		02000	15704	322084	0.0488
2011	AK	Anchorage Borough	02020	2897	150741	0.0192
2011	AK	Bethel Census Area	02050	29	6714	0.0043
2011	AK	Fairbanks North Star Borough	02090	1282	37485	0.0342
2011	AK	Kenai Peninsula Borough	02122	1067	19019	0.0561
2011	AK	Ketchikan Gateway Borough	02130	15	7149	0.0021
2011	AK	Matanuska-Susitna Borough	02170	84	19995	0.0042
2011	AK	North Slope Borough	02185	8384	13780	0.6084
2011	AK	Valdez-Cordova Census Area	02261	16	4646	0.0034
2012	AK		02000	16692	327378	0.0510
2012	AK	Anchorage Borough	02020	3261	153363	0.0213
2012	AK	Fairbanks North Star Borough	02090	1468	37813	0.0388
2012	AK	Kenai Peninsula Borough	02122	1132	19602	0.0577
2012	AK	Ketchikan Gateway Borough	02130	3	7238	0.0004
2012	AK	Matanuska-Susitna Borough	02170	74	20524	0.0036
2012	AK	North Slope Borough	02185	8432	14059	0.5998
2012	AK	Valdez-Cordova Census Area	02261	22	4683	0.0047
2013	AK		02000	17080	328716	0.0520
2013	AK	Anchorage Borough	02020	3336	153467	0.0217
2013	AK	Fairbanks North Star Borough	02090	1441	37320	0.0386
2013	AK	Kenai Peninsula Borough	02122	1493	20288	0.0736
2013	AK	Ketchikan Gateway Borough	02130	4	7322	0.0005
2013	AK	Matanuska-Susitna Borough	02170	73	21102	0.0035
2013	AK	North Slope Borough	02185	8406	14199	0.5920
2013	AK	Valdez-Cordova Census Area	02261	24	4741	0.0051
2013	AK	Yukon-Koyukuk Census Area	02290	77	2336	0.0330
