Year	State	County	FIPS	Jobs	Total	Share
2004	AZ		04000	8224	2354660	0.0035
2004	AZ	Cochise County	04003	27	34076	0.0008
2004	AZ	Coconino County	04005	172	54119	0.0032
2004	AZ	Maricopa County	04013	1127	1614579	0.0007
2004	AZ	Mohave County	04015	114	48076	0.0024
2004	AZ	Navajo County	04017	755	26356	0.0286
2004	AZ	Pima County	04019	1300	343339	0.0038
2004	AZ	Pinal County	04021	907	39694	0.0228
2004	AZ	Yavapai County	04025	1086	54861	0.0198
2004	AZ	Yuma County	04027	22	61447	0.0004
2005	AZ		04000	548	2489462	0.0002
2005	AZ		04000	8477	2489462	0.0034
2005	AZ	Cochise County	04003	40	36799	0.0011
2005	AZ	Coconino County	04005	123	56544	0.0022
2005	AZ	Gila County	04007	467	13849	0.0337
2005	AZ	Maricopa County	04013	1366	1714662	0.0008
2005	AZ	Mohave County	04015	99	52336	0.0019
2005	AZ	Navajo County	04017	763	27639	0.0276
2005	AZ	Pima County	04019	1340	353335	0.0038
2005	AZ	Pinal County	04021	766	46004	0.0167
2005	AZ	Yavapai County	04025	1128	59083	0.0191
2005	AZ	Yuma County	04027	22	64777	0.0003
2006	AZ		04000	437	2614344	0.0002
2006	AZ		04000	9716	2614344	0.0037
2006	AZ	Cochise County	04003	39	38009	0.0010
2006	AZ	Coconino County	04005	124	58134	0.0021
2006	AZ	Gila County	04007	665	14385	0.0462
2006	AZ	Maricopa County	04013	1618	1803147	0.0009
2006	AZ	Mohave County	04015	119	54758	0.0022
2006	AZ	Navajo County	04017	563	28339	0.0199
2006	AZ	Pima County	04019	1557	367667	0.0042
2006	AZ	Pinal County	04021	974	48523	0.0201
2006	AZ	Yavapai County	04025	1238	63334	0.0195
2007	AZ		04000	11449	2647691	0.0043
2007	AZ	Cochise County	04003	59	38213	0.0015
2007	AZ	Coconino County	04005	91	59539	0.0015
2007	AZ	Gila County	04007	751	14681	0.0512
2007	AZ	Maricopa County	04013	1987	1822037	0.0011
2007	AZ	Mohave County	04015	153	53104	0.0029
2007	AZ	Navajo County	04017	557	28742	0.0194
2007	AZ	Pima County	04019	1802	373728	0.0048
2007	AZ	Pinal County	04021	1245	53283	0.0234
2007	AZ	Yavapai County	04025	1254	63910	0.0196
2008	AZ		04000	13475	2583215	0.0052
2008	AZ	Cochise County	04003	96	38206	0.0025
2008	AZ	Coconino County	04005	63	58927	0.0011
2008	AZ	Gila County	04007	959	14762	0.0650
2008	AZ	Maricopa County	04013	2403	1769308	0.0014
2008	AZ	Mohave County	04015	250	50027	0.0050
2008	AZ	Navajo County	04017	582	27861	0.0209
2008	AZ	Pima County	04019	1936	369485	0.0052
2008	AZ	Pinal County	04021	1507	54947	0.0274
2008	AZ	Yavapai County	04025	1246	60850	0.0205
2008	AZ	Yuma County	04027	13	65819	0.0002
2009	AZ		04000	344	2396362	0.0001
2009	AZ		04000	11008	2396362	0.0046
2009	AZ	Cochise County	04003	106	37850	0.0028
2009	AZ	Coconino County	04005	30	56325	0.0005
2009	AZ	Gila County	04007	934	13992	0.0668
2009	AZ	Maricopa County	04013	1729	1628604	0.0011
2009	AZ	Mohave County	04015	279	45934	0.0061
2009	AZ	Navajo County	04017	550	26385	0.0208
2009	AZ	Pima County	04019	1744	350227	0.0050
2009	AZ	Pinal County	04021	1280	52104	0.0246
2009	AZ	Yavapai County	04025	1495	55821	0.0268
2009	AZ	Yuma County	04027	15	61315	0.0002
2010	AZ		04000	262	2356789	0.0001
2010	AZ		04000	10288	2356789	0.0044
2010	AZ	Apache County	04001	29	19258	0.0015
2010	AZ	Cochise County	04003	117	37401	0.0031
2010	AZ	Coconino County	04005	47	55937	0.0008
2010	AZ	Gila County	04007	979	13975	0.0701
2010	AZ	Maricopa County	04013	1750	1602744	0.0011
2010	AZ	Mohave County	04015	404	44996	0.0090
2010	AZ	Navajo County	04017	526	25899	0.0203
