Year	State	County	FIPS	Jobs	Total	Share
2004	FL		12000	5307	7463255	0.0007
2004	FL	Broward County	12011	78	692531	0.0001
2004	FL	Charlotte County	12015	59	38370	0.0015
2004	FL	Citrus County	12017	59	29743	0.0020
2004	FL	Clay County	12019	137	38583	0.0036
2004	FL	Collier County	12021	59	121224	0.0005
2004	FL	Duval County	12031	54	436184	0.0001
2004	FL	Escambia County	12033	68	124487	0.0005
2004	FL	Gadsden County	12039	168	14874	0.0113
2004	FL	Hernando County	12053	416	35380	0.0118
2004	FL	Hillsborough County	12057	66	609518	0.0001
2004	FL	Jackson County	12063	33	14492	0.0023
2004	FL	Lake County	12069	317	76796	0.0041
2004	FL	Lee County	12071	226	197234	0.0011
2004	FL	Levy County	12075	51	8393	0.0061
2004	FL	Manatee County	12081	14	119495	0.0001
2004	FL	Marion County	12083	160	91190	0.0018
2004	FL	Miami-Dade County	12086	437	980711	0.0004
2004	FL	Orange County	12095	68	626579	0.0001
2004	FL	Pasco County	12101	58	84410	0.0007
2004	FL	Pinellas County	12103	21	435232	0.0000
2004	FL	St. Lucie County	12111	31	62739	0.0005
2004	FL	Santa Rosa County	12113	106	29313	0.0036
2004	FL	Sarasota County	12115	61	154555	0.0004
2004	FL	Seminole County	12117	12	153371	0.0001
2004	FL	Suwannee County	12121	22	9464	0.0023
2005	FL		12000	5369	7747729	0.0007
2005	FL	Brevard County	12009	61	203620	0.0003
2005	FL	Broward County	12011	72	731941	0.0001
2005	FL	Citrus County	12017	48	31573	0.0015
2005	FL	Collier County	12021	55	128998	0.0004
2005	FL	Duval County	12031	26	449828	0.0001
2005	FL	Escambia County	12033	71	125407	0.0006
2005	FL	Flagler County	12035	33	18753	0.0018
2005	FL	Gadsden County	12039	168	15230	0.0110
2005	FL	Hernando County	12053	448	38744	0.0116
2005	FL	Hillsborough County	12057	95	625444	0.0002
2005	FL	Lake County	12069	204	80060	0.0025
2005	FL	Lee County	12071	225	213535	0.0011
2005	FL	Marion County	12083	210	98210	0.0021
2005	FL	Miami-Dade County	12086	577	998241	0.0006
2005	FL	Okaloosa County	12091	15	82269	0.0002
2005	FL	Orange County	12095	130	659941	0.0002
2005	FL	Pasco County	12101	56	92298	0.0006
2005	FL	Putnam County	12107	78	18770	0.0042
2005	FL	St. Lucie County	12111	51	66620	0.0008
2005	FL	Santa Rosa County	12113	97	31932	0.0030
2005	FL	Sarasota County	12115	65	158001	0.0004
2005	FL	Seminole County	12117	3	167771	0.0000
2005	FL	Suwannee County	12121	22	9726	0.0023
2006	FL		12000	4526	7952023	0.0006
2006	FL	Bay County	12005	21	73066	0.0003
2006	FL	Brevard County	12009	80	207810	0.0004
2006	FL	Broward County	12011	119	747163	0.0002
2006	FL	Citrus County	12017	55	33894	0.0016
2006	FL	Collier County	12021	51	134962	0.0004
2006	FL	Duval County	12031	23	461667	0.0000
2006	FL	Escambia County	12033	86	129643	0.0007
2006	FL	Flagler County	12035	29	18786	0.0015
2006	FL	Gadsden County	12039	159	14949	0.0106
2006	FL	Hernando County	12053	139	40008	0.0035
2006	FL	Hillsborough County	12057	493	639555	0.0008
2006	FL	Lake County	12069	188	83872	0.0022
2006	FL	Lee County	12071	175	224261	0.0008
2006	FL	Levy County	12075	42	9039	0.0046
2006	FL	Marion County	12083	167	103257	0.0016
2006	FL	Miami-Dade County	12086	350	1007587	0.0003
2006	FL	Orange County	12095	53	679095	0.0001
2006	FL	Pasco County	12101	57	99459	0.0006
2006	FL	Pinellas County	12103	9	444848	0.0000
2006	FL	Polk County	12105	807	207911	0.0039
2006	FL	St. Lucie County	12111	56	70280	0.0008
2006	FL	Santa Rosa County	12113	88	32622	0.0027
2006	FL	Sarasota County	12115	89	159101	0.0006
2006	FL	Seminole County	12117	8	177610	0.0000
2006	FL	Suwannee County	12121	26	9990	0.0026
2006	FL	Volusia County	12127	18	167170	0.0001
2007	FL		12000	4711	7945162	0.0006
2007	FL	Bay County	12005	20	73134	0.0003
2007	FL	Brevard County	12009	96	203607	0.0005
2007	FL	Broward County	12011	126	751629	0.0002
2007	FL	Charlotte County	12015	89	42416	0.0021
2007	FL	Citrus County	12017	72	34025	0.0021
2007	FL	Collier County	12021	43	131937	0.0003
2007	FL	Duval County	12031	89	465731	0.0002
2007	FL	Escambia County	12033	73	130245	0.0006
2007	FL	Hernando County	12053	132	39113	0.0034
2007	FL	Hillsborough County	12057	382	646102	0.0006
2007	FL	Lake County	12069	189	82827	0.0023
2007	FL	Lee County	12071	140	221916	0.0006
2007	FL	Levy County	12075	42	9122	0.0046
2007	FL	Marion County	12083	155	103410	0.0015
2007	FL	Miami-Dade County	12086	552	1014998	0.0005
2007	FL	Okaloosa County	12091	9	81702	0.0001
2007	FL	Okeechobee County	12093	36	10809	0.0033
2007	FL	Orange County	12095	65	691914	0.0001
2007	FL	Pasco County	12101	65	99478	0.0007
2007	FL	Pinellas County	12103	5	436985	0.0000
2007	FL	Polk County	12105	826	205860	0.0040
2007	FL	St. Lucie County	12111	55	71225	0.0008
2007	FL	Santa Rosa County	12113	85	32281	0.0026
2007	FL	Sarasota County	12115	97	155159	0.0006
2007	FL	Seminole County	12117	5	177756	0.0000
2007	FL	Sumter County	12119	47	20245	0.0023
2007	FL	Suwannee County	12121	31	10614	0.0029
2007	FL	Taylor County	12123	67	7110	0.0094
2007	FL	Volusia County	12127	18	166260	0.0001
2008	FL		12000	4461	7666374	0.0006
2008	FL	Bay County	12005	20	72471	0.0003
2008	FL	Brevard County	12009	61	199902	0.0003
2008	FL	Broward County	12011	139	736490	0.0002
2008	FL	Charlotte County	12015	54	41752	0.0013
2008	FL	Citrus County	12017	59	33448	0.0018
2008	FL	Collier County	12021	13	124562	0.0001
2008	FL	Duval County	12031	88	461131	0.0002
2008	FL	Escambia County	12033	71	126069	0.0006
2008	FL	Hernando County	12053	116	37503	0.0031
2008	FL	Hillsborough County	12057	386	612852	0.0006
2008	FL	Jackson County	12063	70	14907	0.0047
2008	FL	Lake County	12069	127	84342	0.0015
2008	FL	Lee County	12071	153	208544	0.0007
2008	FL	Manatee County	12081	34	112949	0.0003
2008	FL	Marion County	12083	145	101297	0.0014
2008	FL	Miami-Dade County	12086	468	1006416	0.0005
2008	FL	Okaloosa County	12091	20	78807	0.0003
2008	FL	Orange County	12095	78	688773	0.0001
2008	FL	Pasco County	12101	96	100366	0.0010
2008	FL	Pinellas County	12103	18	420103	0.0000
2008	FL	Polk County	12105	954	201830	0.0047
2008	FL	St. Johns County	12109	10	56672	0.0002
2008	FL	St. Lucie County	12111	43	69934	0.0006
2008	FL	Santa Rosa County	12113	84	31633	0.0027
2008	FL	Sarasota County	12115	65	147975	0.0004
2008	FL	Seminole County	12117	25	173418	0.0001
2008	FL	Suwannee County	12121	29	9795	0.0030
2008	FL	Taylor County	12123	56	7122	0.0079
2008	FL	Volusia County	12127	16	161675	0.0001
2009	FL		12000	3720	7182815	0.0005
2009	FL	Bay County	12005	17	69823	0.0002
2009	FL	Brevard County	12009	22	189957	0.0001
2009	FL	Broward County	12011	95	686146	0.0001
2009	FL	Charlotte County	12015	39	39612	0.0010
2009	FL	Citrus County	12017	58	32092	0.0018
2009	FL	Clay County	12019	34	43426	0.0008
2009	FL	Collier County	12021	22	113137	0.0002
2009	FL	Duval County	12031	74	436884	0.0002
2009	FL	Escambia County	12033	69	118968	0.0006
2009	FL	Gadsden County	12039	160	13662	0.0117
2009	FL	Hillsborough County	12057	341	572175	0.0006
2009	FL	Holmes County	12059	3	3426	0.0009
2009	FL	Jackson County	12063	53	14432	0.0037
2009	FL	Lake County	12069	67	79946	0.0008
2009	FL	Lee County	12071	101	194073	0.0005
2009	FL	Marion County	12083	110	91809	0.0012
2009	FL	Miami-Dade County	12086	305	950977	0.0003
2009	FL	Okaloosa County	12091	12	76683	0.0002
2009	FL	Okeechobee County	12093	22	10360	0.0021
2009	FL	Orange County	12095	60	648338	0.0001
2009	FL	Pasco County	12101	82	95424	0.0009
2009	FL	Pinellas County	12103	14	391203	0.0000
2009	FL	Polk County	12105	1002	192087	0.0052
2009	FL	Putnam County	12107	22	17596	0.0013
2009	FL	St. Lucie County	12111	33	64604	0.0005
2009	FL	Santa Rosa County	12113	64	31074	0.0021
2009	FL	Sarasota County	12115	52	134583	0.0004
2009	FL	Seminole County	12117	28	158760	0.0002
2009	FL	Sumter County	12119	45	18263	0.0025
2009	FL	Suwannee County	12121	29	9911	0.0029
2009	FL	Taylor County	12123	51	6751	0.0076
2009	FL	Volusia County	12127	14	151397	0.0001
2010	FL		12000	3632	7109630	0.0005
2010	FL	Bay County	12005	15	69201	0.0002
2010	FL	Brevard County	12009	17	188093	0.0001
2010	FL	Broward County	12011	96	677659	0.0001
2010	FL	Citrus County	12017	80	32262	0.0025
2010	FL	Clay County	12019	11	42921	0.0003
2010	FL	Collier County	12021	10	111721	0.0001
2010	FL	Duval County	12031	86	431969	0.0002
