Year	State	County	FIPS	Jobs	Total	Share
2004	IA		19000	2037	1422454	0.0014
2004	IA	Linn County	19113	112	115981	0.0010
2004	IA	Muscatine County	19139	58	22321	0.0026
2004	IA	Polk County	19153	164	260465	0.0006
2004	IA	Scott County	19163	16	85751	0.0002
2004	IA	Sioux County	19167	44	17214	0.0026
2004	IA	Winneshiek County	19191	125	10457	0.0120
2005	IA		19000	2088	1446568	0.0014
2005	IA	Black Hawk County	19013	65	70901	0.0009
2005	IA	Fayette County	19065	12	7498	0.0016
2005	IA	Linn County	19113	111	117926	0.0009
2005	IA	Muscatine County	19139	58	23068	0.0025
2005	IA	Polk County	19153	160	263517	0.0006
2005	IA	Scott County	19163	15	88466	0.0002
2005	IA	Sioux County	19167	42	17926	0.0023
2005	IA	Winneshiek County	19191	133	10447	0.0127
2006	IA		19000	2139	1470742	0.0015
2006	IA	Black Hawk County	19013	57	71221	0.0008
2006	IA	Dallas County	19049	19	25808	0.0007
2006	IA	Fayette County	19065	17	7395	0.0023
2006	IA	Linn County	19113	110	120379	0.0009
2006	IA	Muscatine County	19139	57	23917	0.0024
2006	IA	Sioux County	19167	46	18389	0.0025
2006	IA	Winneshiek County	19191	131	10554	0.0124
2007	IA		19000	2112	1485627	0.0014
2007	IA	Black Hawk County	19013	67	72379	0.0009
2007	IA	Cerro Gordo County	19033	23	25848	0.0009
2007	IA	Fayette County	19065	10	7355	0.0014
2007	IA	Hardin County	19083	136	7488	0.0182
2007	IA	Linn County	19113	114	123399	0.0009
2007	IA	Muscatine County	19139	59	23994	0.0025
2007	IA	Scott County	19163	14	88747	0.0002
2007	IA	Sioux County	19167	47	18564	0.0025
2007	IA	Winneshiek County	19191	134	10481	0.0128
2008	IA		19000	2131	1490575	0.0014
2008	IA	Black Hawk County	19013	59	72923	0.0008
2008	IA	Cerro Gordo County	19033	25	25670	0.0010
2008	IA	Fayette County	19065	9	7220	0.0012
2008	IA	Hardin County	19083	152	7659	0.0198
2008	IA	Linn County	19113	114	125840	0.0009
2008	IA	Muscatine County	19139	58	23356	0.0025
2008	IA	Scott County	19163	14	89335	0.0002
2008	IA	Sioux County	19167	46	18925	0.0024
2008	IA	Winneshiek County	19191	144	10397	0.0139
2009	IA		19000	2178	1445627	0.0015
2009	IA	Black Hawk County	19013	59	71521	0.0008
2009	IA	Hardin County	19083	153	7517	0.0204
2009	IA	Lee County	19111	8	15576	0.0005
2009	IA	Linn County	19113	107	123806	0.0009
2009	IA	Muscatine County	19139	56	21400	0.0026
2009	IA	Scott County	19163	14	85039	0.0002
2009	IA	Sioux County	19167	42	18498	0.0023
2010	IA		19000	2133	1436340	0.0015
2010	IA	Black Hawk County	19013	56	71628	0.0008
2010	IA	Des Moines County	19057	50	20601	0.0024
2010	IA	Hardin County	19083	147	7222	0.0204
2010	IA	Lee County	19111	4	15530	0.0003
2010	IA	Linn County	19113	95	124148	0.0008
2010	IA	Madison County	19121	47	3669	0.0128
2010	IA	Muscatine County	19139	53	21275	0.0025
2010	IA	Scott County	19163	15	85009	0.0002
2010	IA	Sioux County	19167	40	18685	0.0021
2011	IA		19000	2174	1452769	0.0015
2011	IA	Allamakee County	19005	10	5054	0.0020
2011	IA	Linn County	19113	85	125010	0.0007
2011	IA	Madison County	19121	55	3628	0.0152
2011	IA	Muscatine County	19139	47	21471	0.0022
2011	IA	Scott County	19163	15	86767	0.0002
2011	IA	Sioux County	19167	42	18947	0.0022
2011	IA	Webster County	19187	50	17635	0.0028
2012	IA		19000	2195	1475884	0.0015
2012	IA	Linn County	19113	86	126360	0.0007
2012	IA	Madison County	19121	66	3663	0.0180
2012	IA	Muscatine County	19139	47	21832	0.0022
2012	IA	Pottawattamie County	19155	50	37397	0.0013
2012	IA	Scott County	19163	16	88155	0.0002
2012	IA	Sioux County	19167	45	19346	0.0023
2012	IA	Wapello County	19179	9	15714	0.0006
2012	IA	Washington County	19183	19	8225	0.0023
2012	IA	Webster County	19187	57	17549	0.0032
2012	IA	Worth County	19195	25	2369	0.0106
2013	IA		19000	2228	1496426	0.0015
2013	IA	Allamakee County	19005	12	5200	0.0023
2013	IA	Lee County	19111	8	15719	0.0005
2013	IA	Linn County	19113	87	126610	0.0007
2013	IA	Madison County	19121	50	3553	0.0141
2013	IA	Muscatine County	19139	45	22386	0.0020
2013	IA	Pottawattamie County	19155	61	37786	0.0016
2013	IA	Scott County	19163	17	88846	0.0002
2013	IA	Sioux County	19167	44	19576	0.0022
2013	IA	Webster County	19187	57	18252	0.0031
2013	IA	Worth County	19195	24	2334	0.0103
