Year	State	County	FIPS	Jobs	Total	Share
2004	ID		16000	1937	591355	0.0033
2004	ID	Ada County	16001	124	188189	0.0007
2004	ID	Blaine County	16013	37	12872	0.0029
2004	ID	Bonner County	16017	90	13019	0.0069
2004	ID	Bonneville County	16019	19	44066	0.0004
2004	ID	Canyon County	16027	50	48240	0.0010
2004	ID	Caribou County	16029	358	2997	0.1195
2004	ID	Cassia County	16031	151	8610	0.0175
2004	ID	Idaho County	16049	85	4390	0.0194
2004	ID	Kootenai County	16055	89	48480	0.0018
2004	ID	Shoshone County	16079	335	4193	0.0799
2004	ID	Twin Falls County	16083	27	31386	0.0009
2005	ID		16000	2164	614548	0.0035
2005	ID	Ada County	16001	141	197209	0.0007
2005	ID	Blaine County	16013	33	13461	0.0025
2005	ID	Bonner County	16017	102	13860	0.0074
2005	ID	Canyon County	16027	55	51242	0.0011
2005	ID	Caribou County	16029	344	3031	0.1135
2005	ID	Cassia County	16031	196	8800	0.0223
2005	ID	Idaho County	16049	81	4435	0.0183
2005	ID	Kootenai County	16055	133	51781	0.0026
2005	ID	Nez Perce County	16069	93	20672	0.0045
2005	ID	Shoshone County	16079	393	4371	0.0899
2005	ID	Twin Falls County	16083	30	32634	0.0009
2005	ID	Valley County	16085	11	4364	0.0025
2006	ID		16000	2374	643671	0.0037
2006	ID	Ada County	16001	143	208091	0.0007
2006	ID	Bannock County	16005	25	34463	0.0007
2006	ID	Blaine County	16013	39	13889	0.0028
2006	ID	Bonner County	16017	131	14349	0.0091
2006	ID	Canyon County	16027	69	55121	0.0013
2006	ID	Caribou County	16029	347	3167	0.1096
2006	ID	Cassia County	16031	176	9208	0.0191
2006	ID	Idaho County	16049	79	4483	0.0176
2006	ID	Kootenai County	16055	149	54553	0.0027
2006	ID	Nez Perce County	16069	105	20774	0.0051
2006	ID	Shoshone County	16079	412	4462	0.0923
2006	ID	Twin Falls County	16083	31	33733	0.0009
2006	ID	Valley County	16085	28	4745	0.0059
2007	ID		16000	2653	660683	0.0040
2007	ID	Ada County	16001	109	212220	0.0005
2007	ID	Bannock County	16005	26	35160	0.0007
2007	ID	Benewah County	16009	65	3640	0.0179
2007	ID	Blaine County	16013	35	13924	0.0025
2007	ID	Boise County	16015	16	1706	0.0094
2007	ID	Bonner County	16017	154	14717	0.0105
2007	ID	Canyon County	16027	68	57120	0.0012
2007	ID	Caribou County	16029	358	3216	0.1113
2007	ID	Cassia County	16031	144	9547	0.0151
2007	ID	Idaho County	16049	85	4580	0.0186
2007	ID	Kootenai County	16055	144	56436	0.0026
2007	ID	Shoshone County	16079	569	4769	0.1193
2007	ID	Twin Falls County	16083	44	34480	0.0013
2007	ID	Valley County	16085	27	4760	0.0057
2008	ID		16000	2762	653108	0.0042
2008	ID	Ada County	16001	112	209207	0.0005
2008	ID	Blaine County	16013	31	13925	0.0022
2008	ID	Bonner County	16017	139	14120	0.0098
2008	ID	Canyon County	16027	57	54916	0.0010
2008	ID	Caribou County	16029	348	3303	0.1054
2008	ID	Cassia County	16031	138	9757	0.0141
2008	ID	Idaho County	16049	84	4524	0.0186
2008	ID	Kootenai County	16055	158	56194	0.0028
2008	ID	Shoshone County	16079	711	4941	0.1439
2008	ID	Twin Falls County	16083	62	34730	0.0018
2008	ID	Valley County	16085	13	4340	0.0030
2009	ID		16000	2171	613814	0.0035
2009	ID	Ada County	16001	77	194177	0.0004
2009	ID	Blaine County	16013	28	12350	0.0023
2009	ID	Bonner County	16017	151	13355	0.0113
2009	ID	Bonneville County	16019	38	43334	0.0009
2009	ID	Canyon County	16027	35	51145	0.0007
2009	ID	Caribou County	16029	317	3207	0.0988
2009	ID	Cassia County	16031	99	9691	0.0102
2009	ID	Franklin County	16041	44	3065	0.0144
2009	ID	Idaho County	16049	67	4237	0.0158
2009	ID	Kootenai County	16055	102	52238	0.0020
2009	ID	Shoshone County	16079	506	4577	0.1106
2009	ID	Twin Falls County	16083	34	33134	0.0010
2009	ID	Valley County	16085	11	3789	0.0029
2010	ID		16000	2290	605571	0.0038
2010	ID	Ada County	16001	86	192165	0.0004
2010	ID	Blaine County	16013	21	11698	0.0018
2010	ID	Bonner County	16017	148	12888	0.0115
2010	ID	Canyon County	16027	22	51023	0.0004
2010	ID	Caribou County	16029	333	3031	0.1099
2010	ID	Cassia County	16031	92	9806	0.0094
2010	ID	Franklin County	16041	45	3023	0.0149
2010	ID	Idaho County	16049	74	4250	0.0174
2010	ID	Kootenai County	16055	92	51513	0.0018
2010	ID	Nez Perce County	16069	75	20002	0.0037
2010	ID	Shoshone County	16079	539	4428	0.1217
2010	ID	Twin Falls County	16083	24	32547	0.0007
2010	ID	Valley County	16085	18	3614	0.0050
2011	ID		16000	2575	607504	0.0042
2011	ID	Ada County	16001	84	194701	0.0004
2011	ID	Blaine County	16013	26	11686	0.0022
2011	ID	Bonner County	16017	182	12552	0.0145
2011	ID	Canyon County	16027	22	50860	0.0004
2011	ID	Caribou County	16029	361	3094	0.1167
2011	ID	Cassia County	16031	92	9898	0.0093
2011	ID	Idaho County	16049	78	4191	0.0186
2011	ID	Kootenai County	16055	97	51592	0.0019
2011	ID	Nez Perce County	16069	77	19995	0.0039
2011	ID	Owyhee County	16073	34	2870	0.0118
2011	ID	Shoshone County	16079	657	4502	0.1459
2011	ID	Twin Falls County	16083	19	33140	0.0006
2011	ID	Valley County	16085	17	3681	0.0046
2012	ID		16000	2677	614463	0.0044
2012	ID	Ada County	16001	87	198957	0.0004
2012	ID	Blaine County	16013	21	11658	0.0018
2012	ID	Bonner County	16017	163	12494	0.0130
2012	ID	Canyon County	16027	21	52257	0.0004
2012	ID	Cassia County	16031	102	9949	0.0103
2012	ID	Idaho County	16049	77	4185	0.0184
2012	ID	Kootenai County	16055	85	51002	0.0017
2012	ID	Owyhee County	16073	38	3005	0.0126
2012	ID	Twin Falls County	16083	18	33650	0.0005
2012	ID	Valley County	16085	39	3869	0.0101
2013	ID		16000	2553	630328	0.0041
2013	ID	Ada County	16001	119	205433	0.0006
2013	ID	Bonner County	16017	128	12794	0.0100
2013	ID	Canyon County	16027	24	54319	0.0004
2013	ID	Cassia County	16031	119	10391	0.0115
2013	ID	Idaho County	16049	67	4217	0.0159
2013	ID	Kootenai County	16055	120	53106	0.0023
2013	ID	Owyhee County	16073	29	3026	0.0096
2013	ID	Shoshone County	16079	844	4654	0.1813
2013	ID	Twin Falls County	16083	9	35225	0.0003
