Year	State	County	FIPS	Jobs	Total	Share
2004	IN		18000	6654	2848873	0.0023
2004	IN	Allen County	18003	159	178345	0.0009
2004	IN	Bartholomew County	18005	34	40332	0.0008
2004	IN	Clark County	18019	167	44022	0.0038
2004	IN	Daviess County	18027	428	10500	0.0408
2004	IN	Dubois County	18037	29	28046	0.0010
2004	IN	Elkhart County	18039	48	122986	0.0004
2004	IN	Gibson County	18051	503	15480	0.0325
2004	IN	Greene County	18055	487	7151	0.0681
2004	IN	Hamilton County	18057	330	88504	0.0037
2004	IN	Harrison County	18061	135	11953	0.0113
2004	IN	Henry County	18065	19	13849	0.0014
2004	IN	Huntington County	18069	63	15368	0.0041
2004	IN	Knox County	18083	212	16439	0.0129
2004	IN	Kosciusko County	18085	22	33858	0.0006
2004	IN	Lake County	18089	265	190988	0.0014
2004	IN	Lawrence County	18093	193	14046	0.0137
2004	IN	Marion County	18097	118	577127	0.0002
2004	IN	Miami County	18103	98	10484	0.0093
2004	IN	Monroe County	18105	135	61277	0.0022
2004	IN	Montgomery County	18107	71	16765	0.0042
2004	IN	Morgan County	18109	72	15028	0.0048
2004	IN	Noble County	18113	42	19491	0.0022
2004	IN	Orange County	18117	66	6159	0.0107
2004	IN	Pike County	18125	537	3027	0.1774
2004	IN	Posey County	18129	119	8536	0.0139
2004	IN	Putnam County	18133	53	12544	0.0042
2004	IN	St. Joseph County	18141	18	123724	0.0001
2004	IN	Shelby County	18145	167	17089	0.0098
2004	IN	Vanderburgh County	18163	433	106962	0.0040
2004	IN	Vermillion County	18165	18	4822	0.0037
2004	IN	Vigo County	18167	17	51671	0.0003
2004	IN	Warrick County	18173	81	14198	0.0057
2004	IN	Wayne County	18177	25	32168	0.0008
2005	IN		18000	6469	2873795	0.0023
2005	IN	Allen County	18003	139	179794	0.0008
2005	IN	Bartholomew County	18005	34	41546	0.0008
2005	IN	Clark County	18019	149	45466	0.0033
2005	IN	Daviess County	18027	457	10750	0.0425
2005	IN	Dubois County	18037	37	28461	0.0013
2005	IN	Elkhart County	18039	45	125163	0.0004
2005	IN	Gibson County	18051	659	16026	0.0411
2005	IN	Greene County	18055	531	7286	0.0729
2005	IN	Hamilton County	18057	261	95246	0.0027
2005	IN	Harrison County	18061	151	11433	0.0132
2005	IN	Huntington County	18069	57	15255	0.0037
2005	IN	Knox County	18083	112	16240	0.0069
2005	IN	Kosciusko County	18085	22	35108	0.0006
2005	IN	Lake County	18089	273	192763	0.0014
2005	IN	LaPorte County	18091	50	45085	0.0011
2005	IN	Lawrence County	18093	192	14034	0.0137
2005	IN	Marion County	18097	188	580101	0.0003
2005	IN	Miami County	18103	98	10702	0.0092
2005	IN	Monroe County	18105	135	61460	0.0022
2005	IN	Montgomery County	18107	65	16770	0.0039
2005	IN	Morgan County	18109	69	15128	0.0046
2005	IN	Noble County	18113	39	19532	0.0020
2005	IN	Orange County	18117	58	6323	0.0092
2005	IN	Pike County	18125	441	2903	0.1519
2005	IN	Posey County	18129	34	8665	0.0039
2005	IN	Putnam County	18133	49	12295	0.0040
2005	IN	St. Joseph County	18141	17	124860	0.0001
2005	IN	Shelby County	18145	162	17087	0.0095
2005	IN	Steuben County	18151	12	15020	0.0008
2005	IN	Vanderburgh County	18163	458	108096	0.0042
2005	IN	Vigo County	18167	19	51470	0.0004
2005	IN	Warrick County	18173	74	14043	0.0053
2005	IN	Wayne County	18177	25	31688	0.0008
2006	IN		18000	6565	2892419	0.0023
2006	IN	Allen County	18003	135	182753	0.0007
2006	IN	Bartholomew County	18005	38	42598	0.0009
2006	IN	Clark County	18019	132	46291	0.0029
2006	IN	Daviess County	18027	500	11007	0.0454
2006	IN	Dubois County	18037	40	28430	0.0014
2006	IN	Elkhart County	18039	47	127144	0.0004
2006	IN	Gibson County	18051	657	16227	0.0405
2006	IN	Grant County	18053	89	26668	0.0033
2006	IN	Greene County	18055	589	7370	0.0799
2006	IN	Hamilton County	18057	223	100142	0.0022
2006	IN	Harrison County	18061	132	11455	0.0115
2006	IN	Jackson County	18071	20	20246	0.0010
2006	IN	Knox County	18083	41	16524	0.0025
2006	IN	Kosciusko County	18085	14	35224	0.0004
2006	IN	Lake County	18089	280	193334	0.0014
2006	IN	LaPorte County	18091	34	44894	0.0008
2006	IN	Lawrence County	18093	167	14380	0.0116
2006	IN	Marion County	18097	199	579862	0.0003
2006	IN	Miami County	18103	104	10445	0.0100
2006	IN	Monroe County	18105	147	61357	0.0024
2006	IN	Morgan County	18109	83	15217	0.0055
2006	IN	Noble County	18113	21	19140	0.0011
2006	IN	Orange County	18117	62	6612	0.0094
2006	IN	Pike County	18125	522	3039	0.1718
2006	IN	Posey County	18129	28	8708	0.0032
2006	IN	Putnam County	18133	49	12295	0.0040
2006	IN	St. Joseph County	18141	14	123816	0.0001
2006	IN	Shelby County	18145	177	17197	0.0103
2006	IN	Steuben County	18151	12	14526	0.0008
2006	IN	Vanderburgh County	18163	496	108111	0.0046
2006	IN	Vigo County	18167	18	51678	0.0003
2006	IN	Wabash County	18169	6	13427	0.0004
2006	IN	Warrick County	18173	67	14306	0.0047
2006	IN	Wayne County	18177	26	33455	0.0008
2007	IN		18000	6652	2905725	0.0023
2007	IN	Allen County	18003	144	183025	0.0008
2007	IN	Bartholomew County	18005	52	43736	0.0012
2007	IN	Clark County	18019	152	47551	0.0032
2007	IN	Daviess County	18027	526	11221	0.0469
2007	IN	Elkhart County	18039	50	124722	0.0004
2007	IN	Gibson County	18051	645	16113	0.0400
2007	IN	Hamilton County	18057	203	109943	0.0018
2007	IN	Harrison County	18061	143	11569	0.0124
2007	IN	Knox County	18083	47	16712	0.0028
2007	IN	Lake County	18089	279	194688	0.0014
2007	IN	LaPorte County	18091	35	44822	0.0008
2007	IN	Lawrence County	18093	168	14006	0.0120
2007	IN	Marion County	18097	198	579922	0.0003
2007	IN	Miami County	18103	93	10310	0.0090
2007	IN	Monroe County	18105	154	62274	0.0025
2007	IN	Montgomery County	18107	72	16262	0.0044
2007	IN	Morgan County	18109	78	15140	0.0052
2007	IN	Noble County	18113	23	18942	0.0012
2007	IN	Orange County	18117	62	7715	0.0080
2007	IN	Posey County	18129	23	8774	0.0026
2007	IN	Putnam County	18133	51	12361	0.0041
2007	IN	St. Joseph County	18141	12	123934	0.0001
2007	IN	Shelby County	18145	194	16880	0.0115
2007	IN	Steuben County	18151	15	14500	0.0010
2007	IN	Sullivan County	18153	20	5374	0.0037
2007	IN	Vanderburgh County	18163	508	106937	0.0048
2007	IN	Vigo County	18167	23	52143	0.0004
2007	IN	Wabash County	18169	8	13347	0.0006
2007	IN	Warrick County	18173	154	14429	0.0107
2007	IN	Wayne County	18177	27	32914	0.0008
2008	IN		18000	6407	2872442	0.0022
2008	IN	Allen County	18003	131	180713	0.0007
2008	IN	Bartholomew County	18005	51	44459	0.0011
2008	IN	Clark County	18019	165	48179	0.0034
2008	IN	Clay County	18021	194	6903	0.0281
2008	IN	Daviess County	18027	534	11104	0.0481
2008	IN	Elkhart County	18039	48	114313	0.0004
2008	IN	Floyd County	18043	28	29178	0.0010
2008	IN	Gibson County	18051	586	15684	0.0374
2008	IN	Hamilton County	18057	207	112394	0.0018
2008	IN	Harrison County	18061	145	11309	0.0128
2008	IN	Knox County	18083	336	16747	0.0201
2008	IN	Lake County	18089	259	194203	0.0013
2008	IN	LaPorte County	18091	34	44315	0.0008
2008	IN	Lawrence County	18093	150	13405	0.0112
2008	IN	Marion County	18097	201	577474	0.0003
2008	IN	Miami County	18103	79	10140	0.0078
2008	IN	Monroe County	18105	152	62117	0.0024
2008	IN	Morgan County	18109	74	14761	0.0050
2008	IN	Noble County	18113	22	17829	0.0012
2008	IN	Orange County	18117	49	7654	0.0064
2008	IN	Porter County	18127	22	57090	0.0004
2008	IN	Posey County	18129	19	8766	0.0022
2008	IN	Putnam County	18133	51	12127	0.0042
2008	IN	St. Joseph County	18141	12	122078	0.0001
2008	IN	Shelby County	18145	190	16566	0.0115
2008	IN	Steuben County	18151	13	13934	0.0009
2008	IN	Sullivan County	18153	28	5332	0.0053
2008	IN	Vanderburgh County	18163	518	107333	0.0048
2008	IN	Vigo County	18167	21	51548	0.0004
2008	IN	Wabash County	18169	14	12474	0.0011
2008	IN	Warrick County	18173	147	14381	0.0102
2008	IN	Wayne County	18177	21	32158	0.0007
2009	IN		18000	6291	2705331	0.0023
2009	IN	Allen County	18003	122	169919	0.0007
2009	IN	Bartholomew County	18005	47	40850	0.0012
2009	IN	Clark County	18019	111	46676	0.0024
2009	IN	Daviess County	18027	541	10714	0.0505
2009	IN	Gibson County	18051	594	15250	0.0390
2009	IN	Hamilton County	18057	197	108487	0.0018
2009	IN	Harrison County	18061	132	10684	0.0124
2009	IN	Knox County	18083	391	16004	0.0244
2009	IN	Lake County	18089	193	184210	0.0010
2009	IN	LaPorte County	18091	33	41804	0.0008
2009	IN	Lawrence County	18093	121	12177	0.0099
2009	IN	Marion County	18097	185	546918	0.0003
2009	IN	Miami County	18103	72	9161	0.0079
2009	IN	Monroe County	18105	138	61669	0.0022
2009	IN	Morgan County	18109	64	14093	0.0045
2009	IN	Porter County	18127	20	53854	0.0004
2009	IN	Posey County	18129	20	8308	0.0024
2009	IN	Putnam County	18133	51	11455	0.0045
2009	IN	Ripley County	18137	31	11671	0.0027
2009	IN	St. Joseph County	18141	10	114517	0.0001
2009	IN	Shelby County	18145	194	15856	0.0122
2009	IN	Steuben County	18151	10	13057	0.0008
2009	IN	Sullivan County	18153	37	5393	0.0069
2009	IN	Vanderburgh County	18163	544	103813	0.0052
2009	IN	Vigo County	18167	15	50177	0.0003
2009	IN	Wabash County	18169	16	11525	0.0014
2009	IN	Warrick County	18173	163	14135	0.0115
2009	IN	Wayne County	18177	18	29321	0.0006
2010	IN		18000	6269	2709831	0.0023
2010	IN	Allen County	18003	119	169587	0.0007
2010	IN	Bartholomew County	18005	46	40907	0.0011
2010	IN	Clark County	18019	100	47124	0.0021
2010	IN	Daviess County	18027	239	10441	0.0229
2010	IN	Elkhart County	18039	44	100139	0.0004
2010	IN	Gibson County	18051	848	16585	0.0511
2010	IN	Grant County	18053	64	26687	0.0024
2010	IN	Greene County	18055	21	6641	0.0032
2010	IN	Hamilton County	18057	191	107930	0.0018
2010	IN	Harrison County	18061	118	10813	0.0109
2010	IN	Johnson County	18081	19	41051	0.0005
2010	IN	Knox County	18083	854	16531	0.0517
2010	IN	Lake County	18089	184	182451	0.0010
2010	IN	LaPorte County	18091	36	40675	0.0009
2010	IN	Lawrence County	18093	122	12243	0.0100
2010	IN	Marion County	18097	177	545203	0.0003
2010	IN	Miami County	18103	73	8877	0.0082
2010	IN	Monroe County	18105	195	61263	0.0032
2010	IN	Morgan County	18109	60	13928	0.0043
2010	IN	Posey County	18129	18	8413	0.0021
2010	IN	Putnam County	18133	48	11301	0.0042
2010	IN	Ripley County	18137	31	12330	0.0025
2010	IN	St. Joseph County	18141	8	113848	0.0001
2010	IN	Shelby County	18145	202	15722	0.0128
2010	IN	Steuben County	18151	10	13409	0.0007
2010	IN	Vanderburgh County	18163	94	104094	0.0009
2010	IN	Vigo County	18167	147	49709	0.0030
2010	IN	Warrick County	18173	208	14458	0.0144
2010	IN	Wayne County	18177	18	28106	0.0006
2011	IN		18000	6580	2755826	0.0024
2011	IN	Allen County	18003	113	172517	0.0007
2011	IN	Bartholomew County	18005	42	43867	0.0010
2011	IN	Clark County	18019	94	46165	0.0020
2011	IN	Daviess County	18027	266	10625	0.0250
2011	IN	Delaware County	18035	22	43938	0.0005
