Year	State	County	FIPS	Jobs	Total	Share
2004	MN		27000	5215	2600360	0.0020
2004	MN	Carlton County	27017	17	12545	0.0014
2004	MN	Dakota County	27037	156	167633	0.0009
2004	MN	Hennepin County	27053	92	823817	0.0001
2004	MN	Marshall County	27089	16	2375	0.0067
2004	MN	Mille Lacs County	27095	39	9628	0.0041
2004	MN	Morrison County	27097	13	11253	0.0012
2004	MN	Murray County	27101	16	2752	0.0058
2004	MN	Otter Tail County	27111	39	21679	0.0018
2004	MN	Polk County	27119	61	12259	0.0050
2004	MN	Rice County	27131	42	22767	0.0018
2004	MN	St. Louis County	27137	2756	93565	0.0295
2004	MN	Scott County	27139	96	40041	0.0024
2004	MN	Stearns County	27145	128	77334	0.0017
2004	MN	Steele County	27147	15	19744	0.0008
2004	MN	Washington County	27163	77	71640	0.0011
2005	MN		27000	5131	2640326	0.0019
2005	MN	Carlton County	27017	12	12963	0.0009
2005	MN	Dakota County	27037	113	170893	0.0007
2005	MN	Hennepin County	27053	103	833878	0.0001
2005	MN	Kanabec County	27065	10	3739	0.0027
2005	MN	Marshall County	27089	16	2351	0.0068
2005	MN	Mille Lacs County	27095	33	9556	0.0035
2005	MN	Morrison County	27097	14	11399	0.0012
2005	MN	Murray County	27101	15	2729	0.0055
2005	MN	Otter Tail County	27111	35	21814	0.0016
2005	MN	Polk County	27119	53	12467	0.0043
2005	MN	Rice County	27131	43	22197	0.0019
2005	MN	St. Louis County	27137	2769	94399	0.0293
2005	MN	Scott County	27139	92	40939	0.0022
2005	MN	Stearns County	27145	121	77907	0.0016
2005	MN	Washington County	27163	68	73509	0.0009
2006	MN		27000	5158	2670222	0.0019
2006	MN	Dakota County	27037	136	174071	0.0008
2006	MN	Freeborn County	27047	5	12800	0.0004
2006	MN	Hennepin County	27053	71	840777	0.0001
2006	MN	Kanabec County	27065	28	3734	0.0075
2006	MN	Marshall County	27089	15	2350	0.0064
2006	MN	Meeker County	27093	17	6920	0.0025
2006	MN	Morrison County	27097	15	11277	0.0013
2006	MN	Murray County	27101	19	2780	0.0068
2006	MN	Polk County	27119	62	12522	0.0050
2006	MN	Rice County	27131	41	22557	0.0018
2006	MN	St. Louis County	27137	2757	95644	0.0288
2006	MN	Scott County	27139	95	42618	0.0022
2006	MN	Stearns County	27145	130	79342	0.0016
2006	MN	Washington County	27163	62	74130	0.0008
2007	MN		27000	5225	2687482	0.0019
2007	MN	Carlton County	27017	10	13285	0.0008
2007	MN	Dakota County	27037	149	176132	0.0008
2007	MN	Freeborn County	27047	5	12799	0.0004
2007	MN	Hennepin County	27053	51	847849	0.0001
2007	MN	Kanabec County	27065	26	3794	0.0069
2007	MN	Meeker County	27093	15	6857	0.0022
2007	MN	Mille Lacs County	27095	14	9866	0.0014
2007	MN	Morrison County	27097	13	11349	0.0011
2007	MN	Murray County	27101	18	2749	0.0065
2007	MN	Olmsted County	27109	11	90821	0.0001
2007	MN	Otter Tail County	27111	25	21823	0.0011
2007	MN	Polk County	27119	53	12422	0.0043
2007	MN	Rice County	27131	38	22850	0.0017
2007	MN	St. Louis County	27137	2840	96784	0.0293
2007	MN	Scott County	27139	81	42827	0.0019
2007	MN	Stearns County	27145	120	81878	0.0015
2007	MN	Washington County	27163	53	74191	0.0007
2008	MN		27000	5507	2679527	0.0021
2008	MN	Carlton County	27017	6	13231	0.0005
2008	MN	Dakota County	27037	137	174403	0.0008
2008	MN	Freeborn County	27047	4	12693	0.0003
2008	MN	Hennepin County	27053	228	842154	0.0003
2008	MN	Kanabec County	27065	26	3752	0.0069
2008	MN	Meeker County	27093	13	6922	0.0019
2008	MN	Murray County	27101	16	2759	0.0058
2008	MN	Olmsted County	27109	16	90025	0.0002
2008	MN	Otter Tail County	27111	20	21894	0.0009
2008	MN	Polk County	27119	47	12442	0.0038
2008	MN	Rice County	27131	37	23161	0.0016
2008	MN	St. Louis County	27137	2973	97104	0.0306
2008	MN	Scott County	27139	73	42976	0.0017
2008	MN	Stearns County	27145	120	81861	0.0015
2008	MN	Washington County	27163	49	73686	0.0007
2009	MN		27000	4418	2569651	0.0017
2009	MN	Dakota County	27037	104	169173	0.0006
2009	MN	Hennepin County	27053	224	803044	0.0003
2009	MN	Itasca County	27061	157	15306	0.0103
2009	MN	Kanabec County	27065	16	3582	0.0045
2009	MN	Meeker County	27093	14	6520	0.0021
2009	MN	Murray County	27101	16	2836	0.0056
