Year	State	County	FIPS	Jobs	Total	Share
2004	MS		28000	4842	1105915	0.0044
2004	MS	Adams County	28001	410	11617	0.0353
2004	MS	Clarke County	28023	113	2880	0.0392
2004	MS	Copiah County	28029	100	7642	0.0131
2004	MS	Covington County	28031	6	5146	0.0012
2004	MS	Forrest County	28035	19	35038	0.0005
2004	MS	Greene County	28041	6	1931	0.0031
2004	MS	Hancock County	28045	5	13470	0.0004
2004	MS	Hinds County	28049	272	129758	0.0021
2004	MS	Jasper County	28061	81	4004	0.0202
2004	MS	Jefferson Davis County	28065	55	2114	0.0260
2004	MS	Jones County	28067	1156	27101	0.0427
2004	MS	Lamar County	28073	29	13669	0.0021
2004	MS	Lincoln County	28085	82	11618	0.0071
2004	MS	Lowndes County	28087	36	24241	0.0015
2004	MS	Madison County	28089	44	40521	0.0011
2004	MS	Marion County	28091	120	7620	0.0157
2004	MS	Monroe County	28095	47	10926	0.0043
2004	MS	Panola County	28107	19	10213	0.0019
2004	MS	Pike County	28113	32	15101	0.0021
2004	MS	Rankin County	28121	119	50365	0.0024
2004	MS	Tippah County	28139	211	7057	0.0299
2004	MS	Walthall County	28147	7	2806	0.0025
2004	MS	Wayne County	28153	90	5347	0.0168
2005	MS		28000	4841	1111269	0.0044
2005	MS	Adams County	28001	442	11617	0.0380
2005	MS	Clarke County	28023	115	2834	0.0406
2005	MS	Copiah County	28029	98	7696	0.0127
2005	MS	Forrest County	28035	18	35986	0.0005
2005	MS	Greene County	28041	11	1944	0.0057
2005	MS	Hancock County	28045	6	12790	0.0005
2005	MS	Hinds County	28049	232	127413	0.0018
2005	MS	Jefferson Davis County	28065	60	2170	0.0276
2005	MS	Jones County	28067	1296	28427	0.0456
2005	MS	Lamar County	28073	33	14280	0.0023
2005	MS	Lincoln County	28085	106	11919	0.0089
2005	MS	Lowndes County	28087	31	24273	0.0013
2005	MS	Madison County	28089	87	41568	0.0021
2005	MS	Marion County	28091	131	7496	0.0175
2005	MS	Monroe County	28095	67	11034	0.0061
2005	MS	Panola County	28107	21	10560	0.0020
2005	MS	Rankin County	28121	132	52247	0.0025
2005	MS	Tippah County	28139	201	7266	0.0277
2005	MS	Wayne County	28153	128	5426	0.0236
2006	MS		28000	5815	1122474	0.0052
2006	MS	Adams County	28001	531	12116	0.0438
2006	MS	Clarke County	28023	128	2954	0.0433
2006	MS	Copiah County	28029	104	7872	0.0132
2006	MS	DeSoto County	28033	29	43189	0.0007
2006	MS	Forrest County	28035	36	37251	0.0010
2006	MS	Greene County	28041	19	2115	0.0090
2006	MS	Hinds County	28049	235	128160	0.0018
2006	MS	Jackson County	28059	26	48381	0.0005
2006	MS	Jasper County	28061	82	4259	0.0193
2006	MS	Jefferson Davis County	28065	71	2069	0.0343
2006	MS	Jones County	28067	1549	30320	0.0511
2006	MS	Lamar County	28073	36	16470	0.0022
2006	MS	Lincoln County	28085	154	12051	0.0128
2006	MS	Lowndes County	28087	38	25349	0.0015
2006	MS	Madison County	28089	96	42551	0.0023
2006	MS	Marion County	28091	116	7769	0.0149
2006	MS	Monroe County	28095	129	10684	0.0121
2006	MS	Panola County	28107	24	10982	0.0022
2006	MS	Pike County	28113	41	15684	0.0026
2006	MS	Rankin County	28121	170	54827	0.0031
2006	MS	Tippah County	28139	164	7221	0.0227
2006	MS	Walthall County	28147	5	2958	0.0017
2006	MS	Wayne County	28153	153	5462	0.0280
2007	MS		28000	6178	1135336	0.0054
2007	MS	Adams County	28001	483	12203	0.0396
2007	MS	Clarke County	28023	142	3005	0.0473
2007	MS	Copiah County	28029	107	7776	0.0138
2007	MS	Covington County	28031	10	5128	0.0020
2007	MS	DeSoto County	28033	24	46156	0.0005
2007	MS	Forrest County	28035	37	37132	0.0010
2007	MS	Greene County	28041	16	2064	0.0078
2007	MS	Hinds County	28049	263	128112	0.0021
2007	MS	Jackson County	28059	54	49617	0.0011
2007	MS	Jasper County	28061	103	4282	0.0241
2007	MS	Jefferson Davis County	28065	73	2057	0.0355
2007	MS	Jones County	28067	1658	30479	0.0544
2007	MS	Lamar County	28073	51	18168	0.0028
2007	MS	Lawrence County	28077	8	2738	0.0029
2007	MS	Lincoln County	28085	175	11832	0.0148
2007	MS	Lowndes County	28087	50	25766	0.0019
2007	MS	Madison County	28089	106	42597	0.0025
2007	MS	Marion County	28091	138	7722	0.0179
2007	MS	Monroe County	28095	115	10531	0.0109
2007	MS	Panola County	28107	21	11020	0.0019
2007	MS	Pike County	28113	39	15496	0.0025
2007	MS	Rankin County	28121	191	56492	0.0034
2007	MS	Smith County	28129	10	3246	0.0031
2007	MS	Tippah County	28139	61	7102	0.0086
2007	MS	Walthall County	28147	6	3021	0.0020
2007	MS	Wayne County	28153	174	5567	0.0313
2008	MS		28000	6518	1131096	0.0058
2008	MS	Adams County	28001	491	12297	0.0399
2008	MS	Clarke County	28023	151	3055	0.0494
2008	MS	Copiah County	28029	88	7929	0.0111
2008	MS	Covington County	28031	10	5118	0.0020
2008	MS	DeSoto County	28033	23	45769	0.0005
2008	MS	Forrest County	28035	37	36581	0.0010
2008	MS	Greene County	28041	16	2005	0.0080
2008	MS	Hinds County	28049	249	127253	0.0020
2008	MS	Jackson County	28059	136	51726	0.0026
2008	MS	Jasper County	28061	140	4318	0.0324
2008	MS	Jefferson Davis County	28065	84	2364	0.0355
2008	MS	Jones County	28067	1778	29643	0.0600
2008	MS	Lamar County	28073	72	18259	0.0039
2008	MS	Lawrence County	28077	5	2881	0.0017
2008	MS	Lincoln County	28085	161	11549	0.0139
2008	MS	Lowndes County	28087	53	25425	0.0021
2008	MS	Madison County	28089	101	42185	0.0024
2008	MS	Marion County	28091	172	7700	0.0223
2008	MS	Monroe County	28095	127	9826	0.0129
2008	MS	Panola County	28107	21	10721	0.0020
2008	MS	Pike County	28113	39	15801	0.0025
2008	MS	Rankin County	28121	200	56938	0.0035
2008	MS	Simpson County	28127	27	7439	0.0036
2008	MS	Smith County	28129	10	2982	0.0034
2008	MS	Tippah County	28139	54	6340	0.0085
2008	MS	Walthall County	28147	3	2979	0.0010
2008	MS	Wayne County	28153	170	5425	0.0313
2009	MS		28000	5706	1081138	0.0053
2009	MS	Adams County	28001	366	11471	0.0319
2009	MS	Clarke County	28023	141	3049	0.0462
2009	MS	Copiah County	28029	84	7563	0.0111
2009	MS	DeSoto County	28033	26	43721	0.0006
2009	MS	Forrest County	28035	61	36358	0.0017
2009	MS	Greene County	28041	9	1958	0.0046
2009	MS	Hancock County	28045	8	13721	0.0006
2009	MS	Hinds County	28049	241	124849	0.0019
2009	MS	Jackson County	28059	108	50858	0.0021
2009	MS	Jasper County	28061	138	4273	0.0323
2009	MS	Jefferson Davis County	28065	54	1977	0.0273
2009	MS	Jones County	28067	1636	27895	0.0586
2009	MS	Lamar County	28073	78	17299	0.0045
2009	MS	Lawrence County	28077	5	2747	0.0018
2009	MS	Lincoln County	28085	124	10985	0.0113
2009	MS	Lowndes County	28087	49	24205	0.0020
2009	MS	Madison County	28089	111	40740	0.0027
2009	MS	Marion County	28091	217	7549	0.0287
2009	MS	Monroe County	28095	99	9331	0.0106
2009	MS	Panola County	28107	25	10442	0.0024
2009	MS	Pearl River County	28109	18	9991	0.0018
2009	MS	Pike County	28113	39	15016	0.0026
2009	MS	Rankin County	28121	172	54741	0.0031
2009	MS	Walthall County	28147	16	2715	0.0059
2009	MS	Warren County	28149	23	21989	0.0010
2009	MS	Wayne County	28153	133	5092	0.0261
2010	MS		28000	5763	1074617	0.0054
2010	MS	Adams County	28001	411	11041	0.0372
2010	MS	Attala County	28007	4	4612	0.0009
2010	MS	Clarke County	28023	148	2917	0.0507
2010	MS	Copiah County	28029	78	7107	0.0110
2010	MS	Covington County	28031	14	4861	0.0029
2010	MS	DeSoto County	28033	24	44427	0.0005
2010	MS	Forrest County	28035	76	36085	0.0021
2010	MS	Greene County	28041	12	1962	0.0061
2010	MS	Hancock County	28045	17	13610	0.0012
2010	MS	Hinds County	28049	205	122548	0.0017
2010	MS	Jackson County	28059	82	51511	0.0016
2010	MS	Jasper County	28061	138	4511	0.0306
2010	MS	Jones County	28067	1678	26991	0.0622
2010	MS	Lamar County	28073	75	17182	0.0044
2010	MS	Lawrence County	28077	3	2664	0.0011
2010	MS	Lincoln County	28085	128	10803	0.0118
2010	MS	Lowndes County	28087	61	23639	0.0026
2010	MS	Madison County	28089	142	42404	0.0033
2010	MS	Marion County	28091	282	7428	0.0380
2010	MS	Monroe County	28095	86	9505	0.0090
2010	MS	Panola County	28107	21	10888	0.0019
2010	MS	Pearl River County	28109	16	9674	0.0017
2010	MS	Pike County	28113	44	14573	0.0030
2010	MS	Rankin County	28121	147	54404	0.0027
2010	MS	Simpson County	28127	13	7405	0.0018
2010	MS	Walthall County	28147	17	2704	0.0063
2010	MS	Warren County	28149	19	21508	0.0009
2010	MS	Wayne County	28153	138	5106	0.0270
2011	MS		28000	6190	1076488	0.0058
2011	MS	Adams County	28001	461	11015	0.0419
2011	MS	Attala County	28007	6	4649	0.0013
