Year	State	County	FIPS	Jobs	Total	Share
2004	NC		37000	3519	3777872	0.0009
2004	NC	Alexander County	37003	5	10173	0.0005
2004	NC	Buncombe County	37021	96	106219	0.0009
2004	NC	Caldwell County	37027	17	30118	0.0006
2004	NC	Cleveland County	37045	99	33110	0.0030
2004	NC	Davidson County	37057	63	44455	0.0014
2004	NC	Forsyth County	37067	34	175369	0.0002
2004	NC	Guilford County	37081	493	266927	0.0018
2004	NC	Lee County	37105	63	27568	0.0023
2004	NC	McDowell County	37111	33	16996	0.0019
2004	NC	Randolph County	37151	36	47183	0.0008
2004	NC	Richmond County	37153	122	14970	0.0081
2004	NC	Rowan County	37159	288	47329	0.0061
2004	NC	Rutherford County	37161	64	22316	0.0029
2004	NC	Surry County	37171	44	32365	0.0014
2004	NC	Wake County	37183	241	390410	0.0006
2004	NC	Watauga County	37189	36	20825	0.0017
2005	NC		37000	3508	3856748	0.0009
2005	NC	Buncombe County	37021	103	108914	0.0009
2005	NC	Caldwell County	37027	21	29222	0.0007
2005	NC	Chatham County	37037	14	16704	0.0008
2005	NC	Cleveland County	37045	104	33410	0.0031
2005	NC	Craven County	37049	56	40665	0.0014
2005	NC	Davidson County	37057	60	44581	0.0013
2005	NC	Johnston County	37101	42	40118	0.0010
2005	NC	Lee County	37105	61	27961	0.0022
2005	NC	McDowell County	37111	38	16553	0.0023
2005	NC	Randolph County	37151	37	48200	0.0008
2005	NC	Richmond County	37153	126	15029	0.0084
2005	NC	Rowan County	37159	236	48214	0.0049
2005	NC	Rutherford County	37161	62	21901	0.0028
2005	NC	Wake County	37183	216	405689	0.0005
2005	NC	Watauga County	37189	45	21412	0.0021
2006	NC		37000	3720	3965479	0.0009
2006	NC	Caldwell County	37027	23	28114	0.0008
2006	NC	Chatham County	37037	51	17253	0.0030
2006	NC	Cleveland County	37045	101	33324	0.0030
2006	NC	Craven County	37049	57	41464	0.0014
2006	NC	Davidson County	37057	59	44698	0.0013
2006	NC	Forsyth County	37067	49	181558	0.0003
2006	NC	Guilford County	37081	170	276690	0.0006
2006	NC	Iredell County	37097	37	64399	0.0006
2006	NC	Johnston County	37101	75	43226	0.0017
2006	NC	Lee County	37105	63	27817	0.0023
2006	NC	McDowell County	37111	43	16341	0.0026
2006	NC	Mecklenburg County	37119	198	542035	0.0004
2006	NC	Orange County	37135	38	59663	0.0006
2006	NC	Richmond County	37153	135	15044	0.0090
2006	NC	Rowan County	37159	247	48626	0.0051
2006	NC	Wake County	37183	553	427376	0.0013
2006	NC	Watauga County	37189	42	21982	0.0019
2007	NC		37000	3975	4062955	0.0010
2007	NC	Buncombe County	37021	94	116030	0.0008
2007	NC	Caldwell County	37027	24	27206	0.0009
2007	NC	Chatham County	37037	51	16936	0.0030
2007	NC	Cleveland County	37045	101	34274	0.0029
2007	NC	Craven County	37049	51	41985	0.0012
2007	NC	Davidson County	37057	62	44184	0.0014
2007	NC	Forsyth County	37067	55	186169	0.0003
2007	NC	Guilford County	37081	175	281574	0.0006
2007	NC	Johnston County	37101	80	44503	0.0018
2007	NC	Lee County	37105	66	27468	0.0024
2007	NC	Lincoln County	37109	49	22603	0.0022
2007	NC	McDowell County	37111	81	16633	0.0049
2007	NC	Mecklenburg County	37119	228	566204	0.0004
2007	NC	Orange County	37135	49	61506	0.0008
2007	NC	Richmond County	37153	143	15294	0.0094
2007	NC	Rowan County	37159	288	47735	0.0060
2007	NC	Wake County	37183	596	448826	0.0013
2007	NC	Watauga County	37189	36	22487	0.0016
2008	NC		37000	3804	4043486	0.0009
2008	NC	Buncombe County	37021	87	115491	0.0008
2008	NC	Caldwell County	37027	21	26646	0.0008
2008	NC	Chatham County	37037	39	16477	0.0024
2008	NC	Cleveland County	37045	99	33528	0.0030
2008	NC	Davidson County	37057	67	42549	0.0016
2008	NC	Davie County	37059	35	10626	0.0033
2008	NC	Forsyth County	37067	39	185396	0.0002
2008	NC	Guilford County	37081	202	278658	0.0007
2008	NC	Johnston County	37101	59	44179	0.0013
2008	NC	Lee County	37105	64	26531	0.0024
2008	NC	McDowell County	37111	78	15967	0.0049
2008	NC	Macon County	37113	3	11753	0.0003
2008	NC	Mecklenburg County	37119	226	568041	0.0004
2008	NC	Montgomery County	37123	18	9391	0.0019
2008	NC	Orange County	37135	42	62410	0.0007
2008	NC	Pender County	37141	38	10628	0.0036
2008	NC	Richmond County	37153	140	14969	0.0094
2008	NC	Rowan County	37159	267	48175	0.0055
2008	NC	Wake County	37183	571	451404	0.0013
2008	NC	Watauga County	37189	36	21452	0.0017
2009	NC		37000	3403	3823299	0.0009
2009	NC	Buncombe County	37021	106	109831	0.0010
