Year	State	County	FIPS	Jobs	Total	Share
2004	ND		38000	3538	321108	0.0110
2004	ND	Bottineau County	38009	147	2238	0.0657
2004	ND	Bowman County	38011	116	1338	0.0867
2004	ND	Burke County	38013	33	580	0.0569
2004	ND	McKenzie County	38053	132	2497	0.0529
2004	ND	Mountrail County	38061	41	2346	0.0175
2004	ND	Stark County	38089	380	11136	0.0341
2004	ND	Ward County	38101	331	26589	0.0124
2004	ND	Williams County	38105	1012	9285	0.1090
2005	ND		38000	4111	328097	0.0125
2005	ND	Bottineau County	38009	157	2235	0.0702
2005	ND	Bowman County	38011	89	1357	0.0656
2005	ND	Burke County	38013	37	577	0.0641
2005	ND	McKenzie County	38053	126	2463	0.0512
2005	ND	Morton County	38059	88	8718	0.0101
2005	ND	Mountrail County	38061	39	2249	0.0173
2005	ND	Renville County	38075	31	759	0.0408
2005	ND	Stark County	38089	417	11628	0.0359
2005	ND	Ward County	38101	420	26947	0.0156
2005	ND	Williams County	38105	1401	9958	0.1407
2006	ND		38000	4669	335718	0.0139
2006	ND	Bottineau County	38009	152	2198	0.0692
2006	ND	Bowman County	38011	93	1407	0.0661
2006	ND	Burke County	38013	41	577	0.0711
2006	ND	Burleigh County	38015	14	48018	0.0003
2006	ND	McKenzie County	38053	243	2642	0.0920
2006	ND	Morton County	38059	86	8905	0.0097
2006	ND	Mountrail County	38061	50	2135	0.0234
2006	ND	Stark County	38089	413	11988	0.0345
2006	ND	Ward County	38101	370	27493	0.0135
2006	ND	Williams County	38105	1832	10835	0.1691
2007	ND		38000	5099	341705	0.0149
2007	ND	Bottineau County	38009	167	2216	0.0754
2007	ND	Bowman County	38011	94	1454	0.0646
2007	ND	Burke County	38013	48	589	0.0815
2007	ND	Burleigh County	38015	57	49043	0.0012
2007	ND	McKenzie County	38053	281	2837	0.0990
2007	ND	Morton County	38059	71	9053	0.0078
2007	ND	Mountrail County	38061	38	2217	0.0171
2007	ND	Stark County	38089	490	12199	0.0402
2007	ND	Ward County	38101	372	27919	0.0133
2007	ND	Williams County	38105	2045	11209	0.1824
2008	ND		38000	6793	350440	0.0194
2008	ND	Bottineau County	38009	220	2418	0.0910
2008	ND	Bowman County	38011	100	1452	0.0689
2008	ND	Burke County	38013	70	627	0.1116
2008	ND	Burleigh County	38015	60	50001	0.0012
2008	ND	McKenzie County	38053	445	3118	0.1427
2008	ND	Mountrail County	38061	70	2283	0.0307
2008	ND	Renville County	38075	93	834	0.1115
2008	ND	Stark County	38089	698	12722	0.0549
2008	ND	Ward County	38101	379	28670	0.0132
2008	ND	Williams County	38105	3091	12850	0.2405
2009	ND		38000	6955	349560	0.0199
2009	ND	Bottineau County	38009	242	2475	0.0978
2009	ND	Bowman County	38011	94	1447	0.0650
2009	ND	Burke County	38013	63	654	0.0963
2009	ND	Burleigh County	38015	42	50418	0.0008
2009	ND	McKenzie County	38053	254	2840	0.0894
2009	ND	Renville County	38075	96	813	0.1181
2009	ND	Stark County	38089	805	12920	0.0623
2009	ND	Ward County	38101	391	28995	0.0135
2009	ND	Williams County	38105	3069	13055	0.2351
2010	ND		38000	10660	358635	0.0297
2010	ND	Billings County	38007	79	498	0.1586
2010	ND	Bottineau County	38009	314	2564	0.1225
2010	ND	Bowman County	38011	112	1483	0.0755
2010	ND	Burke County	38013	75	691	0.1085
2010	ND	Burleigh County	38015	64	50937	0.0013
2010	ND	McKenzie County	38053	582	3600	0.1617
2010	ND	Renville County	38075	138	892	0.1547
2010	ND	Stark County	38089	1229	14108	0.0871
2010	ND	Ward County	38101	596	29528	0.0202
2010	ND	Williams County	38105	4797	16014	0.2996
2011	ND		38000	16786	379432	0.0442
2011	ND	Adams County	38001	30	948	0.0316
2011	ND	Bottineau County	38009	418	2669	0.1566
2011	ND	Bowman County	38011	171	1642	0.1041
2011	ND	Burke County	38013	120	808	0.1485
2011	ND	Burleigh County	38015	120	52310	0.0023
2011	ND	McKenzie County	38053	1053	4992	0.2109
2011	ND	Mountrail County	38061	968	5256	0.1842
2011	ND	Renville County	38075	116	883	0.1314
2011	ND	Stark County	38089	2541	16316	0.1557
2011	ND	Ward County	38101	1067	31127	0.0343
2011	ND	Williams County	38105	8047	23770	0.3385
2012	ND		38000	24376	411709	0.0592
2012	ND	Adams County	38001	37	957	0.0387
2012	ND	Bottineau County	38009	341	2813	0.1212
2012	ND	Bowman County	38011	236	1779	0.1327
2012	ND	Burleigh County	38015	140	54621	0.0026
2012	ND	Dunn County	38025	997	2651	0.3761
2012	ND	Golden Valley County	38033	11	711	0.0155
2012	ND	McKenzie County	38053	1410	7216	0.1954
2012	ND	Mountrail County	38061	962	6430	0.1496
2012	ND	Renville County	38075	128	940	0.1362
2012	ND	Stark County	38089	3790	19827	0.1912
2012	ND	Ward County	38101	1626	34484	0.0472
2012	ND	Williams County	38105	12652	34279	0.3691
2013	ND		38000	26196	427108	0.0613
2013	ND	Bottineau County	38009	328	2665	0.1231
2013	ND	Bowman County	38011	227	1896	0.1197
2013	ND	Burleigh County	38015	141	56366	0.0025
2013	ND	Cass County	38017	19	109499	0.0002
2013	ND	Dunn County	38025	1111	3090	0.3595
2013	ND	Eddy County	38027	26	745	0.0349
2013	ND	Golden Valley County	38033	18	718	0.0251
2013	ND	Grand Forks County	38035	166	40181	0.0041
2013	ND	McKenzie County	38053	1731	9191	0.1883
2013	ND	Morton County	38059	47	10515	0.0045
2013	ND	Mountrail County	38061	1317	7059	0.1866
2013	ND	Pembina County	38067	9	3757	0.0024
2013	ND	Renville County	38075	150	901	0.1665
2013	ND	Stark County	38089	4332	21581	0.2007
2013	ND	Ward County	38101	1754	35350	0.0496
2013	ND	Williams County	38105	12937	37435	0.3456
