Year	State	County	FIPS	Jobs	Total	Share
2004	NH		33000	522	613310	0.0009
2004	NH	Belknap County	33001	23	26927	0.0009
2004	NH	Carroll County	33003	33	20403	0.0016
2004	NH	Coos County	33007	30	14111	0.0021
2004	NH	Grafton County	33009	57	51363	0.0011
2004	NH	Hillsborough County	33011	51	193537	0.0003
2004	NH	Merrimack County	33013	210	72374	0.0029
2004	NH	Rockingham County	33015	59	133808	0.0004
2004	NH	Strafford County	33017	23	43431	0.0005
2005	NH		33000	562	620893	0.0009
2005	NH	Belknap County	33001	53	26936	0.0020
2005	NH	Carroll County	33003	36	20201	0.0018
2005	NH	Coos County	33007	24	14020	0.0017
2005	NH	Grafton County	33009	54	51539	0.0010
2005	NH	Hillsborough County	33011	52	196186	0.0003
2005	NH	Merrimack County	33013	213	72977	0.0029
2005	NH	Rockingham County	33015	63	136150	0.0005
2005	NH	Strafford County	33017	28	43772	0.0006
2006	NH		33000	584	627371	0.0009
2006	NH	Belknap County	33001	57	27238	0.0021
2006	NH	Carroll County	33003	43	20295	0.0021
2006	NH	Coos County	33007	27	13901	0.0019
2006	NH	Grafton County	33009	56	52266	0.0011
2006	NH	Hillsborough County	33011	54	196529	0.0003
2006	NH	Merrimack County	33013	226	74078	0.0031
2006	NH	Rockingham County	33015	65	138103	0.0005
2006	NH	Strafford County	33017	24	44561	0.0005
2007	NH		33000	682	630204	0.0011
2007	NH	Carroll County	33003	39	20403	0.0019
2007	NH	Grafton County	33009	56	52732	0.0011
2007	NH	Hillsborough County	33011	50	197225	0.0003
2007	NH	Merrimack County	33013	209	74063	0.0028
2007	NH	Rockingham County	33015	176	138380	0.0013
2007	NH	Strafford County	33017	24	45576	0.0005
2008	NH		33000	604	628763	0.0010
2008	NH	Carroll County	33003	30	20575	0.0015
2008	NH	Grafton County	33009	53	52903	0.0010
2008	NH	Hillsborough County	33011	49	195995	0.0003
2008	NH	Merrimack County	33013	184	73950	0.0025
2008	NH	Rockingham County	33015	154	137160	0.0011
2008	NH	Strafford County	33017	23	46534	0.0005
2009	NH		33000	510	605004	0.0008
2009	NH	Belknap County	33001	56	25631	0.0022
2009	NH	Grafton County	33009	50	51398	0.0010
2009	NH	Hillsborough County	33011	37	187273	0.0002
2009	NH	Merrimack County	33013	164	72138	0.0023
2009	NH	Rockingham County	33015	106	131372	0.0008
2009	NH	Strafford County	33017	19	44375	0.0004
2010	NH		33000	491	600697	0.0008
2010	NH	Grafton County	33009	53	51287	0.0010
2010	NH	Hillsborough County	33011	32	183879	0.0002
2010	NH	Merrimack County	33013	150	72685	0.0021
2010	NH	Rockingham County	33015	104	131904	0.0008
2010	NH	Strafford County	33017	24	44182	0.0005
2011	NH		33000	495	605853	0.0008
2011	NH	Grafton County	33009	52	51649	0.0010
2011	NH	Hillsborough County	33011	38	186423	0.0002
2011	NH	Merrimack County	33013	142	72137	0.0020
2011	NH	Rockingham County	33015	113	133394	0.0008
2012	NH		33000	500	612419	0.0008
2012	NH	Grafton County	33009	53	52018	0.0010
2012	NH	Hillsborough County	33011	45	188408	0.0002
2012	NH	Merrimack County	33013	138	72814	0.0019
2012	NH	Rockingham County	33015	102	135379	0.0008
2012	NH	Strafford County	33017	28	45008	0.0006
2013	NH		33000	531	618781	0.0009
2013	NH	Grafton County	33009	46	52166	0.0009
2013	NH	Hillsborough County	33011	57	190607	0.0003
2013	NH	Merrimack County	33013	145	73498	0.0020
2013	NH	Rockingham County	33015	112	137500	0.0008
