Year	State	County	FIPS	Jobs	Total	Share
2004	NJ		34000	1561	3873787	0.0004
2004	NJ	Bergen County	34003	29	445711	0.0001
2004	NJ	Camden County	34007	63	207871	0.0003
2004	NJ	Cape May County	34009	43	42515	0.0010
2004	NJ	Cumberland County	34011	168	60942	0.0028
2004	NJ	Middlesex County	34023	69	389630	0.0002
2004	NJ	Monmouth County	34025	36	251496	0.0001
2004	NJ	Morris County	34027	72	280652	0.0003
2004	NJ	Ocean County	34029	116	144388	0.0008
2004	NJ	Passaic County	34031	152	175075	0.0009
2004	NJ	Sussex County	34037	57	40260	0.0014
2004	NJ	Warren County	34041	147	37033	0.0040
2005	NJ		34000	1676	3917397	0.0004
2005	NJ	Bergen County	34003	34	446274	0.0001
2005	NJ	Camden County	34007	76	208622	0.0004
2005	NJ	Cape May County	34009	45	42873	0.0010
2005	NJ	Cumberland County	34011	154	62641	0.0025
2005	NJ	Gloucester County	34015	122	103108	0.0012
2005	NJ	Mercer County	34021	28	223062	0.0001
2005	NJ	Middlesex County	34023	65	390057	0.0002
2005	NJ	Monmouth County	34025	40	254661	0.0002
2005	NJ	Ocean County	34029	118	146416	0.0008
2005	NJ	Passaic County	34031	202	175782	0.0011
2005	NJ	Sussex County	34037	54	41405	0.0013
2005	NJ	Warren County	34041	147	38376	0.0038
2006	NJ		34000	1671	3951210	0.0004
2006	NJ	Bergen County	34003	39	447074	0.0001
2006	NJ	Cumberland County	34011	181	62505	0.0029
2006	NJ	Gloucester County	34015	163	104252	0.0016
2006	NJ	Mercer County	34021	30	228075	0.0001
2006	NJ	Middlesex County	34023	68	395886	0.0002
2006	NJ	Monmouth County	34025	40	256314	0.0002
2006	NJ	Ocean County	34029	121	149182	0.0008
2006	NJ	Passaic County	34031	183	177250	0.0010
2006	NJ	Sussex County	34037	38	41710	0.0009
2006	NJ	Warren County	34041	153	37573	0.0041
2007	NJ		34000	1621	3961341	0.0004
2007	NJ	Bergen County	34003	42	452883	0.0001
2007	NJ	Cape May County	34009	39	42206	0.0009
2007	NJ	Cumberland County	34011	169	61642	0.0027
2007	NJ	Gloucester County	34015	171	103920	0.0016
2007	NJ	Middlesex County	34023	76	408751	0.0002
2007	NJ	Monmouth County	34025	24	257015	0.0001
2007	NJ	Ocean County	34029	115	150320	0.0008
2007	NJ	Passaic County	34031	155	176888	0.0009
2007	NJ	Sussex County	34037	60	39104	0.0015
2007	NJ	Warren County	34041	157	37274	0.0042
2008	NJ		34000	1629	3934789	0.0004
2008	NJ	Bergen County	34003	29	445567	0.0001
2008	NJ	Cape May County	34009	37	41634	0.0009
2008	NJ	Cumberland County	34011	160	61226	0.0026
2008	NJ	Gloucester County	34015	160	102566	0.0016
2008	NJ	Middlesex County	34023	99	398973	0.0002
2008	NJ	Monmouth County	34025	21	256597	0.0001
2008	NJ	Ocean County	34029	107	150280	0.0007
2008	NJ	Passaic County	34031	155	174767	0.0009
2008	NJ	Sussex County	34037	30	39306	0.0008
2008	NJ	Union County	34039	15	231932	0.0001
2008	NJ	Warren County	34041	145	36867	0.0039
2009	NJ		34000	1486	3771296	0.0004
2009	NJ	Bergen County	34003	37	426435	0.0001
2009	NJ	Burlington County	34005	6	194917	0.0000
2009	NJ	Camden County	34007	6	196062	0.0000
2009	NJ	Cape May County	34009	17	40655	0.0004
2009	NJ	Cumberland County	34011	157	59856	0.0026
2009	NJ	Essex County	34013	18	342466	0.0001
2009	NJ	Gloucester County	34015	161	99355	0.0016
2009	NJ	Mercer County	34021	14	223860	0.0001
2009	NJ	Middlesex County	34023	65	378730	0.0002
2009	NJ	Monmouth County	34025	15	245707	0.0001
2009	NJ	Morris County	34027	70	272093	0.0003
2009	NJ	Ocean County	34029	100	145741	0.0007
2009	NJ	Passaic County	34031	124	166678	0.0007
2009	NJ	Sussex County	34037	39	38022	0.0010
2009	NJ	Union County	34039	13	217573	0.0001
2009	NJ	Warren County	34041	136	35549	0.0038
2010	NJ		34000	1368	3735703	0.0004
2010	NJ	Bergen County	34003	39	422456	0.0001
2010	NJ	Burlington County	34005	19	191136	0.0001
2010	NJ	Cape May County	34009	21	40267	0.0005
2010	NJ	Cumberland County	34011	133	58794	0.0023
2010	NJ	Gloucester County	34015	153	96952	0.0016
2010	NJ	Mercer County	34021	16	224967	0.0001
2010	NJ	Middlesex County	34023	51	374054	0.0001
2010	NJ	Monmouth County	34025	12	242998	0.0000
2010	NJ	Morris County	34027	67	267553	0.0003
2010	NJ	Ocean County	34029	100	145901	0.0007
2010	NJ	Passaic County	34031	97	168445	0.0006
2010	NJ	Somerset County	34035	311	164535	0.0019
2010	NJ	Sussex County	34037	36	37942	0.0009
2010	NJ	Warren County	34041	134	35011	0.0038
2011	NJ		34000	1304	3734660	0.0003
2011	NJ	Bergen County	34003	24	422940	0.0001
2011	NJ	Cape May County	34009	17	39308	0.0004
2011	NJ	Cumberland County	34011	134	58033	0.0023
2011	NJ	Gloucester County	34015	155	95720	0.0016
2011	NJ	Hunterdon County	34019	49	46252	0.0011
2011	NJ	Mercer County	34021	20	225744	0.0001
2011	NJ	Middlesex County	34023	84	374397	0.0002
2011	NJ	Monmouth County	34025	17	240420	0.0001
2011	NJ	Ocean County	34029	92	145895	0.0006
2011	NJ	Passaic County	34031	103	168887	0.0006
2011	NJ	Somerset County	34035	306	167784	0.0018
2011	NJ	Sussex County	34037	34	36832	0.0009
2012	NJ		34000	1248	3768935	0.0003
2012	NJ	Bergen County	34003	41	424340	0.0001
2012	NJ	Camden County	34007	21	190544	0.0001
2012	NJ	Cape May County	34009	18	39468	0.0005
2012	NJ	Cumberland County	34011	131	57603	0.0023
2012	NJ	Gloucester County	34015	64	96187	0.0007
2012	NJ	Hunterdon County	34019	44	46036	0.0010
2012	NJ	Middlesex County	34023	79	382401	0.0002
2012	NJ	Monmouth County	34025	11	240555	0.0000
2012	NJ	Ocean County	34029	95	148074	0.0006
2012	NJ	Passaic County	34031	110	168722	0.0007
2012	NJ	Sussex County	34037	29	37321	0.0008
2012	NJ	Warren County	34041	60	34793	0.0017
2013	NJ		34000	1314	3812940	0.0003
2013	NJ	Bergen County	34003	22	431342	0.0001
2013	NJ	Cape May County	34009	22	39788	0.0006
2013	NJ	Cumberland County	34011	130	57781	0.0022
2013	NJ	Gloucester County	34015	71	97447	0.0007
