Year	State	County	FIPS	Jobs	Total	Share
2004	NV		32000	9560	1145762	0.0083
2004	NV	Churchill County	32001	17	8166	0.0021
2004	NV	Clark County	32003	397	808570	0.0005
2004	NV	Elko County	32007	1285	18943	0.0678
2004	NV	Esmeralda County	32009	59	213	0.2770
2004	NV	Humboldt County	32013	1573	7145	0.2202
2004	NV	Lyon County	32019	171	11144	0.0153
2004	NV	Nye County	32023	976	11035	0.0884
2004	NV	Storey County	32029	78	1060	0.0736
2004	NV	Washoe County	32031	331	204304	0.0016
2004	NV	White Pine County	32033	273	3372	0.0810
2005	NV		32000	10561	1215783	0.0087
2005	NV	Churchill County	32001	10	8607	0.0012
2005	NV	Clark County	32003	379	866044	0.0004
2005	NV	Elko County	32007	1603	19909	0.0805
2005	NV	Humboldt County	32013	1811	7504	0.2413
2005	NV	Lander County	32015	618	2032	0.3041
2005	NV	Lyon County	32019	138	12221	0.0113
2005	NV	Nye County	32023	914	12074	0.0757
2005	NV	Storey County	32029	84	1287	0.0653
2005	NV	Washoe County	32031	292	211549	0.0014
2005	NV	White Pine County	32033	628	3791	0.1657
2006	NV		32000	11515	1271634	0.0091
2006	NV	Clark County	32003	395	912129	0.0004
2006	NV	Elko County	32007	2100	20498	0.1024
2006	NV	Humboldt County	32013	1841	7789	0.2364
2006	NV	Lander County	32015	636	2065	0.3080
2006	NV	Lyon County	32019	145	12887	0.0113
2006	NV	Nye County	32023	956	12810	0.0746
2006	NV	Pershing County	32027	426	1843	0.2311
2006	NV	Storey County	32029	83	2147	0.0387
2006	NV	Washoe County	32031	317	218159	0.0015
2006	NV	White Pine County	32033	682	3901	0.1748
2007	NV		32000	12089	1284502	0.0094
2007	NV	Clark County	32003	476	922461	0.0005
2007	NV	Elko County	32007	2114	21211	0.0997
2007	NV	Eureka County	32011	3907	5025	0.7775
2007	NV	Humboldt County	32013	1455	7555	0.1926
2007	NV	Lander County	32015	1157	2649	0.4368
2007	NV	Lincoln County	32017	16	1388	0.0115
2007	NV	Lyon County	32019	140	13248	0.0106
2007	NV	Nye County	32023	979	12766	0.0767
2007	NV	Pershing County	32027	420	1838	0.2285
2007	NV	Washoe County	32031	335	218131	0.0015
2008	NV		32000	12198	1252987	0.0097
2008	NV	Clark County	32003	378	905267	0.0004
2008	NV	Elko County	32007	2191	21374	0.1025
2008	NV	Humboldt County	32013	1476	7601	0.1942
2008	NV	Lander County	32015	1312	2822	0.4649
2008	NV	Lincoln County	32017	14	1450	0.0097
2008	NV	Lyon County	32019	150	12815	0.0117
2008	NV	Mineral County	32021	24	1816	0.0132
2008	NV	Nye County	32023	977	11820	0.0827
2008	NV	Pershing County	32027	406	1820	0.2231
2008	NV	Washoe County	32031	264	208318	0.0013
2009	NV		32000	11622	1138036	0.0102
2009	NV	Clark County	32003	299	819949	0.0004
2009	NV	Elko County	32007	1688	20230	0.0834
2009	NV	Eureka County	32011	4007	4494	0.8916
2009	NV	Humboldt County	32013	1540	7374	0.2088
2009	NV	Lander County	32015	1503	2975	0.5052
2009	NV	Lincoln County	32017	12	1192	0.0101
2009	NV	Lyon County	32019	92	11337	0.0081
2009	NV	Nye County	32023	943	10924	0.0863
