Year	State	County	FIPS	Jobs	Total	Share
2004	NY		36000	4712	8271927	0.0006
2004	NY	Albany County	36001	122	227328	0.0005
2004	NY	Allegany County	36003	100	13959	0.0072
2004	NY	Cattaraugus County	36009	136	32271	0.0042
2004	NY	Chautauqua County	36013	139	54450	0.0026
2004	NY	Chenango County	36017	15	15662	0.0010
2004	NY	Cortland County	36023	8	17496	0.0005
2004	NY	Delaware County	36025	73	17237	0.0042
2004	NY	Dutchess County	36027	136	116132	0.0012
2004	NY	Erie County	36029	292	454408	0.0006
2004	NY	Essex County	36031	145	15222	0.0095
2004	NY	Genesee County	36037	62	23542	0.0026
2004	NY	Herkimer County	36043	35	17446	0.0020
2004	NY	Jefferson County	36045	39	39094	0.0010
2004	NY	Kings County	36047	27	446853	0.0001
2004	NY	Madison County	36053	65	21323	0.0030
2004	NY	Monroe County	36055	155	380343	0.0004
2004	NY	Montgomery County	36057	75	18960	0.0040
2004	NY	New York County	36061	25	2213970	0.0000
2004	NY	Oneida County	36065	68	108282	0.0006
2004	NY	Onondaga County	36067	159	246204	0.0006
2004	NY	Ontario County	36069	82	47397	0.0017
2004	NY	Orange County	36071	87	126317	0.0007
2004	NY	Orleans County	36073	35	12441	0.0028
2004	NY	Oswego County	36075	50	34118	0.0015
2004	NY	Rensselaer County	36083	161	49532	0.0033
2004	NY	St. Lawrence County	36089	151	36583	0.0041
2004	NY	Steuben County	36101	81	36122	0.0022
2004	NY	Suffolk County	36103	176	596156	0.0003
2004	NY	Sullivan County	36105	106	25561	0.0041
2004	NY	Tioga County	36107	47	13411	0.0035
2004	NY	Tompkins County	36109	279	48838	0.0057
2004	NY	Ulster County	36111	139	61764	0.0023
2004	NY	Washington County	36115	167	15283	0.0109
2004	NY	Wyoming County	36121	12	14030	0.0009
2005	NY		36000	4922	8348739	0.0006
2005	NY	Albany County	36001	128	228273	0.0006
2005	NY	Allegany County	36003	88	13878	0.0063
2005	NY	Cattaraugus County	36009	150	31730	0.0047
2005	NY	Chautauqua County	36013	149	54516	0.0027
2005	NY	Chenango County	36017	12	15792	0.0008
2005	NY	Cortland County	36023	9	17227	0.0005
2005	NY	Delaware County	36025	90	17194	0.0052
2005	NY	Dutchess County	36027	155	117435	0.0013
2005	NY	Erie County	36029	199	452421	0.0004
2005	NY	Essex County	36031	138	15144	0.0091
2005	NY	Fulton County	36035	25	17581	0.0014
2005	NY	Genesee County	36037	70	23424	0.0030
2005	NY	Herkimer County	36043	43	17370	0.0025
2005	NY	Jefferson County	36045	45	39929	0.0011
2005	NY	Kings County	36047	22	454264	0.0000
2005	NY	Madison County	36053	50	21255	0.0024
2005	NY	Monroe County	36055	157	382758	0.0004
2005	NY	New York County	36061	23	2248812	0.0000
2005	NY	Oneida County	36065	125	108732	0.0011
2005	NY	Onondaga County	36067	169	248278	0.0007
2005	NY	Ontario County	36069	87	48821	0.0018
2005	NY	Orange County	36071	71	128082	0.0006
2005	NY	Orleans County	36073	40	12745	0.0031
2005	NY	Otsego County	36077	38	24240	0.0016
2005	NY	Queens County	36081	18	478739	0.0000
2005	NY	Rensselaer County	36083	168	49845	0.0034
2005	NY	St. Lawrence County	36089	163	36767	0.0044
2005	NY	Schenectady County	36093	142	64685	0.0022
2005	NY	Steuben County	36101	83	36463	0.0023
2005	NY	Sullivan County	36105	100	25776	0.0039
2005	NY	Tioga County	36107	44	13597	0.0032
2005	NY	Tompkins County	36109	291	49673	0.0059
2005	NY	Ulster County	36111	144	61689	0.0023
2005	NY	Washington County	36115	191	15406	0.0124
2005	NY	Wyoming County	36121	9	14240	0.0006
2006	NY		36000	5239	8429519	0.0006
2006	NY	Albany County	36001	119	226778	0.0005
2006	NY	Allegany County	36003	100	13780	0.0073
2006	NY	Broome County	36007	34	94079	0.0004
2006	NY	Cattaraugus County	36009	161	31358	0.0051
2006	NY	Chautauqua County	36013	170	54301	0.0031
2006	NY	Chemung County	36015	175	38381	0.0046
2006	NY	Chenango County	36017	13	16108	0.0008
2006	NY	Cortland County	36023	9	17090	0.0005
2006	NY	Delaware County	36025	90	17332	0.0052
2006	NY	Dutchess County	36027	157	117532	0.0013
2006	NY	Erie County	36029	212	451656	0.0005
2006	NY	Essex County	36031	147	14993	0.0098
2006	NY	Genesee County	36037	73	23351	0.0031
2006	NY	Herkimer County	36043	44	16889	0.0026
2006	NY	Jefferson County	36045	75	41293	0.0018
2006	NY	Kings County	36047	18	460199	0.0000
2006	NY	Madison County	36053	21	21486	0.0010
2006	NY	Monroe County	36055	148	379133	0.0004
2006	NY	New York County	36061	20	2295634	0.0000
2006	NY	Oneida County	36065	130	109632	0.0012
2006	NY	Onondaga County	36067	196	247864	0.0008
2006	NY	Ontario County	36069	86	49383	0.0017
2006	NY	Orange County	36071	68	128919	0.0005
2006	NY	Orleans County	36073	40	12980	0.0031
2006	NY	Oswego County	36075	50	33787	0.0015
2006	NY	Queens County	36081	12	484482	0.0000
2006	NY	Rensselaer County	36083	169	50557	0.0033
2006	NY	St. Lawrence County	36089	289	36559	0.0079
2006	NY	Schenectady County	36093	116	64295	0.0018
2006	NY	Schuyler County	36097	65	4734	0.0137
