Year	State	County	FIPS	Jobs	Total	Share
2004	OH		39000	11018	5292088	0.0021
2004	OH	Allen County	39003	70	55905	0.0013
2004	OH	Ashland County	39005	32	18506	0.0017
2004	OH	Ashtabula County	39007	66	33703	0.0020
2004	OH	Belmont County	39013	1162	24457	0.0475
2004	OH	Butler County	39017	173	133269	0.0013
2004	OH	Carroll County	39019	8	5624	0.0014
2004	OH	Clark County	39023	37	51672	0.0007
2004	OH	Columbiana County	39029	148	32732	0.0045
2004	OH	Coshocton County	39031	139	12267	0.0113
2004	OH	Cuyahoga County	39035	311	755855	0.0004
2004	OH	Delaware County	39041	120	52807	0.0023
2004	OH	Erie County	39043	166	38703	0.0043
2004	OH	Fairfield County	39045	30	36858	0.0008
2004	OH	Franklin County	39049	227	684527	0.0003
2004	OH	Guernsey County	39059	131	15097	0.0087
2004	OH	Hamilton County	39061	108	541576	0.0002
2004	OH	Harrison County	39067	349	3840	0.0909
2004	OH	Highland County	39071	118	11785	0.0100
2004	OH	Holmes County	39075	136	16932	0.0080
2004	OH	Jackson County	39079	202	11378	0.0178
2004	OH	Knox County	39083	134	18661	0.0072
2004	OH	Lake County	39085	218	98551	0.0022
2004	OH	Licking County	39089	97	52419	0.0019
2004	OH	Logan County	39091	34	20103	0.0017
2004	OH	Lucas County	39095	107	226058	0.0005
2004	OH	Medina County	39103	49	57389	0.0009
2004	OH	Meigs County	39105	142	3627	0.0392
2004	OH	Miami County	39109	70	41015	0.0017
2004	OH	Monroe County	39111	38	4188	0.0091
2004	OH	Montgomery County	39113	28	284026	0.0001
2004	OH	Muskingum County	39119	261	37625	0.0069
2004	OH	Ottawa County	39123	140	14439	0.0097
2004	OH	Perry County	39127	232	6540	0.0355
2004	OH	Portage County	39133	387	53197	0.0073
2004	OH	Ross County	39141	29	27119	0.0011
2004	OH	Scioto County	39145	18	24943	0.0007
2004	OH	Seneca County	39147	149	21750	0.0069
2004	OH	Stark County	39151	341	165656	0.0021
2004	OH	Summit County	39153	87	264977	0.0003
2004	OH	Trumbull County	39155	82	83671	0.0010
2004	OH	Tuscarawas County	39157	423	36024	0.0117
2004	OH	Vinton County	39163	27	2222	0.0122
2004	OH	Warren County	39165	88	65834	0.0013
2004	OH	Washington County	39167	314	24845	0.0126
2004	OH	Wayne County	39169	382	48263	0.0079
2004	OH	Williams County	39171	36	17107	0.0021
2004	OH	Wood County	39173	50	57542	0.0009
2004	OH	Wyandot County	39175	171	11027	0.0155
2005	OH		39000	10790	5308808	0.0020
2005	OH	Adams County	39001	59	6507	0.0091
2005	OH	Allen County	39003	75	56032	0.0013
2005	OH	Ashland County	39005	39	18259	0.0021
2005	OH	Ashtabula County	39007	63	33685	0.0019
2005	OH	Belmont County	39013	1209	24455	0.0494
2005	OH	Butler County	39017	223	136387	0.0016
2005	OH	Carroll County	39019	12	5591	0.0021
2005	OH	Clark County	39023	48	51132	0.0009
2005	OH	Columbiana County	39029	172	32241	0.0053
2005	OH	Coshocton County	39031	162	12548	0.0129
2005	OH	Cuyahoga County	39035	291	750782	0.0004
2005	OH	Delaware County	39041	100	62080	0.0016
2005	OH	Fairfield County	39045	30	37453	0.0008
2005	OH	Franklin County	39049	195	681167	0.0003
2005	OH	Geauga County	39055	68	35011	0.0019
2005	OH	Guernsey County	39059	133	15130	0.0088
2005	OH	Hamilton County	39061	126	538866	0.0002
2005	OH	Harrison County	39067	351	3917	0.0896
2005	OH	Highland County	39071	99	11934	0.0083
2005	OH	Hocking County	39073	146	6869	0.0213
2005	OH	Holmes County	39075	151	17491	0.0086
2005	OH	Jackson County	39079	207	12050	0.0172
2005	OH	Knox County	39083	132	19271	0.0068
2005	OH	Lake County	39085	211	100300	0.0021
2005	OH	Licking County	39089	94	53298	0.0018
2005	OH	Logan County	39091	33	20259	0.0016
2005	OH	Medina County	39103	54	59280	0.0009
2005	OH	Miami County	39109	77	41106	0.0019
2005	OH	Monroe County	39111	44	3198	0.0138
2005	OH	Muskingum County	39119	274	36070	0.0076
2005	OH	Ottawa County	39123	136	14481	0.0094
2005	OH	Perry County	39127	228	6492	0.0351
2005	OH	Portage County	39133	385	53226	0.0072
2005	OH	Richland County	39139	25	57918	0.0004
2005	OH	Ross County	39141	20	26787	0.0007
2005	OH	Scioto County	39145	18	24158	0.0007
2005	OH	Seneca County	39147	131	21800	0.0060
2005	OH	Stark County	39151	319	166073	0.0019
2005	OH	Summit County	39153	103	270339	0.0004
2005	OH	Trumbull County	39155	84	83668	0.0010
2005	OH	Tuscarawas County	39157	436	35888	0.0121
2005	OH	Warren County	39165	70	69532	0.0010
2005	OH	Washington County	39167	352	24825	0.0142
2005	OH	Wayne County	39169	393	48328	0.0081
2005	OH	Williams County	39171	31	16872	0.0018
2005	OH	Wood County	39173	52	57244	0.0009
2005	OH	Wyandot County	39175	143	10491	0.0136
2006	OH		39000	10967	5314572	0.0021
2006	OH	Allen County	39003	87	55331	0.0016
2006	OH	Ashland County	39005	43	18539	0.0023
2006	OH	Ashtabula County	39007	88	32802	0.0027
2006	OH	Belmont County	39013	1202	24328	0.0494
2006	OH	Butler County	39017	225	144391	0.0016
2006	OH	Carroll County	39019	62	6186	0.0100
2006	OH	Clark County	39023	49	51227	0.0010
2006	OH	Columbiana County	39029	220	31987	0.0069
2006	OH	Coshocton County	39031	141	12223	0.0115
2006	OH	Cuyahoga County	39035	320	751755	0.0004
2006	OH	Delaware County	39041	102	65857	0.0015
2006	OH	Fairfield County	39045	11	39508	0.0003
2006	OH	Franklin County	39049	194	681289	0.0003
2006	OH	Gallia County	39053	60	12353	0.0049
2006	OH	Geauga County	39055	71	35665	0.0020
2006	OH	Guernsey County	39059	119	14903	0.0080
2006	OH	Hamilton County	39061	219	525147	0.0004
2006	OH	Harrison County	39067	311	3803	0.0818
2006	OH	Highland County	39071	79	11953	0.0066
2006	OH	Hocking County	39073	189	7125	0.0265
2006	OH	Holmes County	39075	145	17212	0.0084
2006	OH	Jackson County	39079	194	11963	0.0162
2006	OH	Knox County	39083	139	19523	0.0071
2006	OH	Lake County	39085	192	100442	0.0019
2006	OH	Licking County	39089	105	54311	0.0019
2006	OH	Logan County	39091	32	20381	0.0016
2006	OH	Medina County	39103	58	60002	0.0010
2006	OH	Meigs County	39105	107	3740	0.0286
2006	OH	Miami County	39109	53	41376	0.0013
2006	OH	Monroe County	39111	54	3021	0.0179
2006	OH	Morrow County	39117	34	5756	0.0059
2006	OH	Muskingum County	39119	341	34999	0.0097
2006	OH	Ottawa County	39123	138	14493	0.0095
2006	OH	Perry County	39127	259	6404	0.0404
2006	OH	Portage County	39133	380	53512	0.0071
2006	OH	Richland County	39139	27	57510	0.0005
2006	OH	Ross County	39141	26	27057	0.0010
2006	OH	Scioto County	39145	11	23337	0.0005
2006	OH	Seneca County	39147	122	21705	0.0056
2006	OH	Stark County	39151	320	161795	0.0020
2006	OH	Summit County	39153	81	271894	0.0003
2006	OH	Trumbull County	39155	37	84130	0.0004
2006	OH	Tuscarawas County	39157	475	36567	0.0130
2006	OH	Warren County	39165	27	73055	0.0004
2006	OH	Washington County	39167	410	25043	0.0164
2006	OH	Wayne County	39169	394	47301	0.0083
2006	OH	Wood County	39173	47	58667	0.0008
2006	OH	Wyandot County	39175	152	9676	0.0157
2007	OH		39000	11318	5306812	0.0021
2007	OH	Allen County	39003	55	54008	0.0010
2007	OH	Ashland County	39005	43	18652	0.0023
2007	OH	Ashtabula County	39007	101	32271	0.0031
2007	OH	Belmont County	39013	1152	24446	0.0471
2007	OH	Butler County	39017	211	147056	0.0014
2007	OH	Clark County	39023	49	50848	0.0010
2007	OH	Columbiana County	39029	230	31986	0.0072
2007	OH	Coshocton County	39031	145	11996	0.0121
2007	OH	Cuyahoga County	39035	327	747223	0.0004
2007	OH	Delaware County	39041	96	67565	0.0014
2007	OH	Fairfield County	39045	19	39832	0.0005
2007	OH	Franklin County	39049	239	688252	0.0003
2007	OH	Guernsey County	39059	132	14877	0.0089
2007	OH	Hamilton County	39061	238	520046	0.0005
2007	OH	Harrison County	39067	281	3679	0.0764
2007	OH	Highland County	39071	66	11667	0.0057
2007	OH	Hocking County	39073	217	7053	0.0308
2007	OH	Holmes County	39075	126	17314	0.0073
2007	OH	Jackson County	39079	180	11702	0.0154
2007	OH	Knox County	39083	137	19583	0.0070
2007	OH	Lake County	39085	242	101096	0.0024
2007	OH	Licking County	39089	112	54629	0.0021
2007	OH	Logan County	39091	33	20395	0.0016
2007	OH	Lucas County	39095	63	220563	0.0003
2007	OH	Meigs County	39105	142	3730	0.0381
2007	OH	Miami County	39109	51	41244	0.0012
2007	OH	Monroe County	39111	61	3691	0.0165
2007	OH	Morrow County	39117	35	5689	0.0062
2007	OH	Muskingum County	39119	361	34262	0.0105
2007	OH	Ottawa County	39123	148	14281	0.0104
2007	OH	Perry County	39127	258	6119	0.0422
2007	OH	Portage County	39133	368	53825	0.0068
2007	OH	Richland County	39139	24	56154	0.0004
2007	OH	Ross County	39141	29	26832	0.0011
2007	OH	Scioto County	39145	18	23992	0.0008
2007	OH	Seneca County	39147	113	21146	0.0053
2007	OH	Stark County	39151	309	162409	0.0019
2007	OH	Summit County	39153	89	273166	0.0003
2007	OH	Trumbull County	39155	36	79246	0.0005
2007	OH	Tuscarawas County	39157	458	36216	0.0126
2007	OH	Warren County	39165	23	77717	0.0003
2007	OH	Washington County	39167	422	25312	0.0167
2007	OH	Wayne County	39169	449	46425	0.0097
2007	OH	Williams County	39171	24	16716	0.0014
2007	OH	Wood County	39173	45	58806	0.0008
2007	OH	Wyandot County	39175	153	9073	0.0169
2008	OH		39000	11614	5235972	0.0022
2008	OH	Adams County	39001	47	6451	0.0073
2008	OH	Ashland County	39005	46	18097	0.0025
2008	OH	Ashtabula County	39007	103	31652	0.0033
2008	OH	Belmont County	39013	1264	23751	0.0532
2008	OH	Butler County	39017	202	147072	0.0014
2008	OH	Clark County	39023	44	50974	0.0009
2008	OH	Columbiana County	39029	234	31407	0.0075
2008	OH	Coshocton County	39031	140	11508	0.0122
2008	OH	Cuyahoga County	39035	333	731874	0.0005
2008	OH	Delaware County	39041	62	69652	0.0009
2008	OH	Fairfield County	39045	37	40022	0.0009
2008	OH	Franklin County	39049	237	679814	0.0003
2008	OH	Geauga County	39055	66	34756	0.0019
2008	OH	Hamilton County	39061	244	515631	0.0005
2008	OH	Harrison County	39067	327	3580	0.0913
2008	OH	Highland County	39071	53	11023	0.0048
2008	OH	Hocking County	39073	206	6915	0.0298
2008	OH	Holmes County	39075	120	16935	0.0071
2008	OH	Jackson County	39079	204	11153	0.0183
