Year	State	County	FIPS	Jobs	Total	Share
2004	PA		42000	18000	5496599	0.0033
2004	PA	Adams County	42001	121	32206	0.0038
2004	PA	Allegheny County	42003	1087	685878	0.0016
2004	PA	Armstrong County	42005	949	18374	0.0516
2004	PA	Berks County	42011	264	161708	0.0016
2004	PA	Bradford County	42015	134	23001	0.0058
2004	PA	Bucks County	42017	435	254508	0.0017
2004	PA	Butler County	42019	397	71780	0.0055
2004	PA	Cambria County	42021	131	56693	0.0023
2004	PA	Carbon County	42025	14	16419	0.0009
2004	PA	Centre County	42027	85	63381	0.0013
2004	PA	Chester County	42029	132	223405	0.0006
2004	PA	Clarion County	42031	256	14891	0.0172
2004	PA	Clearfield County	42033	566	32242	0.0176
2004	PA	Crawford County	42039	188	30281	0.0062
2004	PA	Cumberland County	42041	68	125858	0.0005
2004	PA	Dauphin County	42043	87	174702	0.0005
2004	PA	Delaware County	42045	74	207953	0.0004
2004	PA	Erie County	42049	113	126480	0.0009
2004	PA	Fayette County	42051	294	41067	0.0072
2004	PA	Greene County	42059	2441	11682	0.2090
2004	PA	Indiana County	42063	1479	31103	0.0476
2004	PA	Jefferson County	42065	378	15080	0.0251
2004	PA	Lackawanna County	42069	124	98306	0.0013
2004	PA	Lancaster County	42071	502	224356	0.0022
2004	PA	Lawrence County	42073	78	31194	0.0025
2004	PA	Luzerne County	42079	316	141032	0.0022
2004	PA	Lycoming County	42081	191	52446	0.0036
2004	PA	Mckean County	42083	588	17389	0.0338
2004	PA	Mercer County	42085	175	47230	0.0037
2004	PA	Monroe County	42089	56	53725	0.0010
2004	PA	Montgomery County	42091	143	479512	0.0003
2004	PA	Northumberland County	42097	189	29144	0.0065
2004	PA	Pike County	42103	30	10703	0.0028
2004	PA	Potter County	42105	10	6492	0.0015
2004	PA	Schuylkill County	42107	380	48853	0.0078
2004	PA	Somerset County	42111	812	26404	0.0308
2004	PA	Susquehanna County	42115	388	8680	0.0447
2004	PA	Venango County	42121	57	20768	0.0027
2004	PA	Warren County	42123	116	15083	0.0077
2004	PA	Washington County	42125	1604	75214	0.0213
2004	PA	Wayne County	42127	81	14495	0.0056
2004	PA	Westmoreland County	42129	380	135300	0.0028
2004	PA	Wyoming County	42131	16	9084	0.0018
2005	PA		42000	18863	5552301	0.0034
2005	PA	Adams County	42001	124	33454	0.0037
2005	PA	Allegheny County	42003	1153	678810	0.0017
2005	PA	Armstrong County	42005	1108	18540	0.0598
2005	PA	Berks County	42011	276	163609	0.0017
2005	PA	Bradford County	42015	140	22765	0.0061
2005	PA	Bucks County	42017	326	260961	0.0012
2005	PA	Butler County	42019	491	75163	0.0065
2005	PA	Cambria County	42021	147	57140	0.0026
2005	PA	Carbon County	42025	16	16645	0.0010
2005	PA	Centre County	42027	91	64219	0.0014
2005	PA	Chester County	42029	184	230929	0.0008
2005	PA	Clarion County	42031	279	15171	0.0184
2005	PA	Clearfield County	42033	601	31793	0.0189
2005	PA	Crawford County	42039	149	30756	0.0048
2005	PA	Cumberland County	42041	71	124897	0.0006
2005	PA	Dauphin County	42043	72	176546	0.0004
2005	PA	Delaware County	42045	67	207657	0.0003
2005	PA	Erie County	42049	165	128094	0.0013
2005	PA	Fayette County	42051	305	40579	0.0075
2005	PA	Greene County	42059	2515	11788	0.2134
2005	PA	Indiana County	42063	1712	32061	0.0534
2005	PA	Jefferson County	42065	483	15486	0.0312
2005	PA	Lackawanna County	42069	89	99954	0.0009
2005	PA	Lancaster County	42071	540	227579	0.0024
2005	PA	Lawrence County	42073	80	30893	0.0026
2005	PA	Luzerne County	42079	310	142651	0.0022
2005	PA	Lycoming County	42081	128	51645	0.0025
2005	PA	Mckean County	42083	741	17459	0.0424
2005	PA	Mercer County	42085	199	47713	0.0042
2005	PA	Monroe County	42089	78	55053	0.0014
2005	PA	Montgomery County	42091	165	481702	0.0003
2005	PA	Northumberland County	42097	206	30582	0.0067
2005	PA	Pike County	42103	30	11189	0.0027
2005	PA	Potter County	42105	14	6456	0.0022
