Year	State	County	FIPS	Jobs	Total	Share
2004	TN		47000	3099	2644749	0.0012
2004	TN	Anderson County	47001	49	36964	0.0013
2004	TN	Benton County	47005	64	3945	0.0162
2004	TN	Campbell County	47013	100	9993	0.0100
2004	TN	Claiborne County	47025	255	8947	0.0285
2004	TN	Cumberland County	47035	196	15827	0.0124
2004	TN	Davidson County	47037	196	429100	0.0005
2004	TN	Decatur County	47039	65	3624	0.0179
2004	TN	Hardin County	47071	37	7516	0.0049
2004	TN	Jefferson County	47089	20	10542	0.0019
2004	TN	Knox County	47093	347	216510	0.0016
2004	TN	Overton County	47133	44	4338	0.0101
2004	TN	Putnam County	47141	45	31512	0.0014
2004	TN	Rhea County	47143	32	10865	0.0029
2004	TN	Scott County	47151	51	6157	0.0083
2004	TN	Shelby County	47157	35	495719	0.0001
2004	TN	Sullivan County	47163	48	66299	0.0007
2004	TN	Weakley County	47183	163	10343	0.0158
2004	TN	White County	47185	23	6909	0.0033
2005	TN		47000	3219	2685491	0.0012
2005	TN	Claiborne County	47025	362	9306	0.0389
2005	TN	Cumberland County	47035	187	16341	0.0114
2005	TN	Davidson County	47037	179	438397	0.0004
2005	TN	Decatur County	47039	58	3538	0.0164
2005	TN	Franklin County	47051	65	9639	0.0067
2005	TN	Hardin County	47071	38	7513	0.0051
2005	TN	Hawkins County	47073	71	12608	0.0056
2005	TN	Jefferson County	47089	20	10856	0.0018
2005	TN	Knox County	47093	453	217890	0.0021
2005	TN	Overton County	47133	46	4390	0.0105
2005	TN	Putnam County	47141	68	31857	0.0021
2005	TN	Rhea County	47143	34	10787	0.0032
2005	TN	Scott County	47151	13	6335	0.0021
2005	TN	Shelby County	47157	37	498806	0.0001
2005	TN	Sullivan County	47163	52	66925	0.0008
2005	TN	Weakley County	47183	160	10456	0.0153
2006	TN		47000	3272	2728694	0.0012
2006	TN	Campbell County	47013	95	9604	0.0099
2006	TN	Claiborne County	47025	306	9340	0.0328
2006	TN	Cumberland County	47035	199	16611	0.0120
2006	TN	Davidson County	47037	182	446712	0.0004
2006	TN	Franklin County	47051	69	9525	0.0072
2006	TN	Hamilton County	47065	66	191692	0.0003
2006	TN	Hardin County	47071	45	7751	0.0058
2006	TN	Jefferson County	47089	15	11323	0.0013
2006	TN	Knox County	47093	492	223253	0.0022
2006	TN	Montgomery County	47125	215	43554	0.0049
2006	TN	Overton County	47133	49	4466	0.0110
2006	TN	Putnam County	47141	52	31783	0.0016
2006	TN	Rhea County	47143	32	10859	0.0029
2006	TN	Scott County	47151	33	6129	0.0054
2006	TN	Shelby County	47157	44	507156	0.0001
2006	TN	Sullivan County	47163	67	68738	0.0010
2006	TN	Weakley County	47183	154	10317	0.0149
2006	TN	Williamson County	47187	38	78925	0.0005
2006	TN	Wilson County	47189	52	32982	0.0016
2007	TN		47000	3876	2745099	0.0014
2007	TN	Anderson County	47001	55	36566	0.0015
2007	TN	Campbell County	47013	105	9520	0.0110
2007	TN	Claiborne County	47025	267	8940	0.0299
2007	TN	Cumberland County	47035	164	16501	0.0099
2007	TN	Davidson County	47037	211	444351	0.0005
2007	TN	Franklin County	47051	70	9713	0.0072
2007	TN	Hamilton County	47065	76	193672	0.0004
2007	TN	Hardin County	47071	54	7791	0.0069
2007	TN	Knox County	47093	462	227598	0.0020
2007	TN	Overton County	47133	51	4461	0.0114
2007	TN	Putnam County	47141	56	32234	0.0017
2007	TN	Rhea County	47143	36	10557	0.0034
2007	TN	Scott County	47151	44	6323	0.0070
2007	TN	Shelby County	47157	47	507343	0.0001
2007	TN	Sullivan County	47163	80	69329	0.0012
2007	TN	Weakley County	47183	148	10256	0.0144
2007	TN	Williamson County	47187	46	85327	0.0005
2007	TN	Wilson County	47189	51	34763	0.0015
2008	TN		47000	3898	2721990	0.0014
2008	TN	Anderson County	47001	41	37036	0.0011
2008	TN	Campbell County	47013	79	9347	0.0085
2008	TN	Claiborne County	47025	217	9056	0.0240
2008	TN	Cumberland County	47035	153	16276	0.0094
2008	TN	Davidson County	47037	198	437097	0.0005
2008	TN	Franklin County	47051	67	9622	0.0070
2008	TN	Hamilton County	47065	59	192131	0.0003
2008	TN	Hardin County	47071	45	7807	0.0058
2008	TN	Knox County	47093	482	229201	0.0021
2008	TN	Putnam County	47141	50	32078	0.0016
2008	TN	Rhea County	47143	39	10392	0.0038
2008	TN	Scott County	47151	74	5950	0.0124
2008	TN	Shelby County	47157	37	499692	0.0001
2008	TN	Sullivan County	47163	74	70014	0.0011
2008	TN	Weakley County	47183	148	10231	0.0145
2009	TN		47000	3236	2565288	0.0013
2009	TN	Anderson County	47001	120	35434	0.0034
2009	TN	Claiborne County	47025	212	8398	0.0252
2009	TN	Cumberland County	47035	132	15463	0.0085
2009	TN	Davidson County	47037	190	416619	0.0005
2009	TN	Franklin County	47051	65	9052	0.0072
2009	TN	Hardin County	47071	31	7375	0.0042
2009	TN	Knox County	47093	470	216805	0.0022
2009	TN	Putnam County	47141	47	30758	0.0015
2009	TN	Rhea County	47143	33	9780	0.0034
2009	TN	Robertson County	47147	45	16430	0.0027
2009	TN	Scott County	47151	64	5415	0.0118
2009	TN	Shelby County	47157	17	472955	0.0000
2009	TN	Sullivan County	47163	64	66692	0.0010
2009	TN	Washington County	47179	14	58508	0.0002
2009	TN	Williamson County	47187	27	84263	0.0003
2010	TN		47000	3560	2558438	0.0014
2010	TN	Anderson County	47001	224	37359	0.0060
2010	TN	Claiborne County	47025	225	8267	0.0272
2010	TN	Cumberland County	47035	127	15265	0.0083
2010	TN	Davidson County	47037	184	416404	0.0004
2010	TN	Franklin County	47051	66	9057	0.0073
2010	TN	Knox County	47093	310	215525	0.0014
2010	TN	Putnam County	47141	44	30877	0.0014
2010	TN	Rhea County	47143	27	9631	0.0028
2010	TN	Robertson County	47147	42	16775	0.0025
2010	TN	Scott County	47151	48	5152	0.0093
2010	TN	Shelby County	47157	29	464982	0.0001
2010	TN	Sullivan County	47163	63	65474	0.0010
2010	TN	Washington County	47179	25	58104	0.0004
2010	TN	Williamson County	47187	26	87130	0.0003
2011	TN		47000	3603	2602604	0.0014
2011	TN	Anderson County	47001	237	38707	0.0061
2011	TN	Claiborne County	47025	262	8245	0.0318
2011	TN	Cumberland County	47035	117	15878	0.0074
2011	TN	Davidson County	47037	178	421359	0.0004
2011	TN	Franklin County	47051	68	8973	0.0076
2011	TN	Knox County	47093	133	218472	0.0006
2011	TN	Putnam County	47141	43	31270	0.0014
2011	TN	Rhea County	47143	26	9996	0.0026
2011	TN	Scott County	47151	52	5035	0.0103
2011	TN	Sequatchie County	47153	58	2138	0.0271
2011	TN	Shelby County	47157	28	465161	0.0001
2011	TN	Sullivan County	47163	49	66858	0.0007
2011	TN	Washington County	47179	24	59833	0.0004
2011	TN	Williamson County	47187	26	91823	0.0003
2012	TN		47000	3427	2653392	0.0013
2012	TN	Anderson County	47001	136	37682	0.0036
2012	TN	Claiborne County	47025	249	8292	0.0300
2012	TN	Cumberland County	47035	112	16424	0.0068
