Year	State	County	FIPS	Jobs	Total	Share
2004	VT		50000	763	298454	0.0026
2004	VT	Addison County	50001	45	13868	0.0032
2004	VT	Caledonia County	50005	14	11564	0.0012
2004	VT	Chittenden County	50007	41	94865	0.0004
2004	VT	Franklin County	50011	21	15521	0.0014
2004	VT	Lamoille County	50015	9	10649	0.0008
2004	VT	Rutland County	50021	431	29293	0.0147
2004	VT	Washington County	50023	139	32272	0.0043
2004	VT	Windsor County	50027	54	23605	0.0023
2005	VT		50000	696	300919	0.0023
2005	VT	Addison County	50001	19	14070	0.0014
2005	VT	Caledonia County	50005	14	11590	0.0012
2005	VT	Rutland County	50021	379	29698	0.0128
2005	VT	Washington County	50023	146	32641	0.0045
2005	VT	Windsor County	50027	60	23928	0.0025
2006	VT		50000	724	303205	0.0024
2006	VT	Addison County	50001	19	14701	0.0013
2006	VT	Caledonia County	50005	16	11754	0.0014
2006	VT	Chittenden County	50007	40	94827	0.0004
2006	VT	Lamoille County	50015	10	11146	0.0009
2006	VT	Orange County	50017	11	8050	0.0014
2006	VT	Rutland County	50021	394	29706	0.0133
2006	VT	Washington County	50023	143	32744	0.0044
2006	VT	Windsor County	50027	60	24108	0.0025
2007	VT		50000	723	303448	0.0024
2007	VT	Addison County	50001	19	14676	0.0013
2007	VT	Caledonia County	50005	16	11773	0.0014
2007	VT	Chittenden County	50007	41	95104	0.0004
2007	VT	Lamoille County	50015	9	11110	0.0008
2007	VT	Orange County	50017	10	7984	0.0013
2007	VT	Rutland County	50021	396	29567	0.0134
2007	VT	Washington County	50023	144	32555	0.0044
2008	VT		50000	734	302627	0.0024
2008	VT	Addison County	50001	18	14469	0.0012
2008	VT	Chittenden County	50007	42	94741	0.0004
2008	VT	Orange County	50017	7	7747	0.0009
2008	VT	Rutland County	50021	491	29129	0.0169
2008	VT	Washington County	50023	73	32817	0.0022
2009	VT		50000	649	292406	0.0022
2009	VT	Addison County	50001	16	13734	0.0012
2009	VT	Chittenden County	50007	40	92102	0.0004
2009	VT	Lamoille County	50015	7	10521	0.0007
2009	VT	Orange County	50017	9	7542	0.0012
2009	VT	Rutland County	50021	423	27570	0.0153
2009	VT	Washington County	50023	67	31885	0.0021
2010	VT		50000	595	293058	0.0020
2010	VT	Addison County	50001	15	13585	0.0011
2010	VT	Chittenden County	50007	39	93243	0.0004
2010	VT	Orange County	50017	11	7506	0.0015
2010	VT	Rutland County	50021	363	27439	0.0132
2010	VT	Washington County	50023	71	31748	0.0022
2010	VT	Windsor County	50027	45	22611	0.0020
2011	VT		50000	612	295512	0.0021
2011	VT	Addison County	50001	16	13802	0.0012
2011	VT	Chittenden County	50007	41	95593	0.0004
2011	VT	Orange County	50017	14	7467	0.0019
2011	VT	Rutland County	50021	350	27254	0.0128
2011	VT	Washington County	50023	91	31756	0.0029
2011	VT	Windsor County	50027	50	22611	0.0022
2012	VT		50000	647	299519	0.0022
2012	VT	Addison County	50001	18	13900	0.0013
2012	VT	Caledonia County	50005	17	10862	0.0016
2012	VT	Chittenden County	50007	42	97707	0.0004
2012	VT	Franklin County	50011	25	16211	0.0015
2012	VT	Orange County	50017	13	7542	0.0017
2012	VT	Rutland County	50021	366	27457	0.0133
2012	VT	Washington County	50023	103	32270	0.0032
2012	VT	Windsor County	50027	48	22615	0.0021
2013	VT		50000	621	301586	0.0021
2013	VT	Addison County	50001	19	14122	0.0013
2013	VT	Caledonia County	50005	16	10972	0.0015
2013	VT	Chittenden County	50007	42	98359	0.0004
2013	VT	Franklin County	50011	25	16757	0.0015
2013	VT	Orange County	50017	11	7686	0.0014
2013	VT	Rutland County	50021	363	27569	0.0132
2013	VT	Washington County	50023	91	32580	0.0028
2013	VT	Windsor County	50027	40	22670	0.0018
