Year	State	County	FIPS	Jobs	Total	Share
2004	WA		53000	3204	2694933	0.0012
2004	WA	Clallam County	53009	15	21471	0.0007
2004	WA	Clark County	53011	300	120248	0.0025
2004	WA	Cowlitz County	53015	135	35927	0.0038
2004	WA	Franklin County	53021	34	23079	0.0015
2004	WA	Island County	53029	19	15014	0.0013
2004	WA	Jefferson County	53031	27	8896	0.0030
2004	WA	King County	53033	558	1093780	0.0005
2004	WA	Kitsap County	53035	52	80311	0.0006
2004	WA	Lewis County	53041	660	24517	0.0269
2004	WA	Okanogan County	53047	52	16830	0.0031
2004	WA	Pacific County	53049	38	6260	0.0061
2004	WA	Pend Oreille County	53051	167	2971	0.0562
2004	WA	Pierce County	53053	210	249457	0.0008
2004	WA	Skagit County	53057	81	45353	0.0018
2004	WA	Snohomish County	53061	170	210680	0.0008
2004	WA	Spokane County	53063	98	192314	0.0005
2004	WA	Stevens County	53065	64	10181	0.0063
2004	WA	Thurston County	53067	93	91085	0.0010
2004	WA	Whatcom County	53073	112	75036	0.0015
2004	WA	Yakima County	53077	7	94081	0.0001
2005	WA		53000	3300	2766451	0.0012
2005	WA	Clallam County	53009	29	22581	0.0013
2005	WA	Clark County	53011	306	125575	0.0024
2005	WA	Jefferson County	53031	48	8990	0.0053
2005	WA	King County	53033	489	1116311	0.0004
2005	WA	Kitsap County	53035	58	82255	0.0007
2005	WA	Lewis County	53041	757	24969	0.0303
2005	WA	Okanogan County	53047	52	17208	0.0030
2005	WA	Pacific County	53049	39	6305	0.0062
2005	WA	Pend Oreille County	53051	193	2970	0.0650
2005	WA	Pierce County	53053	226	257642	0.0009
2005	WA	Skagit County	53057	54	46751	0.0012
2005	WA	Snohomish County	53061	173	221050	0.0008
2005	WA	Spokane County	53063	127	197434	0.0006
2005	WA	Stevens County	53065	64	10033	0.0064
2005	WA	Thurston County	53067	58	93558	0.0006
2005	WA	Whatcom County	53073	130	78663	0.0017
2005	WA	Yakima County	53077	7	95210	0.0001
2006	WA		53000	3358	2850073	0.0012
2006	WA	Clallam County	53009	33	23045	0.0014
2006	WA	Clark County	53011	300	129758	0.0023
2006	WA	Jefferson County	53031	52	9131	0.0057
2006	WA	King County	53033	504	1149862	0.0004
2006	WA	Kitsap County	53035	67	84430	0.0008
2006	WA	Lewis County	53041	760	25881	0.0294
2006	WA	Okanogan County	53047	49	17396	0.0028
2006	WA	Pacific County	53049	41	6454	0.0064
2006	WA	Pend Oreille County	53051	210	3042	0.0690
2006	WA	Pierce County	53053	230	265674	0.0009
2006	WA	Skagit County	53057	47	47851	0.0010
2006	WA	Snohomish County	53061	187	233248	0.0008
2006	WA	Spokane County	53063	103	204235	0.0005
2006	WA	Stevens County	53065	68	10257	0.0066
2006	WA	Thurston County	53067	66	96589	0.0007
2006	WA	Whatcom County	53073	149	80144	0.0019
2006	WA	Yakima County	53077	8	98241	0.0001
2007	WA		53000	3036	2925908	0.0010
2007	WA	Clallam County	53009	14	23083	0.0006
