Region	Year	Jobs	Share
US	2013	797000	0.0044
US	2012	757200	0.0042
US	2008	497200	0.0028
US	2009	487600	0.0028
US	2010	620000	0.0036
US	2011	518000	0.0029
US	2004	257400	0.0015
US	2005	275600	0.0016
US	2006	314200	0.0018
US	2007	354300	0.0020
AL	2007	2531	0.0010
AL	2006	2048	0.0008
AL	2005	1770	0.0007
AL	2004	1599	0.0007
AL	2011	3675	0.0015
AL	2010	4247	0.0017
AL	2009	3244	0.0013
AL	2008	3420	0.0013
AL	2012	5488	0.0022
AL	2013	5672	0.0022
AK	2013	4271	0.0093
AK	2012	5188	0.0113
AK	2008	2245	0.0051
AK	2009	2127	0.0048
AK	2010	2811	0.0063
AK	2011	2775	0.0062
AK	2004	1342	0.0032
AK	2005	1210	0.0029
AK	2006	1333	0.0031
AK	2007	2237	0.0051
AZ	2007	4813	0.0014
AZ	2006	3853	0.0011
AZ	2005	3436	0.0011
AZ	2004	3283	0.0011
AZ	2011	6873	0.0021
AZ	2010	7749	0.0024
AZ	2009	6015	0.0018
AZ	2008	6199	0.0018
AZ	2012	10749	0.0032
AZ	2013	10610	0.0031
AR	2013	10637	0.0068
AR	2012	10019	0.0064
AR	2008	6495	0.0041
AR	2009	6391	0.0041
AR	2010	8249	0.0053
AR	2011	6867	0.0044
AR	2004	3012	0.0020
AR	2005	3276	0.0021
AR	2006	3848	0.0025
AR	2007	4480	0.0028
CA	2007	19945	0.0009
CA	2006	16570	0.0008
CA	2005	14408	0.0007
CA	2004	13417	0.0007
CA	2011	28665	0.0014
CA	2010	36136	0.0018
CA	2009	28618	0.0014
CA	2008	28277	0.0014
CA	2012	41117	0.0020
CA	2013	42438	0.0020
CO	2013	32913	0.0098
CO	2012	30510	0.0094
CO	2008	19924	0.0061
CO	2009	19690	0.0062
CO	2010	24961	0.0079
CO	2011	20883	0.0065
CO	2004	9905	0.0033
CO	2005	10570	0.0035
CO	2006	12089	0.0039
CO	2007	14501	0.0045
CT	2007	1680	0.0008
CT	2006	1345	0.0006
CT	2005	1187	0.0005
CT	2004	1151	0.0005
CT	2011	2059	0.0009
CT	2010	2470	0.0011
CT	2009	2060	0.0009
CT	2008	2166	0.0010
CT	2012	3053	0.0014
CT	2013	2950	0.0013
DE	2013	0	0.0000
DE	2012	0	0.0000
DE	2008	0	0.0000
DE	2009	0	0.0000
DE	2010	0	0.0000
DE	2011	0	0.0000
DE	2004	142	0.0003
DE	2005	0	0.0000
DE	2006	165	0.0003
DE	2007	177	0.0003
DC	2007	238	0.0003
DC	2006	220	0.0003
DC	2005	0	0.0000
DC	2004	207	0.0003
DC	2011	344	0.0004
DC	2010	450	0.0006
DC	2009	329	0.0004
DC	2008	348	0.0004
DC	2012	490	0.0006
DC	2013	517	0.0006
FL	2013	24153	0.0023
FL	2012	22656	0.0022
FL	2008	14839	0.0014
FL	2009	15239	0.0015
FL	2010	19214	0.0019
FL	2011	15703	0.0016
FL	2004	7098	0.0007
FL	2005	7913	0.0008
FL	2006	9311	0.0009
FL	2007	10366	0.0010
GA	2007	2768	0.0005
GA	2006	2247	0.0004
GA	2005	1932	0.0004
GA	2004	1793	0.0004
GA	2011	4089	0.0008
GA	2010	4916	0.0009
GA	2009	3944	0.0007
GA	2008	3767	0.0007
GA	2012	5903	0.0011
GA	2013	6050	0.0011
HI	2013	959	0.0011
